date,FREL,VNQ,VNQ/FREL,VNQ/FREL avg,VNQ/FREL 10 dma,VNQ/FREL 20 dma,FREL avg,FREL 10 dma,FREL 20 dma,avg diff,10 dma diff,20 dma diff,FREL div,VNQ div,FREL*,VNQ*,VNQ*/FREL*,VNQ*/FREL* avg,VNQ*/FREL* 10 dma,VNQ*/FREL* 20 dma,FREL* avg,FREL* 10 dma,FREL* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-01-02,26.89,88.52,3.2919300855336555,3.293648077180519,,,,,,,,,0.0,0.0,26.89,88.52,3.2919300855336555,3.2926521199357435,,,,,,,,
2026-01-05,26.95,88.72,3.2920222634508347,3.293648077180519,,,88.76381568001499,,,-0.000493742832125111,,,0.0,0.0,26.95,88.72,3.2920222634508347,3.2926521199357435,,,88.73697463226829,,,-0.00019130983558391954,,
2026-01-06,27.15,89.37,3.2917127071823207,3.293648077180519,,,89.42254529545109,,,-0.0005877795058743053,,,0.0,0.0,27.15,89.37,3.2917127071823207,3.2926521199357435,,,89.39550505625543,,,-0.0002853465093330946,,
2026-01-07,26.89,88.5,3.2911863146150986,3.293648077180519,,,88.56619679538416,,,-0.0007477067861200704,,,0.0,0.0,26.89,88.5,3.2911863146150986,3.2926521199357435,,,88.53941550507214,,,-0.00044527378957883774,,
2026-01-08,27.13,89.29,3.291190563951346,3.293648077180519,,,89.35667233390748,,,-0.0007464156609457824,,,0.0,0.0,27.13,89.29,3.291190563951346,3.2926521199357435,,,89.32965201385672,,,-0.0004439826644045314,,
2026-01-09,27.2,89.47,3.289338235294118,3.293648077180519,,,89.58722769931012,,,-0.0013093882616776367,,,0.0,0.0,27.2,89.47,3.289338235294118,3.2926521199357435,,,89.56013766225222,,,-0.0010069552651362737,,
2026-01-12,27.24,89.59,3.2889133627019094,3.293648077180519,,,89.71897362239733,,,-0.0014385631910549452,,,0.0,0.0,27.24,89.59,3.2889133627019094,3.2926521199357435,,,89.69184374704965,,,-0.0011361301945138338,,
2026-01-13,27.38,90.09,3.290357925493061,3.293648077180519,,,90.1800843532026,,,-0.0009994377161846328,,,0.0,0.0,27.38,90.09,3.290357925493061,3.2926521199357435,,,90.15281504384065,,,-0.0006970047196434148,,
2026-01-14,27.63,90.87,3.2888165038002173,3.293648077180519,,,91.00349637249774,,,-0.0014680137473000086,,,0.0,0.0,27.63,90.87,3.2888165038002173,3.2926521199357435,,,90.97597807382459,,,-0.0011655807507588807,,
2026-01-15,27.81,91.5,3.290183387270766,3.293648077180519,3.290565134929333,,91.59635302639023,,,-0.0010524844836283902,,,0.0,0.0,27.81,91.5,3.290183387270766,3.2926521199357435,3.290565134929333,,91.56865545541302,,,-0.0007500514870871554,,
2026-01-16,28.16,92.62,3.2890625,3.293648077180519,3.290278376375967,,92.74912985340342,92.66231419961002,,-0.0013932187564662064,-0.0004567537978836255,,0.0,0.0,28.16,92.62,3.2890625,3.2926521199357435,3.290278376375967,,92.72108369739054,92.66231419961002,,-0.0010907857599250664,-0.0004567537978836255,
2026-01-20,27.65,90.9,3.2875226039783008,3.293648077180519,3.2898284104287137,,91.06936933404134,90.97619710679548,,-0.001861515304141041,-0.000837900862956315,,0.0,0.0,27.65,90.9,3.2875226039783008,3.2926521199357435,3.2898284104287137,,91.0418311162233,90.97619710679548,,-0.001559082307599897,-0.000837900862956315,
2026-01-21,27.76,91.26,3.287463976945245,3.293648077180519,3.2894035374050064,,91.43167062253121,91.3256366735011,,-0.0018793486585778018,-0.000718968671625029,,0.0,0.0,27.76,91.26,3.287463976945245,3.2926521199357435,3.2894035374050064,,91.40402284941625,91.3256366735011,,-0.0015769156620367333,-0.000718968671625029,
2026-01-22,27.48,90.36,3.2882096069868996,3.293648077180519,3.289105866642186,,90.50944916092067,90.39280920788957,,-0.001652564273576632,-0.0003630284740101474,,0.0,0.0,27.48,90.36,3.2882096069868996,3.2926521199357435,3.289105866642186,,90.48208025583423,90.39280920788957,,-0.0013501312770354068,-0.0003630284740101474,
2026-01-23,27.52,90.54,3.2899709302325584,3.293648077180519,3.2889839032703074,,90.64119508400788,90.51619344999297,,-0.001117059576560721,0.00026297415946520083,,0.0,0.0,27.52,90.54,3.2899709302325584,3.2926521199357435,3.2889839032703074,,90.61378634063166,90.51619344999297,,-0.0008146265800196402,0.00026297415946520083,
2026-01-26,27.48,90.42,3.2903930131004366,3.293648077180519,3.28908938105094,,90.50944916092067,90.38127766186805,,-0.0009887740069200316,0.0004283414279453052,,0.0,0.0,27.48,90.42,3.2903930131004366,3.2926521199357435,3.28908938105094,,90.48208025583423,90.38127766186805,,-0.0006863410103788683,0.0004283414279453052,
2026-01-27,27.48,90.39,3.289301310043668,3.293648077180519,3.289128175785115,,90.50944916092067,90.38417619127983,,-0.001320614063059635,6.443186571089875e-05,,0.0,0.0,27.48,90.39,3.289301310043668,3.2926521199357435,3.289128175785115,,90.48208025583423,90.38417619127983,,-0.0010181810665183851,6.443186571089875e-05,
