,bop date,eop date,day count, bop RSP price , eop RSP price , bop SPY price ,, eop SPY price ,, eop SPY / eop RSP , bop SPY / RSP moving avg , eop SPY / RSP moving avg ,current position,new position, bop RSP shares , eop RSP shares , eop RSP shares bought , eop RSP shares sold , eop RSP shares traded , bop SPY shares , eop SPY shares , eop SPY shares bought , eop SPY shares sold , eop SPY shares traded , RSP daily commission , SPY daily commission , daily total commissions , RSP cop ,RSP pct cop, RSP daily position pnl , SPY cop ,SPY pct cop, SPY daily position pnl , daily position pnl , short RSP investment amount , long RSP investment amount , RSP investment amount , daily RSP borrow cost , short SPY investment amount , long SPY investment amount , SPY investment amount , daily SPY borrow cost , net investment amount , gross investment amount , short investment amount , daily borrow cost , daily net profit , cumulative net profit , drawdown 
0,1/2/2024,1/3/2024,1,, $155.52 ,,, $468.79 , $0.33 , 3.01 ,,,,,,,,,,,,,,,,, $-   ,,,,,,, $-   ,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   
1,1/3/2024,1/4/2024,1, $155.52 , $155.26 , $468.79 ,, $467.28 , $0.33 , 3.01 ,,,,,,,,,,,,,,,,, $-   , $(0.26),-0.17%,, $(1.51),-0.32%,, $-   ,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   
2,1/4/2024,1/5/2024,1, $155.26 , $155.71 , $467.28 ,, $467.92 , $0.33 , 3.01 ,,,,,,,,,,,,,,,,, $-   , $0.45 ,0.29%,, $0.64 ,0.14%,, $-   ,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   
3,1/5/2024,1/8/2024,3, $155.71 , $157.38 , $467.92 ,, $474.60 , $0.33 , 3.02 ,,,,,,,,,,,,,,,,, $-   , $1.67 ,1.07%,, $6.68 ,1.42%,, $-   ,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   
4,1/8/2024,1/9/2024,1, $157.38 , $156.58 , $474.60 ,, $473.88 , $0.33 , 3.03 ,,,,,,,,,,,,,,,,, $-   , $(0.80),-0.51%,, $(0.72),-0.15%,, $-   ,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   
5,1/9/2024,1/10/2024,1, $156.58 , $156.85 , $473.88 ,, $476.56 , $0.33 , 3.04 ,,,,,,,,,,,,,,,,, $-   , $0.27 ,0.17%,, $2.68 ,0.56%,, $-   ,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   
6,1/10/2024,1/11/2024,1, $156.85 , $156.40 , $476.56 ,, $476.35 , $0.33 , 3.05 ,,,,,,,,,,,,,,,,, $-   , $(0.45),-0.29%,, $(0.21),-0.04%,, $-   ,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   
7,1/11/2024,1/12/2024,1, $156.40 , $156.05 , $476.35 ,, $476.68 , $0.33 , 3.05 ,,,,,,,,,,,,,,,,, $-   , $(0.35),-0.22%,, $0.33 ,0.07%,, $-   ,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   
8,1/12/2024,1/16/2024,4, $156.05 , $155.06 , $476.68 ,, $474.93 , $0.33 , 3.06 ,,,,,,,,,,,,,,,,, $-   , $(0.99),-0.64%,, $(1.75),-0.37%,, $-   ,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   
9,1/16/2024,1/17/2024,1, $155.06 , $153.84 , $474.93 ,, $472.29 , $0.33 , 3.07 ,, 3.03 ,,,,,,,,,,,,,,, $-   , $(1.22),-0.79%,, $(2.64),-0.56%,, $-   ,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   
