,bop date,eop date,day count,bop FSTA price,eop FSTA price,bop IYK price,eop IYK price,bop XLP price,eop XLP price,bop VDC price,eop VDC price,eop VDC / eop FSTA,eop VDC / FSTA moving avg,bop VDC / FSTA moving avg,eop FSTA unit price,eop VDC / eop IYK,eop VDC / IYK moving avg,bop VDC / IYK moving avg,eop IYK unit price,eop VDC / eop XLP,eop VDC / XLP moving avg,bop VDC / XLP moving avg,eop XLP unit price,eop VDC / eop VDC,eop VDC / VDC moving avg,bop VDC / VDC moving avg,eop VDC unit price,FSTA unit price pct diff,IYK unit price pct diff,XLP unit price pct diff,VDC unit price pct diff,min symbol,max symbol,min unit price pct diff,max unit price pct diff,unit price pct diff,month end liquidation,go group,exit group,current long symbol,current short symbol,new long symbol,new short symbol,current_position,new_position,FSTA shares per unit,eop FSTA shares,bop FSTA shares,eop FSTA shares traded,eop FSTA shares bought,eop FSTA shares sold,IYK shares per unit,eop IYK shares,bop IYK shares,eop IYK shares traded,eop IYK shares bought,eop IYK shares sold,XLP shares per unit,eop XLP shares,bop XLP shares,eop XLP shares traded,eop XLP shares bought,eop XLP shares sold,VDC shares per unit,eop VDC shares,bop VDC shares,eop VDC shares traded,eop VDC shares bought,eop VDC shares sold,FSTA daily commission,FSTA cop,FSTA pct cop,FSTA daily position pnl,FSTA investment amount,short FSTA investment amount,long FSTA investment amount,daily FSTA borrow cost,IYK daily commission,IYK cop,IYK pct cop,IYK daily position pnl,IYK investment amount,short IYK investment amount,long IYK investment amount,daily IYK borrow cost,XLP daily commission,XLP cop,XLP pct cop,XLP daily position pnl,XLP investment amount,short XLP investment amount,long XLP investment amount,daily XLP borrow cost,VDC daily commission,VDC cop,VDC pct cop,VDC daily position pnl,VDC investment amount,short VDC investment amount,long VDC investment amount,daily VDC borrow cost,daily total commissions,daily position pnl,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
10,2024-01-17,2024-01-18,1,44.78,44.72,64.1033,63.92,72.35,72.26,191.6,191.45,4.28108228980322,,,,2.995150187734668,,,,2.6494602823138664,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.060000000000002274,-0.0013407823237651508,,,,,,,-0.18330000000000268,-0.0028635432027317893,,,,,,,-0.0899999999999892,-0.0012447273579985372,,,,,,,-0.15000000000000568,-0.0007831876134566463,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2024-01-18,2024-01-19,1,44.72,44.55,63.92,63.5933,72.26,72.05,191.45,190.84,4.283726150392817,,,,3.0009450681125216,,,,2.6487161693268564,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1700000000000017,-0.0038086749300254704,,,,,,,-0.32670000000000243,-0.005124182573162819,,,,,,,-0.21000000000000796,-0.0029104032739632247,,,,,,,-0.6099999999999852,-0.0031912972753972268,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2024-01-19,2024-01-22,3,44.55,44.38,63.5933,63.31,72.05,71.7,190.84,190.16,4.2848129788192875,,,,3.0036329173906173,,,,2.6521617852161783,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1699999999999946,-0.0038232364123702823,,,,,,,-0.283299999999997,-0.004464824328821262,,,,,,,-0.3499999999999943,-0.004869574839956388,,,,,,,-0.6800000000000068,-0.003569557595967836,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2024-01-22,2024-01-23,1,44.38,44.82,63.31,64.1267,71.7,72.48,190.16,191.89,4.2813476126729135,,,,2.9923573176227687,,,,2.647488962472406,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.4399999999999977,0.009865550868332986,,,,,,,0.8166999999999973,0.012817519304743034,,,,,,,0.7800000000000011,0.010819914129149276,,,,,,,1.7299999999999898,0.00905646812971243,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2024-01-23,2024-01-24,1,44.82,44.28,64.1267,63.3133,72.48,71.59,191.89,189.57,4.281165311653116,,,,2.9941576256489553,,,,2.6479955301019693,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5399999999999991,-0.012121360532344737,,,,,,,-0.8134000000000015,-0.012765396196267003,,,,,,,-0.8900000000000006,-0.012355262326630265,,,,,,,-2.319999999999993,-0.012163941728177334,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2024-01-24,2024-01-25,1,44.28,44.69,63.3133,63.8533,71.59,72.28,189.57,191.49,4.284851197135825,,,,2.998905303249793,,,,2.6492805755395685,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.4099999999999966,0.009216655104923827,,,,,,,0.5399999999999991,0.00849284711200021,,,,,,,0.6899999999999977,0.009592066315934157,,,,,,,1.920000000000016,0.010077238482602235,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2024-01-25,2024-01-26,1,44.69,44.92,63.8533,64.0933,72.28,72.63,191.49,192.25,4.279830810329474,,,,2.9995334925803476,,,,2.646977832851439,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.23000000000000398,0.005133366924882448,,,,,,,0.240000000000002,0.0037515695061128653,,,,,,,0.3499999999999943,0.004830593894049089,,,,,,,0.7599999999999909,0.0039610204496776215,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2024-01-26,2024-01-29,3,44.92,45.17,64.0933,64.4067,72.63,73.05,192.25,193.27,4.278724817356653,,,,3.000774764116156,,,,2.6457221081451063,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.0055500197962703775,,,,,,,0.31340000000000146,0.004877830683263238,,,,,,,0.4200000000000017,0.005766078578631793,,,,,,,1.0200000000000102,0.00529156661162309,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2024-01-29,2024-01-30,1,45.17,45.4,64.4067,64.7933,73.05,73.46,193.27,194.32,4.280176211453744,,,,2.9990755216974594,,,,2.6452491151647157,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.22999999999999687,0.005078955380789511,,,,,,,0.3866000000000014,0.005984537984975213,,,,,,,0.4099999999999966,0.005596902194812651,,,,,,,1.049999999999983,0.005418109696540685,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2024-01-30,2024-01-31,1,45.4,45.02,64.7933,64.4633,73.46,72.92,194.32,192.76,4.281652598844957,4.281579204831646,,,2.9902285486470594,2.9871057522338287,,,2.643444871091607,2.6484628972862465,,,1.0,1.0,,,,,,,,,,,,True,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.37999999999999545,-0.008405269568716026,,,,,,,-0.3299999999999983,-0.005106133334717477,,,,,,,-0.539999999999992,-0.0073780905810588385,,,,,,,-1.5600000000000023,-0.00806039292178503,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
