date,FUTY,VPU,VPU/FUTY,VPU/FUTY avg,VPU/FUTY 10 dma,VPU/FUTY 20 dma,FUTY avg,FUTY 10 dma,FUTY 20 dma,avg diff,10 dma diff,20 dma diff,FUTY div,VPU div,FUTY*,VPU*,VPU*/FUTY*,VPU*/FUTY* avg,VPU*/FUTY* 10 dma,VPU*/FUTY* 20 dma,FUTY* avg,FUTY* 10 dma,FUTY* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-01-02,55.86,187.22,3.3515932688865018,3.3518484484634947,,,,,,,,,0.0,0.0,55.86,187.22,3.3515932688865018,3.3511080429949156,,,,,,,,
2026-01-05,55.32,185.45,3.3523138105567605,3.3518484484634947,,,185.42425616900053,,,0.00013882781353844682,,,0.0,0.0,55.32,185.45,3.3523138105567605,3.3511080429949156,,,185.38329693847874,,,0.00035974688784052005,,
2026-01-06,55.62,186.42,3.3516720604099244,3.3518484484634947,,,186.42981070353957,,,-5.262549831175385e-05,,,0.0,0.0,55.62,186.42,3.3516720604099244,3.3511080429949156,,,186.3886293513772,,,0.00016829357599037207,,
2026-01-07,54.35,182.18,3.3519779208831646,3.3518484484634947,,,182.17296317399095,,,3.862642394137011e-05,,,0.0,0.0,54.35,182.18,3.3519779208831646,3.3511080429949156,,,182.13272213677368,,,0.00025954549824359164,,
2026-01-08,54.52,182.68,3.350696991929567,3.3518484484634947,,,182.74277741022973,,,-0.00034358783703755127,,,0.0,0.0,54.52,182.68,3.350696991929567,3.3511080429949156,,,182.70241050408282,,,-0.00012266876273547652,,
2026-01-09,55.15,184.95,3.3535811423390753,3.3518484484634947,,,184.85444193276172,,,0.0005168032534475413,,,0.0,0.0,55.15,184.95,3.3535811423390753,3.3511080429949156,,,184.8136085711696,,,0.0007377223277498401,,
2026-01-12,55.28,185.21,3.350397973950796,3.3518484484634947,,,185.290182231062,,,-0.0004328323502081263,,,0.0,0.0,55.28,185.21,3.350397973950796,3.3511080429949156,,,185.24925261675895,,,-0.00021191327590589168,,
2026-01-13,55.62,186.37,3.350773103200288,3.3518484484634947,,,186.42981070353957,,,-0.0003208730387489794,,,0.0,0.0,55.62,186.37,3.350773103200288,3.3511080429949156,,,186.3886293513772,,,-9.995396444679593e-05,,
2026-01-14,56.01,187.64,3.350116050705231,3.3518484484634947,,,187.73703159844032,,,-0.0005169820869876126,,,0.0,0.0,56.01,187.64,3.350116050705231,3.3511080429949156,,,187.69556148814522,,,-0.00029606301268539896,,
2026-01-15,56.63,189.71,3.349991170757549,3.3518484484634947,3.351311349361886,,189.8151776364877,,,-0.0005542590867634757,,,0.0,0.0,56.63,189.71,3.349991170757549,3.3511080429949156,3.351311349361886,,189.77324847480207,,,-0.00033334001246127014,,
2026-01-16,56.33,188.76,3.350967512870584,3.3518484484634947,3.351248773760294,,188.80962310194866,188.77936830955503,,-0.00026285537393976624,-0.00010260286051094754,,0.0,0.0,56.33,188.76,3.350967512870584,3.3511080429949156,3.351248773760294,,188.76791606190358,188.77936830955503,,-4.193629963747998e-05,-0.00010260286051094754,
2026-01-20,55.72,186.71,3.3508614501076814,3.3518484484634947,3.351103537715386,,186.7649955483859,186.73158167392359,,-0.0002945072598643221,-0.00011558259715406585,,0.0,0.0,55.72,186.71,3.3508614501076814,3.3511080429949156,3.351103537715386,,186.7237401556767,186.73158167392359,,-7.358818556228007e-05,-0.00011558259715406585,
2026-01-21,55.87,187.21,3.3508143905494903,3.3518484484634947,3.351017770729343,,187.26777281565543,187.2261546521586,,-0.00030855137638423054,-8.628788629470929e-05,,0.0,0.0,55.87,187.21,3.3508143905494903,3.3511080429949156,3.351017770729343,,187.2264063621259,187.2261546521586,,-8.763230208191644e-05,-8.628788629470929e-05,
2026-01-22,55.5,186.01,3.3515315315315313,3.3518484484634947,3.3509731317941793,,186.02758888972394,185.98148627547855,,-9.45543690332399e-05,0.00015330310305105205,,0.0,0.0,55.5,186.01,3.3515315315315313,3.3511080429949156,3.3509731317941793,,185.98649638621782,185.98148627547855,,0.0001263647052688865,0.00015330310305105205,
2026-01-23,55.25,185.14,3.350950226244344,3.3518484484634947,3.350998455225657,,185.18962677760808,185.14126553162842,,-0.00026801408430100196,-6.835515302774713e-06,,0.0,0.0,55.25,185.14,3.350950226244344,3.3511080429949156,3.350998455225657,,185.14871937546908,185.14126553162842,,-4.7095009998754776e-05,-6.835515302774713e-06,
2026-01-26,55.61,186.35,3.3510160043157704,3.3518484484634947,3.350741941423327,,186.39629221905494,186.34902409509877,,-0.0002483845997090844,5.236959788623339e-06,,0.0,0.0,55.61,186.35,3.3510160043157704,3.3511080429949156,3.350741941423327,,186.35511827094726,186.34902409509877,,-2.746552540690904e-05,5.236959788623339e-06,
2026-01-27,56.32,188.64,3.349431818181818,3.3518484484634947,3.350645325846428,,188.77610461746403,188.7137861409618,,-0.0007212443862301223,-0.00039107142746209393,,0.0,0.0,56.32,188.64,3.349431818181818,3.3511080429949156,3.350645325846428,,188.73440498147366,188.7137861409618,,-0.0005003253119280238,-0.00039107142746209393,
2026-01-28,56.21,188.28,3.3495819249243906,3.3518484484634947,3.350526208018839,,188.40740128813303,188.33977376582774,,-0.0006764298065459378,-0.0003174223473820699,,0.0,0.0,56.21,188.28,3.3495819249243906,3.3511080429949156,3.350526208018839,,188.3657830967442,188.33977376582774,,-0.0004555107322437004,-0.0003174223473820699,
2026-01-29,56.22,188.34,3.3500533617929564,3.3518484484634947,3.3505199391276115,,188.44091977261766,188.36658341481913,,-0.0005356947219724526,-0.0001411359186891337,,0.0,0.0,56.22,188.34,3.3500533617929564,3.3511080429949156,3.3505199391276115,,188.39929417717414,188.36658341481913,,-0.0003147756476703101,-0.0001411359186891337,
2026-01-30,56.07,187.99,3.352773319065454,3.3518484484634947,3.350798153958402,3.3510547516601443,187.93814250534814,187.86365298688517,,0.00027589046478517437,0.0006723202867392461,,0.0,0.0,56.07,187.99,3.352773319065454,3.3511080429949156,3.350798153958402,3.3510547516601443,187.89662797072492,187.86365298688517,,0.0004968095390871317,0.0006723202867392461,
2026-02-02,55.23,185.22,3.3536121673003803,3.3518484484634947,3.3510626194013815,3.3511556965808373,185.1225898086388,185.06458204312256,185.07875393418976,0.0005260545035229878,0.0008394514572900692,0.0007628763054684691,0.0,0.0,55.23,185.22,3.3536121673003803,3.3511080429949156,3.3510626194013815,3.3511556965808373,185.08169721460916,185.06458204312256,185.07875393418976,0.0007469735778250574,0.0008394514572900692,0.0007628763054684691
2026-02-03,56.06,187.94,3.3524794862647163,3.3518484484634947,3.351224423017085,3.3511639803662354,187.9046240208635,187.86057044364145,187.86578835032174,0.0001882478927727164,0.0004227218572211622,0.0003949468206366476,0.0,0.0,56.06,187.94,3.3524794862647163,3.3511080429949156,3.351224423017085,3.3511639803662354,187.86311689029498,187.86057044364145,187.86578835032174,0.00040916696707498095,0.0004227218572211622,0.0003949468206366476
2026-02-04,55.79,186.96,3.3511381968094645,3.3518484484634947,3.351256803643083,3.351137287186213,186.99962493977836,186.96481056012317,186.96143846463227,-0.00021192095233827762,-2.5730093257143916e-05,-7.693940407187166e-06,0.0,0.0,55.79,186.96,3.3511381968094645,3.3511080429949156,3.351256803643083,3.351137287186213,186.95831771868635,186.96481056012317,186.96143846463227,8.998121963928265e-06,-2.5730093257143916e-05,-7.693940407187166e-06
2026-02-05,55.82,187.11,3.3520243640272307,3.3518484484634947,3.3513060868926523,3.3511396093434156,187.10018039323228,187.06715477935688,187.0604833707344,5.248177246102462e-05,0.00022901035129019466,0.00026467416194139606,0.0,0.0,55.82,187.11,3.3520243640272307,3.3511080429949156,3.3513060868926523,3.3511396093434156,187.05885095997618,187.06715477935688,187.0604833707344,0.0002734008467631438,0.00022901035129019466,0.00026467416194139606
2026-02-06,56.14,188.11,3.3507303170644818,3.3518484484634947,3.351284095974666,3.351141275600162,188.17277189674058,188.1423237181535,188.13297766853935,-0.0003336421543109881,-0.00017181936799003227,-0.00012214271059781805,0.0,0.0,56.14,188.11,3.3507303170644818,3.3511080429949156,3.351284095974666,3.351141275600162,188.13120553373457,188.1423237181535,188.13297766853935,-0.00011272308000886508,-0.00017181936799003227,-0.00012214271059781805
2026-02-09,56.3,188.7,3.3516873889875667,3.3518484484634947,3.3513512344418457,3.3510465879325864,188.70906764849474,188.6772946033737,188.6692538162891,-4.8052096644042046e-05,0.00012033260600680507,0.00016295012626476902,0.0,0.0,56.3,188.7,3.3516873889875667,3.3511080429949156,3.3513512344418457,3.3510465879325864,188.66738282061374,188.6772946033737,188.6692538162891,0.00017286697765809446,0.00012033260600680507,0.00016295012626476902
2026-02-10,57.19,191.63,3.350760622486449,3.3518484484634947,3.3514841148723087,3.3510647203593686,191.69221276762727,191.66377709772914,191.64635436386462,-0.00032459777232497376,-0.00017624652334478252,-8.53398008425643e-05,0.0,0.0,57.19,191.63,3.350760622486449,3.3511080429949156,3.3514841148723087,3.3510647203593686,191.64986897887923,191.66377709772914,191.64635436386462,-0.00010367869802277797,-0.00017624652334478252,-8.53398008425643e-05
