date,FHLC,VHT,VHT/FHLC,VHT/FHLC avg,VHT/FHLC 10 dma,VHT/FHLC 20 dma,FHLC avg,FHLC 10 dma,FHLC 20 dma,avg diff,10 dma diff,20 dma diff,FHLC div,VHT div,FHLC*,VHT*,VHT*/FHLC*,VHT*/FHLC* avg,VHT*/FHLC* 10 dma,VHT*/FHLC* 20 dma,FHLC* avg,FHLC* 10 dma,FHLC* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-01-02,74.56,288.75,3.872719957081545,3.8717006139987933,,,,,,,,,0.0,0.0,74.56,288.75,3.872719957081545,3.8712657419176177,,,,,,,,
2026-01-05,74.42,288.32,3.874227358237033,3.8717006139987933,,,288.1319596937902,,,0.0006524058413449041,,,0.0,0.0,74.42,288.32,3.874227358237033,3.8712657419176177,,,288.09959651350914,,,0.0007647328389433514,,
2026-01-06,75.92,293.91,3.8713119072708118,3.8717006139987933,,,293.9395106147884,,,-0.00010040193716346587,,,0.0,0.0,75.92,293.91,3.8713119072708118,3.8712657419176177,,,293.90649512638555,,,1.1925060434876742e-05,,
2026-01-07,76.72,297.26,3.874608967674661,3.8717006139987933,,,297.0368711059874,,,0.0007509004854143892,,,0.0,0.0,76.72,297.26,3.874608967674661,3.8712657419176177,,,297.00350771991964,,,0.0008632274830126912,,
2026-01-08,75.99,294.29,3.872746414001843,3.8717006139987933,,,294.2105296577683,,,0.00027007738722343157,,,0.0,0.0,75.99,294.29,3.872746414001843,3.8712657419176177,,,294.17748372831977,,,0.0003824043848218432,,
2026-01-09,75.6,292.97,3.875264550264551,3.8717006139987933,,,292.70056641830877,,,0.0009200858508105204,,,0.0,0.0,75.6,292.97,3.875264550264551,3.8712657419176177,,,292.6676900889719,,,0.0010324128484089496,,
2026-01-12,75.5,292.57,3.8750993377483445,3.8717006139987933,,,292.31339635690887,,,0.0008774523645334539,,,0.0,0.0,75.5,292.57,3.8750993377483445,3.8712657419176177,,,292.2805635147801,,,0.0009897793621319146,,
2026-01-13,75.21,291.37,3.8740858928334,3.8717006139987933,,,291.19060317884924,,,0.0006158906930630416,,,0.0,0.0,75.21,291.37,3.8740858928334,3.8712657419176177,,,291.157896449624,,,0.0007282176906616415,,
2026-01-14,75.69,293.52,3.877923107411811,3.8717006139987933,,,293.04901947356865,,,0.0016058830657988512,,,0.0,0.0,75.69,293.52,3.877923107411811,3.8712657419176177,,,293.01610400574447,,,0.001718210063397228,,
2026-01-15,75.31,291.96,3.876775992564068,3.8717006139987933,3.874476348508807,,291.57777324024914,,,0.0013100328100192783,,,0.0,0.0,75.31,291.96,3.876775992564068,3.8712657419176177,3.874476348508807,,291.5450230238158,,,0.001422359807617666,,
