,bop date,eop date,day count,bop SPTL price,eop SPTL price,bop VGLT price,eop VGLT price,eop VGLT / eop SPTL,bop VGLT / SPTL moving avg,eop VGLT / SPTL moving avg,eop SPTL unit price,eop VGLT / eop VGLT,bop VGLT / VGLT moving avg,eop VGLT / VGLT moving avg,eop VGLT unit price,SPTL unit price pct diff,VGLT unit price pct diff,unit price pct diff,month end liquidation,go short,exit short,current_position,new_position,SPTL shares per unit,bop SPTL shares,eop SPTL shares,eop SPTL shares bought,eop SPTL shares sold,eop SPTL shares traded,VGLT shares per unit,bop VGLT shares,eop VGLT shares,eop VGLT shares bought,eop VGLT shares sold,eop VGLT shares traded,SPTL daily commission,VGLT daily commission,daily total commissions,SPTL cop,SPTL pct cop,SPTL daily position pnl,VGLT cop,VGLT pct cop,VGLT daily position pnl,daily position pnl,short SPTL investment amount,long SPTL investment amount,SPTL investment amount,daily SPTL borrow cost,short VGLT investment amount,long VGLT investment amount,VGLT investment amount,daily VGLT borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
0,2025-01-02,2025-01-03,1,,26.12,,55.25,2.1152373660030626,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2025-01-03,2025-01-06,3,26.12,26.05,55.25,55.05,2.113243761996161,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.07000000000000028,-0.002683536208854429,,-0.20000000000000284,-0.0036264772291733265,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2025-01-06,2025-01-07,1,26.05,25.77,55.05,54.48,2.1140861466821885,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.28000000000000114,-0.010806743535102284,,-0.5700000000000003,-0.010408201327432086,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2025-01-07,2025-01-08,1,25.77,25.81,54.48,54.56,2.1139093374660987,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.03999999999999915,0.001550989066248734,,0.0800000000000054,0.0014673516939497444,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2025-01-08,2025-01-10,2,25.81,25.63,54.56,54.17,2.113538821693328,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.17999999999999972,-0.006998473354542747,,-0.39000000000000057,-0.007173763865399209,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2025-01-10,2025-01-13,3,25.63,25.58,54.17,54.07,2.113760750586396,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.05000000000000071,-0.0019527442252831291,,-0.10000000000000142,-0.0018477462758939988,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2025-01-13,2025-01-14,1,25.58,25.54,54.07,53.99,2.1139389193422082,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.03999999999999915,-0.0015649455463033672,,-0.0799999999999983,-0.0014806591637178523,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2025-01-14,2025-01-15,1,25.54,25.97,53.99,54.88,2.1132075471698113,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.4299999999999997,0.016696175070263858,,0.8900000000000006,0.016350139187434286,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2025-01-15,2025-01-16,1,25.97,26.06,54.88,55.09,2.113967766692249,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.08999999999999986,0.0034595460220419325,,0.21000000000000085,0.003819228066995397,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2025-01-16,2025-01-17,1,26.06,26.1,55.09,55.16,2.1134099616858233,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.0400000000000027,0.0015337426319487184,,0.06999999999999318,0.0012698414404757152,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2025-01-17,2025-01-21,4,26.1,26.31,55.16,55.6,2.113264918282022,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.2099999999999973,0.008013780723553616,,0.44000000000000483,0.007945148331435795,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2025-01-21,2025-01-22,1,26.31,26.2,55.6,55.36,2.1129770992366415,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.10999999999999943,-0.0041896842851501396,,-0.240000000000002,-0.004325889947122606,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2025-01-22,2025-01-23,1,26.2,26.02,55.36,54.99,2.1133743274404306,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.17999999999999972,-0.006893937682691932,,-0.36999999999999744,-0.006705960789690731,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2025-01-23,2025-01-24,1,26.02,26.12,54.99,55.2,2.113323124042879,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.10000000000000142,0.0038358313238711925,,0.21000000000000085,0.003811602763326252,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2025-01-24,2025-01-27,3,26.12,26.44,55.2,55.87,2.113086232980333,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.3200000000000003,0.012176710575255285,,0.6699999999999946,0.012064610188007755,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2025-01-27,2025-01-28,1,26.44,26.38,55.87,55.78,2.1144806671721,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.060000000000002274,-0.00227186769431713,,-0.0899999999999963,-0.0016121812717144978,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2025-01-28,2025-01-29,1,26.38,26.35,55.78,55.7,2.113851992409867,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.029999999999997584,-0.0011378723017971093,,-0.0799999999999983,-0.0014352352661045162,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2025-01-29,2025-01-30,1,26.35,26.44,55.7,55.92,2.1149773071104385,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.08999999999999986,0.003409739996114206,,0.21999999999999886,0.0039419509923164005,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2025-01-30,2025-01-31,1,26.44,26.33,55.92,55.67,2.1143182681352073,,,,1.0,,,,,,,True,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.11000000000000298,-0.004169041475267655,,-0.25,-0.004480695730138444,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
