,bop date,eop date,day count,bop RSP price,eop RSP price,bop SPY price,eop SPY price,eop SPY / eop RSP,bop SPY / RSP moving avg,eop SPY / RSP moving avg,current position,new position,bop RSP shares,eop RSP shares,eop RSP shares bought,eop RSP shares sold,eop RSP shares traded,bop SPY shares,eop SPY shares,eop SPY shares bought,eop SPY shares sold,eop SPY shares traded,RSP daily commission,SPY daily commission,daily total commissions,RSP cop,RSP pct cop,RSP daily position pnl,SPY cop,SPY pct cop,SPY daily position pnl,daily position pnl,short RSP investment amount,long RSP investment amount,RSP investment amount,daily RSP borrow cost,short SPY investment amount,long SPY investment amount,SPY investment amount,daily SPY borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
0,2024-01-02,2024-01-03,1,,155.52,,468.79,3.0143389917695473,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-01-03,2024-01-04,1,155.52,155.26,468.79,467.28,3.009661213448409,,,,,,,,,,,,,,,,,0.0,-0.2600000000000193,-0.0016732097345947363,,-1.5100000000000477,-0.003226257245218288,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-01-04,2024-01-05,1,155.26,155.71,467.28,467.92,3.0050735341339667,,,,,,,,,,,,,,,,,0.0,0.45000000000001705,0.002894171875799114,,0.6400000000000432,0.0013686914027165624,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2024-01-05,2024-01-08,3,155.71,157.38,467.92,474.6,3.015630956919558,,,,,,,,,,,,,,,,,0.0,1.6699999999999875,0.01066796025350392,,6.680000000000007,0.01417500286689283,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2024-01-08,2024-01-09,1,157.38,156.58,474.6,473.88,3.0264401583854896,,,,,,,,,,,,,,,,,0.0,-0.799999999999983,-0.005096201627069104,,-0.7200000000000273,-0.0015182189151048907,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2024-01-09,2024-01-10,1,156.58,156.85,473.88,476.56,3.038316863245139,,,,,,,,,,,,,,,,,0.0,0.2699999999999818,0.0017228731569188555,,2.680000000000007,0.00563950823387367,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2024-01-10,2024-01-11,1,156.85,156.4,476.56,476.35,3.045716112531969,,,,,,,,,,,,,,,,,0.0,-0.44999999999998863,-0.002873106525476332,,-0.20999999999997954,-0.00044075516764358595,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2024-01-11,2024-01-12,1,156.4,156.05,476.35,476.68,3.054661967318167,,,,,,,,,,,,,,,,,0.0,-0.3499999999999943,-0.0022403593944222665,,0.3299999999999841,0.0006925280698169097,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-01-12,2024-01-16,4,156.05,155.06,476.68,474.93,3.062878885592674,,,,,,,,,,,,,,,,,0.0,-0.9900000000000091,-0.006364329925975563,,-1.75,-0.0036779814688094967,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024-01-16,2024-01-17,1,155.06,153.84,474.93,472.29,3.0700078003120126,,3.034272648365693,,,,,,,,,,,,,,,0.0,-1.2199999999999989,-0.007899037510288658,,-2.6399999999999864,-0.005574221059148539,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
