date,VGT,FTEC,FTEC/VGT,FTEC/VGT avg,FTEC/VGT 10 dma,FTEC/VGT 20 dma,VGT avg,VGT 10 dma,VGT 20 dma,avg diff,10 dma diff,20 dma diff,VGT div,FTEC div,VGT*,FTEC*,FTEC*/VGT*,FTEC*/VGT* avg,FTEC*/VGT* 10 dma,FTEC*/VGT* 20 dma,VGT* avg,VGT* 10 dma,VGT* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-01-02,94.4975,225.48,2.386094870234662,2.386739650056301,,,,,,,,,0.0,0.0,94.4975,225.48,2.386094870234662,2.386818815944301,,,,,,,,
2026-01-05,94.6775,225.87,2.3856776953341607,2.386739650056301,,,225.97054321820545,,,-0.00044503850472906055,,,0.0,0.0,94.6775,225.87,2.3856776953341607,2.386818815944301,,,225.97803844656653,,,-0.00047820700515524323,,
2026-01-06,95.8113,228.55,2.385418003930643,2.386739650056301,,,228.6766286334393,,,-0.0005538987834338006,,,0.0,0.0,95.8113,228.55,2.385418003930643,2.386818815944301,,,228.6842136200842,,,-0.0005870672838599122,,
2026-01-07,95.7625,228.42,2.385276073619632,2.386739650056301,,,228.56015573851656,,,-0.0006133996899039514,,,0.0,0.0,95.7625,228.42,2.385276073619632,2.386818815944301,,,228.5677368618661,,,-0.0006465681903300667,,
2026-01-08,94.3513,224.89,2.3835389655468444,2.386739650056301,,,225.19198874435708,,,-0.0013419279030351043,,,0.0,0.0,94.3513,224.89,2.3835389655468444,2.386818815944301,,,225.19945814880552,,,-0.0013750964034613198,,
2026-01-09,95.245,227.18,2.3852170717622974,2.386739650056301,,,227.32501796961242,,,-0.0006381358568113928,,,0.0,0.0,95.245,227.18,2.3852170717622974,2.386818815944301,,,227.33255812461496,,,-0.0006713043572376503,,
2026-01-12,95.6888,228.24,2.385232127479914,2.386739650056301,,,228.3842530263074,,,-0.000631823781370158,,,0.0,0.0,95.6888,228.24,2.385232127479914,2.386818815944301,,,228.39182831513102,,,-0.0006649922817964549,,
2026-01-13,95.5513,228.05,2.3866760577825734,2.386739650056301,,,228.05607632442465,,,-2.6644347621754523e-05,,,0.0,0.0,95.5513,228.05,2.3866760577825734,2.386818815944301,,,228.06364072793866,,,-5.981284804793274e-05,,
2026-01-14,94.41,225.19,2.385234614977227,2.386739650056301,,,225.33209036181537,,,-0.0006307809076023467,,,0.0,0.0,94.41,225.19,2.385234614977227,2.386818815944301,,,225.33956441330145,,,-0.0006639494080286141,,
2026-01-15,94.9188,226.38,2.3849859037408816,2.386739650056301,2.3853351384408836,,226.54646349576404,,,-0.0007350575277690652,,,0.0,0.0,94.9188,226.38,2.3849859037408816,2.386818815944301,2.3853351384408836,,226.55397782685392,,,-0.0007682260281953337,,
2026-01-16,94.8688,226.28,2.3851888081223755,2.386739650056301,2.385244532229655,,226.42712651326121,226.29388218172048,,-0.0006499854313062514,-6.13476927033886e-05,,0.0,0.0,94.8688,226.28,2.3851888081223755,2.386818815944301,2.385244532229655,,226.43463688605667,226.29388218172048,,-0.0006831539317322979,-6.13476927033886e-05,
2026-01-20,92.3363,220.45,2.3874684170797402,2.386739650056301,2.3854236044042127,,220.38270834949364,220.2446547013171,,0.00030529336754955356,0.0009319165156809448,,0.0,0.0,92.3363,220.45,2.3874684170797402,2.386818815944301,2.3854236044042127,,220.39001823467774,220.2446547013171,,0.00027212486712340406,0.0009319165156809448,
2026-01-21,93.575,223.26,2.3858936681806036,2.386739650056301,2.385471170829209,,223.3391627540184,223.2160137821242,,-0.00035451367333218573,0.00019703731739348953,,0.0,0.0,93.575,223.26,2.3858936681806036,2.386818815944301,2.385471170829209,,223.34657070198796,223.2160137821242,,-0.0003876821737583184,0.00019703731739348953,
2026-01-22,94.2813,224.92,2.385626842226401,2.386739650056301,2.385506247689886,,225.02491696885315,224.9053230982999,,-0.0004663547327591066,6.525600472725303e-05,,0.0,0.0,94.2813,224.92,2.385626842226401,2.386818815944301,2.385506247689886,,225.0323808316894,224.9053230982999,,-0.0004995232331852896,6.525600472725303e-05,
2026-01-23,94.3738,225.19,2.386149545742568,2.386739650056301,2.385767305709458,,225.24569038648337,225.12928951823577,,-0.0002472734197388367,0.00026963305168211055,,0.0,0.0,94.3738,225.19,2.386149545742568,2.386818815944301,2.385767305709458,,225.25316157216426,225.12928951823577,,-0.0002804419201649249,0.00026963305168211055,
2026-01-26,95.0537,226.82,2.3862300994069665,2.386739650056301,2.385868608473925,,226.86843467455665,226.77600974671515,,-0.00021351513963724472,0.00019396225926827278,,0.0,0.0,95.0537,226.82,2.3862300994069665,2.386818815944301,2.385868608473925,,226.8759596851248,226.77600974671515,,-0.0002466836400633047,0.00019396225926827278,
2026-01-27,96.2375,229.61,2.3858682945837124,2.386739650056301,2.385932225184305,,229.69385707229327,229.61003020800933,,-0.000365148569661629,-1.31562246091911e-07,,0.0,0.0,96.2375,229.61,2.3858682945837124,2.386818815944301,2.385932225184305,,229.70147579943966,229.61003020800933,,-0.0003983170700878537,-1.31562246091911e-07,
2026-01-28,96.8975,231.23,2.386336076782167,2.386739650056301,2.3858982270842644,,231.26910524133044,231.19086778979616,,-0.00016910407384780233,0.00016924932684938147,,0.0,0.0,96.8975,231.23,2.386336076782167,2.386818815944301,2.3858982270842644,,231.2767762179629,231.19086778979616,,-0.00020227257427398595,0.00016924932684938147,
2026-01-29,95.1,226.94,2.386330178759201,2.386739650056301,2.386007783462462,,226.97894072035422,226.89892139571353,,-0.0001715756579267244,0.00018102724320039813,,0.0,0.0,95.1,226.94,2.386330178759201,2.386818815944301,2.386007783462462,,226.986469396303,226.89892139571353,,-0.00020474415835288718,0.00018102724320039813,
2026-01-30,93.49,222.96,2.384853995079688,2.386739650056301,2.3859945925963424,2.3856648655186126,223.1362898837636,223.06786767590555,,-0.0007903669989570953,-0.0004836813384353602,,0.0,0.0,93.49,222.96,2.384853995079688,2.386818815944301,2.3859945925963424,2.3856648655186126,223.1436911026327,223.06786767590555,,-0.0008235354993832702,-0.0004836813384353602,
2026-02-02,94.1313,224.76,2.387728630115594,2.386739650056301,2.386248574795664,2.3857465535126594,224.6669060213447,224.59677279406407,224.56573515559217,0.0004142786234625346,0.0007264927247013851,0.0008646949921301064,0.0,0.0,94.1313,224.76,2.387728630115594,2.386818815944301,2.386248574795664,2.3857465535126594,224.67435800929775,224.59677279406407,224.56573515559217,0.0003811101230362238,0.0007264927247013851,0.0008646949921301064
2026-02-03,92.055,219.58,2.3853131280212914,2.386739650056301,2.386033045889819,2.3857283251470163,219.71131848593282,219.66611255281487,219.61989898360787,-0.0005978651720092124,-0.0003920925033011344,-0.00018168940298004721,0.0,0.0,92.055,219.58,2.3853131280212914,2.386818815944301,2.386033045889819,2.3857283251470163,219.71860610175264,219.66611255281487,219.61989898360787,-0.0006310336724354817,-0.0003920925033011344,-0.00018168940298004721
2026-02-04,90.2188,215.16,2.3848687856632984,2.386739650056301,2.3859305576380887,2.385700864233649,215.32878714049943,215.2650381605244,215.23754662077363,-0.0007841651359596658,-0.0004880671582600415,-0.0003603488087774073,0.0,0.0,90.2188,215.16,2.3848687856632984,2.386818815944301,2.3859305576380887,2.385700864233649,215.3359293919157,215.2650381605244,215.23754662077363,-0.0008173336363858868,-0.0004880671582600415,-0.0003603488087774073
2026-02-05,88.5663,211.33,2.386122035130744,2.386739650056301,2.385980076928523,2.3857431623092045,211.38469986878138,211.31304154694226,211.29269845197663,-0.00025880277692574345,8.024953163672523e-05,0.00017652411125508536,0.0,0.0,88.5663,211.33,2.386122035130744,2.386818815944301,2.385980076928523,2.3857431623092045,211.39171129856774,211.31304154694226,211.29269845197663,-0.00029197127735193165,8.024953163672523e-05,0.00017652411125508536
2026-02-06,92.4425,220.65,2.386889147307786,2.386739650056301,2.386054037085045,2.3859106713972515,220.6361801003296,220.565963261465,220.54406228176862,6.263463619804394e-05,0.0003809324528062288,0.00048023184953796246,0.0,0.0,92.4425,220.65,2.386889147307786,2.386818815944301,2.386054037085045,2.3859106713972515,220.64349839293104,220.565963261465,220.54406228176862,2.9466135771926927e-05,0.0003809324528062288,0.00048023184953796246
2026-02-09,93.9338,224.13,2.386042084957704,2.386739650056301,2.3860352356401187,2.3859519220570222,224.1955249404586,224.1311227087392,224.11765582489517,-0.0002923096601910725,-5.009172923264047e-06,5.5077477584174296e-05,0.0,0.0,93.9338,224.13,2.386042084957704,2.386818815944301,2.3860352356401187,2.3859519220570222,224.20296129314877,224.1311227087392,224.11765582489517,-0.00032547816061722756,-5.009172923264047e-06,5.5077477584174296e-05
2026-02-10,93.5313,223.25,2.386901497145875,2.386739650056301,2.386138555896335,2.3860353905403198,223.23486223131093,223.16897743522662,223.16118500749198,6.780865366518025e-05,0.00036298889499960114,0.00039790666839311745,0.0,0.0,93.5313,223.25,2.386901497145875,2.386818815944301,2.386138555896335,2.3860353905403198,223.2422667197312,223.16897743522662,223.16118500749198,3.464015323887281e-05,0.00036298889499960114,0.00039790666839311745
2026-02-11,93.5975,223.29,2.3856406421111673,2.386739650056301,2.386069012429235,2.3859836197567494,223.39286439614463,223.33660348550723,223.32694746609758,-0.0004605701546310325,-0.000208691042193583,-0.00016545483278899013,0.0,0.0,93.5975,223.29,2.3856406421111673,2.386818815944301,2.386069012429235,2.3859836197567494,223.4002741253467,223.33660348550723,223.32694746609758,-0.0004937386550572239,-0.000208691042193583,-0.00016545483278899013
2026-02-12,91.205,217.72,2.3871498273120992,2.386739650056301,2.3861509772845246,2.386079380373493,217.68258978338494,217.62142427860837,217.61363603991433,0.00017184195769584572,0.00045286626807776936,0.0004886549230136715,0.0,0.0,91.205,217.72,2.3871498273120992,2.386818815944301,2.3861509772845246,2.386079380373493,217.68981010819996,217.62142427860837,217.61363603991433,0.00013867345726966277,0.00045286626807776936,0.0004886549230136715
2026-02-13,91.35,217.95,2.3858784893267653,2.386739650056301,2.3862534267092324,2.3861240096527876,218.02866703264309,217.9748917749413,217.9683513971186,-0.00036087560903955536,-0.00011420212719229336,-8.419648803788173e-05,0.0,0.0,91.35,217.95,2.3858784893267653,2.386818815944301,2.3862534267092324,2.3861240096527876,218.03589883651188,217.9748917749413,217.9683513971186,-0.0003940441094658788,-0.00011420212719229336,-8.419648803788173e-05
