date,XLU,IDU,IDU/XLU,IDU/XLU avg,IDU/XLU 10 dma,IDU/XLU 20 dma,XLU avg,XLU 10 dma,XLU 20 dma,avg diff,10 dma diff,20 dma diff,XLU div,IDU div,XLU*,IDU*,IDU*/XLU*,IDU*/XLU* avg,IDU*/XLU* 10 dma,IDU*/XLU* 20 dma,XLU* avg,XLU* 10 dma,XLU* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-04-23,46.09,116.72,2.5324365372098065,2.53201256111268,2.527220602939736,2.529069641129783,116.70045894168342,116.45277616849566,116.55958672099764,0.00016743226751272193,0.0022920681640921166,0.0013752879670371947,0.0,0.0,46.09,116.72,2.5324365372098065,2.5327235982420713,2.527220602939736,2.529069641129783,116.73323064297708,116.45277616849566,116.55958672099764,-0.00011334726835689321,0.0022920681640921166,0.0013752879670371947
2026-04-24,46.18,116.84,2.530099610220875,2.53201256111268,2.5278029660061168,2.528936633553467,116.92834007218356,116.70704744375702,116.79243602737337,-0.0007557916214096526,0.0011385506437384505,0.0004071692620470043,0.0,0.0,46.18,116.84,2.530099610220875,2.5327235982420713,2.5278029660061168,2.528936633553467,116.96117576681885,116.70704744375702,116.79243602737337,-0.0010365711572791689,0.0011385506437384505,0.0004071692620470043
2026-04-27,46.19,116.67,2.52587140073609,2.53201256111268,2.5276201125466367,2.528733164765968,116.95366019779468,116.75921899982252,116.81158310383464,-0.0024283528213488574,-0.0007644201916907322,-0.0012127990508441426,0.0,0.0,46.19,116.67,2.52587140073609,2.5327235982420713,2.5276201125466367,2.528733164765968,116.98650300280127,116.75921899982252,116.81158310383464,-0.0027091323572185654,-0.0007644201916907322,-0.0012127990508441426
2026-04-28,46.25,116.87,2.526918918918919,2.53201256111268,2.527654375860952,2.528543831966269,117.10558095146143,116.90243020528195,116.95390887042602,-0.0020137232279690267,-0.000277451070355011,-0.0007177099590303529,0.0,0.0,46.25,116.87,2.526918918918919,2.5327235982420713,2.527654375860952,2.528543831966269,117.1384664186958,116.90243020528195,116.95390887042602,-0.0022945027638386663,-0.000277451070355011,-0.0007177099590303529
2026-04-29,45.68,115.53,2.5291155866900175,2.53201256111268,2.5278279945038777,2.5284905679362026,115.66233379162722,115.46325188932829,115.50388224421917,-0.0011447940674281013,0.0005779226188087452,0.00022609459390453133,0.0,0.0,45.68,115.53,2.5291155866900175,2.5327235982420713,2.5278279945038777,2.5284905679362026,115.69481396769781,115.46325188932829,115.50388224421917,-0.001425573603297626,0.0005779226188087452,0.00022609459390453133
2026-04-30,46.85,118.3,2.525080042689434,2.53201256111268,2.527908814306802,2.5282969448266925,118.62478848812906,118.42874154250667,118.45978310781109,-0.002741702914690669,-0.0010876715210826884,-0.0013497489309353676,0.0,0.0,46.85,118.3,2.525080042689434,2.5327235982420713,2.527908814306802,2.5282969448266925,118.65810057764104,118.42874154250667,118.45978310781109,-0.0030224824505602123,-0.0010876715210826884,-0.0013497489309353676
2026-05-01,46.55,117.41,2.5222341568206232,2.53201256111268,2.5275975679438036,2.527649912918047,117.86518471979524,117.67415530598163,117.69222278168253,-0.003869386295556111,-0.002247326424987186,-0.0024008528197355856,0.0,0.0,46.55,117.41,2.5222341568206232,2.5327235982420713,2.5275975679438036,2.527649912918047,117.89828349816841,117.67415530598163,117.69222278168253,-0.0041501658314256635,-0.002247326424987186,-0.0024008528197355856
2026-05-04,46.37,117.1,2.525339659262454,2.53201256111268,2.5274102223946393,2.5272978792036738,117.40942245879495,117.20469922555417,117.20712646200984,-0.0026388930142982716,-0.0008937015166051855,-0.0009144106804764036,0.0,0.0,46.37,117.1,2.525339659262454,2.5327235982420713,2.5274102223946393,2.5272978792036738,117.44239325048484,117.20469922555417,117.20712646200984,-0.0029196725501679593,-0.0008937015166051855,-0.0009144106804764036
2026-05-05,46.37,116.96,2.5223204658184173,2.53201256111268,2.526983759521531,2.526690323501727,117.40942245879495,117.19601201243943,117.19080265867434,-0.0038351676165015616,-0.0020158533648898186,-0.0019714024534915314,0.0,0.0,46.37,116.96,2.5223204658184173,2.5327235982420713,2.526983759521531,2.526690323501727,117.44239325048484,117.19601201243943,117.19080265867434,-0.00411594715237126,-0.0020158533648898186,-0.0019714024534915314
2026-05-06,45.71,115.28,2.5219864362283966,2.53201256111268,2.5261402814595035,2.526389474299893,115.7382941684606,115.50842764772918,115.49501468726395,-0.003967605866986895,-0.00197954225565114,-0.0018634144582059579,0.0,0.0,45.71,115.28,2.5219864362283966,2.5327235982420713,2.5261402814595035,2.526389474299893,115.77079567564508,115.50842764772918,115.49501468726395,-0.004248385402856412,-0.00197954225565114,-0.0018634144582059579
