,bop date,eop date,bop RSP price,eop RSP price,RSP cop,RSP pct cop,bop SPY price,eop SPY price,SPY cop,SPY pct cop,bop RSP* price,eop RSP* price,bop RSP* - SPY,eop RSP* - SPY,eop 9 edma,eop 21 edma,edma diff
0,,2006-08-30,,43.43,,,,130.74,,,,152.005,,21.264999999999986,,,
1,2006-08-30,2006-08-31,43.43,43.48,0.0499999999999971,0.0011506157062781,130.74,130.74,0.0,0.0,152.005,152.17999999999998,21.264999999999986,21.43999999999997,,,
2,2006-08-31,2006-09-01,43.48,43.68,0.2000000000000028,0.0045892691836409,130.74,131.44,0.6999999999999886,0.005339855544429,152.17999999999998,152.88,21.43999999999997,21.439999999999998,,,
3,2006-09-01,2006-09-05,43.68,43.75,0.0700000000000002,0.0016012813669738,131.44,131.58,0.1400000000000147,0.0010645579288392,152.88,153.125,21.439999999999998,21.544999999999987,,,
4,2006-09-05,2006-09-06,43.75,43.24,-0.509999999999998,-0.0117256200326158,131.58,130.46,-1.1200000000000043,-0.0085483652899019,153.125,151.34,21.544999999999987,20.879999999999995,,,
5,2006-09-06,2006-09-07,43.24,43.04,-0.2000000000000028,-0.0046360769174786,130.46,130.01,-0.450000000000017,-0.0034552957938727,151.34,150.64,20.879999999999995,20.629999999999995,,,
6,2006-09-07,2006-09-08,43.04,43.32,0.2800000000000011,0.0064845062792609,130.01,130.2,0.1899999999999977,0.0014603592003914,150.64,151.62,20.629999999999995,21.420000000000016,,,
7,2006-09-08,2006-09-11,43.32,43.34,0.0200000000000031,0.0004615739754232,130.2,130.3,0.1000000000000227,0.0007677543563306,151.62,151.69,21.420000000000016,21.389999999999986,,,
8,2006-09-11,2006-09-12,43.34,43.97,0.6299999999999955,0.0144315870845057,130.3,131.72,1.4199999999999875,0.0108389733773639,151.69,153.89499999999998,21.389999999999986,22.174999999999983,21.449967926901596,,
9,2006-09-12,2006-09-13,43.97,44.2,0.2300000000000039,0.0052172058909337,131.72,132.16,0.4399999999999977,0.0033348522645044,153.89499999999998,154.70000000000002,22.174999999999983,22.54000000000002,21.694198387550653,,
10,2006-09-13,2006-09-14,44.2,44.08,-0.1200000000000045,-0.0027186242389934,132.16,132.26,0.0999999999999943,0.0007563724738482,154.70000000000002,154.28,22.54000000000002,22.02000000000001,21.765481918744985,,
11,2006-09-14,2006-09-15,44.08,44.13,0.0500000000000042,0.0011336584367968,132.26,131.9,-0.3599999999999852,-0.0027256225232473,154.28,154.455,22.02000000000001,22.555000000000007,21.935037291488715,,
12,2006-09-15,2006-09-18,44.13,44.11,-0.0200000000000031,-0.0004533091646075,131.9,132.06,0.1599999999999966,0.0012123050431562,154.455,154.385,22.555000000000007,22.32499999999999,22.017566949099965,,
13,2006-09-18,2006-09-19,44.11,44.02,-0.0899999999999963,-0.0020424380185326,132.06,131.88,-0.1800000000000068,-0.001363946562895,154.385,154.07000000000002,22.32499999999999,22.190000000000026,22.053640072003272,,
14,2006-09-19,2006-09-20,44.02,44.25,0.2299999999999968,0.0052112953556229,131.88,132.44,0.5600000000000023,0.0042372944755152,154.07000000000002,154.875,22.190000000000026,22.435000000000002,22.132693502931286,,
15,2006-09-20,2006-09-21,44.25,43.93,-0.3200000000000003,-0.0072579134662502,132.44,131.83,-0.6099999999999852,-0.0046164989091668,154.875,153.755,22.435000000000002,21.924999999999983,22.089951728344385,,
16,2006-09-21,2006-09-22,43.93,43.77,-0.1599999999999966,-0.0036488067848841,131.83,131.52,-0.3100000000000023,-0.0023542824620087,153.755,153.19500000000002,21.924999999999983,21.67500000000001,22.005049555710322,,
17,2006-09-22,2006-09-25,43.77,44.23,0.4599999999999937,0.0104546406774312,131.52,132.45,0.9299999999999784,0.0070462844102088,153.19500000000002,154.80499999999998,21.67500000000001,22.35499999999999,22.076323603671618,,
18,2006-09-25,2006-09-26,44.23,44.54,0.3100000000000023,0.0069843699489862,132.45,133.47,1.0200000000000102,0.0076715177679814,154.80499999999998,155.89,22.35499999999999,22.419999999999987,22.14606394720984,,
19,2006-09-26,2006-09-27,44.54,44.49,-0.0499999999999971,-0.001123217011271,133.47,133.68,0.2100000000000079,0.0015721508010782,155.89,155.715,22.419999999999987,22.034999999999997,22.12359207471742,,
20,2006-09-27,2006-09-28,44.49,44.59,0.1000000000000014,0.0022451738214348,133.68,133.7,0.0199999999999818,0.0001495998207591,155.715,156.065,22.034999999999997,22.36500000000001,22.17232312437467,22.045426743442846,0.1268963809318251
21,2006-09-28,2006-09-29,44.59,44.42,-0.1700000000000017,-0.0038198001731039,133.7,133.65,-0.0499999999999829,-0.0003740415229693,156.065,155.47,22.36500000000001,21.819999999999993,22.101334697361615,22.02206329791837,0.07927139944324679
22,2006-09-29,2006-10-02,44.42,44.34,-0.0799999999999983,-0.0018026142781159,133.65,133.1,-0.5500000000000114,-0.0041237171838621,155.47,155.19,21.819999999999993,22.090000000000003,22.0990542967802,22.02901580491771,0.07003849186249056
23,2006-10-02,2006-10-03,44.34,44.33,-0.0100000000000051,-0.0002255554312033,133.1,133.35,0.25,0.0018765252269573,155.19,155.155,22.090000000000003,21.805000000000007,22.03996439324423,22.00634952402102,0.033614869223210775
24,2006-10-03,2006-10-04,44.33,44.85,0.5200000000000031,0.0116619397478429,133.35,134.95,1.5999999999999943,0.0119270888359903,155.155,156.975,21.805000000000007,22.025000000000006,22.03696016494175,22.00821742127923,0.028742743662519388
25,2006-10-04,2006-10-05,44.85,45.09,0.240000000000002,0.0053369039281876,134.95,135.18,0.2300000000000182,0.0017028842081945,156.975,157.815,22.025000000000006,22.63499999999999,22.15693072070955,22.070416497355826,0.08651422335372416
