,bop date,eop date,day count,bop XLC price,eop XLC price,bop VOX price,eop VOX price,eop VOX / eop XLC,bop VOX / XLC moving avg,eop VOX / XLC moving avg,eop XLC unit price,eop VOX / eop VOX,bop VOX / VOX moving avg,eop VOX / VOX moving avg,eop VOX unit price,XLC unit price pct diff,VOX unit price pct diff,unit price pct diff,month end liquidation,go short,exit short,current_position,new_position,XLC shares per unit,bop XLC shares,eop XLC shares,eop XLC shares bought,eop XLC shares sold,eop XLC shares traded,VOX shares per unit,bop VOX shares,eop VOX shares,eop VOX shares bought,eop VOX shares sold,eop VOX shares traded,XLC daily commission,VOX daily commission,daily total commissions,XLC cop,XLC pct cop,XLC daily position pnl,VOX cop,VOX pct cop,VOX daily position pnl,daily position pnl,short XLC investment amount,long XLC investment amount,XLC investment amount,daily XLC borrow cost,short VOX investment amount,long VOX investment amount,VOX investment amount,daily VOX borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
0,2024-01-02,2024-01-03,1,,71.98,,116.09,1.6128091136426785,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-01-03,2024-01-04,1,71.98,71.74,116.09,115.84,1.6147198215779204,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.2400000000000091,-0.0033398305467482988,,-0.25,-0.0021558237125381785,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-01-04,2024-01-05,1,71.74,72.04,115.84,116.29,1.6142420877290393,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.30000000000001137,0.004173048203618914,,0.45000000000000284,0.0038771426675457085,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2024-01-05,2024-01-08,3,72.04,73.16,116.29,118.17,1.6152268999453254,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,1.1199999999999903,0.015427303214909385,,1.8799999999999955,0.01603719434597234,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2024-01-08,2024-01-09,1,73.16,73.01,118.17,117.85,1.61416244350089,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.14999999999999147,-0.002052405454670487,,-0.3200000000000074,-0.0027116362687841598,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2024-01-09,2024-01-10,1,73.01,73.69,117.85,118.99,1.61473741348894,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.6799999999999926,0.009270686710913533,,1.1400000000000006,0.009626826584921961,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2024-01-10,2024-01-11,1,73.69,73.45,118.99,118.52,1.6136147038801905,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.23999999999999488,-0.003262202159021531,,-0.46999999999999886,-0.00395773326169761,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2024-01-11,2024-01-12,1,73.45,73.81,118.52,118.89,1.610757349952581,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.35999999999999943,0.004889321162074662,,0.37000000000000455,0.0031169731650889567,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-01-12,2024-01-16,4,73.81,73.39,118.89,118.25,1.6112549393650362,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.4200000000000017,-0.005706537224989569,,-0.6400000000000006,-0.00539766849841104,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024-01-16,2024-01-17,1,73.39,72.94,118.25,117.36,1.6089936934466684,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.45000000000000284,-0.006150501176437292,,-0.8900000000000006,-0.007554893537316081,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2024-01-17,2024-01-18,1,72.94,73.83,117.36,118.9,1.6104564540159827,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.8900000000000006,0.012127967690539965,,1.5400000000000063,0.013036669862009881,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
