date,FENY,VDE,VDE/FENY,VDE/FENY avg,VDE/FENY 10 dma,VDE/FENY 20 dma,FENY avg,FENY 10 dma,FENY 20 dma,avg diff,10 dma diff,20 dma diff,FENY div,VDE div,FENY*,VDE*,VDE*/FENY*,VDE*/FENY* avg,VDE*/FENY* 10 dma,VDE*/FENY* 20 dma,FENY* avg,FENY* 10 dma,FENY* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-01-02,25.3,128.66,5.085375494071146,5.085845916633113,,,,,,,,,0.0,0.0,25.3,128.66,5.085375494071146,5.084784432355385,,,,,,,,
2026-01-05,25.9,131.63,5.082239382239383,5.085845916633113,,,131.72340924079762,,,-0.0007093832199405501,,,0.0,0.0,25.9,131.63,5.082239382239383,5.084784432355385,,,131.69591679800448,,,-0.000500648019631683,,
2026-01-06,25.26,128.43,5.084323040380047,5.085845916633113,,,128.46846785415246,,,-0.0002994790491455856,,,0.0,0.0,25.26,128.43,5.084323040380047,5.084784432355385,,,128.44165476129703,,,-9.074384883652597e-05,,
2026-01-07,24.99,127.1,5.086034413765506,5.085845916633113,,,127.09528945666149,,,3.7062396782405785e-05,,,0.0,0.0,24.99,127.1,5.086034413765506,5.084784432355385,,,127.06876296456107,,,0.00024579759709136075,,
2026-01-08,25.73,130.87,5.086280606296152,5.085845916633113,,,130.85881543497,,,8.54668219715875e-05,,,0.0,0.0,25.73,130.87,5.086280606296152,5.084784432355385,,,130.83150344450405,,,0.00029420202228069587,,
2026-01-09,25.8,131.2,5.085271317829457,5.085845916633113,,,131.21482464913433,,,-0.00011298636934806539,,,0.0,0.0,25.8,131.2,5.085271317829457,5.084784432355385,,,131.18743835476894,,,9.574883096092456e-05,,
2026-01-12,25.65,130.48,5.086939571150097,5.085845916633113,,,130.45194776163936,,,0.00021501574421479885,,,0.0,0.0,25.65,130.48,5.086939571150097,5.084784432355385,,,130.42472068991563,,,0.000423750944523782,,
2026-01-13,26.04,132.42,5.0852534562211975,5.085845916633113,,,132.43542766912626,,,-0.00011649879543335579,,,0.0,0.0,26.04,132.42,5.0852534562211975,5.084784432355385,,,132.40778661853423,,,9.223640487556935e-05,,
2026-01-14,26.62,135.35,5.084522915101427,5.085845916633113,,,135.3852183007735,,,-0.000260167858420435,,,0.0,0.0,26.62,135.35,5.084522915101427,5.084784432355385,,,135.35696158930037,,,-5.143265811151186e-05,,
2026-01-15,26.4,134.23,5.0844696969696965,5.085845916633113,5.085070989402411,,134.26633219911417,,,-0.0002706346044906217,,,0.0,0.0,26.4,134.23,5.0844696969696965,5.084784432355385,5.085070989402411,,134.23830901418216,,,-6.189940418168007e-05,,
