,bop date,eop date,day count,bop RSP price,eop RSP price,,,bop SPY price,eop SPY price,,,,,,,eop SPY / eop RSP,bop SPY / RSP moving avg,eop SPY / RSP moving avg,current position,new position,bop RSP shares,eop RSP shares,eop RSP shares bought,eop RSP shares sold,eop RSP shares traded,bop SPY shares,eop SPY shares,eop SPY shares bought,eop SPY shares sold,eop SPY shares traded,RSP daily commission,SPY daily commission,daily total commissions,RSP cop,RSP pct cop,RSP daily position pnl,SPY cop,SPY pct cop,SPY daily position pnl,daily position pnl,short RSP investment amount,long RSP investment amount,RSP investment amount,daily RSP borrow cost,short SPY investment amount,long SPY investment amount,SPY investment amount,daily SPY borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
108,6/6/2024,6/7/2024,1,165.08,164.56,1.058127572,-0.32%,534.66,534.01,1.139124128,-0.12%,0.19%,7.38%,0.19%,7.38%,3.245077783,3.179075975,3.184500993,1,1,605.7669009,607.681089,1.914188068,0,1.914188068,-187.0347511,-187.2624108,0,0.22765976,-0.22765976,-0.00957094,-0.001138299,-0.010709239,-0.52,-0.00315496,-314.9987885,-0.65,-0.001216465,121.5725882,-193.4262003,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,-196.2146873,3399.644824,-3885.103814
109,6/7/2024,6/10/2024,3,164.56,165,1.06095679,0.27%,534.01,535.66,1.142643828,0.31%,0.04%,7.42%,0.04%,7.42%,3.246424242,3.184500993,3.190046575,1,1,607.681089,606.0606061,0,1.620482904,-1.620482904,-187.2624108,-186.6855841,0.576826677,0,0.576826677,-0.008102415,-0.002884133,-0.010986548,0.44,0.002670229,267.3796791,1.65,0.003085066,-308.9829778,-41.6032987,0,100000,100000,0,-100000,0,-100000,-8.333333333,0,200000,-100000,-8.333333333,-49.94761858,3349.697206,-3935.051432
110,6/10/2024,6/11/2024,1,165,164.32,1.056584362,-0.41%,535.66,536.95,1.145395593,0.24%,0.65%,8.07%,0.65%,8.07%,3.267709348,3.190046575,3.196597574,1,1,606.0606061,608.5686465,2.508040483,0,2.508040483,-186.6855841,-186.2370798,0.448504337,0,0.448504337,-0.012540202,-0.002242522,-0.014782724,-0.68,-0.004129728,-412.1212121,1.29,0.002405349,-240.8244035,-652.9456157,0,100000,100000,0,-100000,0,-100000,-2.777777778,-1.46E-11,200000,-100000,-2.777777778,-655.7381762,2693.95903,-4590.789608
111,6/11/2024,6/12/2024,1,164.32,165.2,1.062242798,0.53%,536.95,541.36,1.15480279,0.82%,0.28%,8.35%,0.28%,8.35%,3.276997579,3.196597574,3.203517087,1,1,608.5686465,605.3268765,0,3.24177003,-3.24177003,-186.2370798,-184.7199645,1.517115269,0,1.517115269,-0.01620885,-0.007585576,-0.023794426,0.88,0.005341115,535.540409,4.41,0.008179512,-821.3055219,-285.765113,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,-288.5666852,2405.392344,-4879.356294
112,6/12/2024,6/13/2024,1,165.2,164.73,1.059220679,-0.28%,541.36,542.45,1.157127925,0.20%,0.49%,8.84%,0.49%,8.84%,3.292964245,3.203517087,3.210548972,1,1,605.3268765,607.0539671,1.727090584,0,1.727090584,-184.7199645,-184.3487879,0.371176627,0,0.371176627,-0.008635453,-0.001855883,-0.010491336,-0.47,-0.002849091,-284.503632,1.09,0.002011423,-201.3447613,-485.8483933,0,100000,100000,0,-100000,0,-100000,-2.777777778,-1.46E-11,200000,-100000,-2.777777778,-488.6366624,1916.755682,-5367.992956
113,6/13/2024,6/14/2024,1,164.73,163.68,1.052469136,-0.64%,542.45,542.78,1.157831865,0.06%,0.70%,9.54%,0.70%,9.54%,3.316104594,3.210548972,3.218809056,1,1,607.0539671,610.9481916,3.894224496,0,3.894224496,-184.3487879,-184.2367073,0.112080585,0,0.112080585,-0.019471122,-0.000560403,-0.020031525,-1.05,-0.006394468,-637.4066655,0.33,0.000608166,-60.83510001,-698.2417655,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,-701.0395748,1215.716107,-6069.032531
114,6/14/2024,6/17/2024,3,163.68,164.87,1.060120885,0.72%,542.78,547.1,1.167047079,0.79%,0.07%,9.61%,0.07%,9.61%,3.318372051,3.218809056,3.227190762,1,1,610.9481916,606.5384849,0,4.409706726,-4.409706726,-184.2367073,-182.7819411,1.454766177,0,1.454766177,-0.022048534,-0.007273831,-0.029322365,1.19,0.007243982,727.028348,4.32,0.00792752,-795.9025756,-68.87422763,0,100000,100000,0,-100000,0,-100000,-8.333333333,0,200000,-100000,-8.333333333,-77.23688333,1138.479224,-6146.269414
115,6/17/2024,6/18/2024,1,164.87,165.28,1.062757202,0.25%,547.1,548.49,1.170012159,0.25%,0.01%,9.61%,0.01%,9.61%,3.318550339,3.227190762,3.235268369,1,1,606.5384849,605.0338819,0,1.504602969,-1.504602969,-182.7819411,-182.3187296,0.463211541,0,0.463211541,-0.007523015,-0.002316058,-0.009839073,0.41,0.002483721,248.6807788,1.39,0.002537447,-254.0668982,-5.386119395,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,-8.173736245,1130.305488,-6154.44315
116,6/18/2024,6/20/2024,2,165.28,165.38,1.063400206,0.06%,548.49,547,1.166833764,-0.27%,-0.33%,9.28%,-0.33%,9.28%,3.307534164,3.235268369,3.242342032,1,1,605.0338819,604.6680372,0,0.36584465,-0.36584465,-182.3187296,-182.8153565,0,0.496626887,-0.496626887,-0.001829223,-0.002483134,-0.004312358,0.1,0.000604851,60.50338819,-1.49,-0.002720246,271.6549071,332.1582953,0,100000,100000,0,-100000,0,-100000,-5.555555556,0,200000,-100000,-5.555555556,326.5984274,1456.903915,-5827.844723
117,6/20/2024,6/21/2024,1,165.38,165.59,1.064750514,0.13%,547,544.51,1.161522217,-0.46%,-0.58%,8.70%,-0.58%,8.70%,3.288302434,3.242342032,3.248305691,1,1,604.6680372,603.9012018,0,0.766835484,-0.766835484,-182.8153565,-183.6513563,0,0.835999775,-0.835999775,-0.003834177,-0.004179999,-0.008014176,0.21,0.001268997,126.9802878,-2.49,-0.004562495,455.2102377,582.1905255,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,579.4047335,2036.308649,-5248.439989
118,6/21/2024,6/24/2024,3,165.59,165.72,1.06558642,0.08%,544.51,542.74,1.157746539,-0.33%,-0.40%,8.30%,-0.40%,8.30%,3.27504224,3.248305691,3.252530961,1,1,603.9012018,603.427468,0,0.473733745,-0.473733745,-183.6513563,-184.2502856,0,0.598929323,-0.598929323,-0.002368669,-0.002994647,-0.005363315,0.13,0.000784764,78.50715623,-1.77,-0.003255924,325.0629006,403.5700568,0,100000,100000,0,-100000,0,-100000,-8.333333333,-1.46E-11,200000,-100000,-8.333333333,395.2313602,2431.540009,-4853.208629
119,6/24/2024,6/25/2024,1,165.72,164.58,1.058256173,-0.69%,542.74,544.83,1.162204825,0.38%,1.07%,9.37%,1.07%,9.37%,3.31042654,3.252530961,3.258524748,1,1,603.427468,607.6072427,4.17977466,0,4.17977466,-184.2502856,-183.5434906,0.706794958,0,0.706794958,-0.020898873,-0.003533975,-0.024432848,-1.14,-0.006902843,-687.9073135,2.09,0.003843435,-385.0830969,-1072.99041,0,100000,100000,0,-100000,0,-100000,-2.777777778,-1.46E-11,200000,-100000,-2.777777778,-1075.792621,1355.747388,-5929.00125
120,6/25/2024,6/26/2024,1,164.58,163.96,1.054269547,-0.38%,544.83,545.51,1.163655368,0.12%,0.50%,9.87%,0.50%,9.87%,3.327091974,3.258524748,3.264126267,1,1,607.6072427,609.9048548,2.297612164,0,2.297612164,-183.5434906,-183.3146963,0.228794291,0,0.228794291,-0.011488061,-0.001143971,-0.012632032,-0.62,-0.003774279,-376.7164905,0.68,0.001247318,-124.8095736,-501.5260641,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,-504.3164739,851.4309138,-6433.317724
121,6/26/2024,6/27/2024,1,163.96,164.16,1.055555556,0.12%,545.51,546.37,1.165489878,0.16%,0.04%,9.91%,0.04%,9.91%,3.32827729,3.264126267,3.269021035,1,1,609.9048548,609.1617934,0,0.74306147,-0.74306147,-183.3146963,-183.0261544,0.288541902,0,0.288541902,-0.003715307,-0.00144271,-0.005158017,0.2,0.001219066,121.980971,0.86,0.001575265,-157.6506389,-35.66966788,0,100000,100000,0,-100000,0,-100000,-2.777777778,1.46E-11,200000,-100000,-2.777777778,-38.45260368,812.9783101,-6471.770328
122,6/27/2024,6/28/2024,1,164.16,164.28,1.05632716,0.07%,546.37,544.22,1.160903603,-0.39%,-0.47%,9.44%,-0.47%,9.44%,3.312758705,3.269021035,3.27494685,1,1,609.1617934,608.7168249,0,0.444968439,-0.444968439,-183.0261544,-183.7492191,0,0.723064628,-0.723064628,-0.002224842,-0.003615323,-0.005840165,0.12,0.000730727,73.0994152,-2.15,-0.003942825,393.506232,466.6056472,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,463.8220293,1276.800339,-6007.948299
123,6/28/2024,7/1/2024,3,164.28,162.95,1.047775206,-0.81%,544.22,545.34,1.163292732,0.21%,1.02%,10.46%,1.02%,10.46%,3.346670758,3.27494685,3.283223204,1,1,608.7168249,613.6851795,4.96835457,0,4.96835457,-183.7492191,-183.3718414,0.377377646,0,0.377377646,-0.024841773,-0.001886888,-0.026728661,-1.33,-0.008128884,-809.5933772,1.12,0.002055876,-205.7991254,-1015.392503,0,100000,100000,0,-100000,0,-100000,-8.333333333,0,200000,-100000,-8.333333333,-1023.752565,253.0477749,-7031.700863
124,7/1/2024,7/2/2024,1,162.95,163.68,1.052469136,0.45%,545.34,549.01,1.171121398,0.67%,0.22%,10.68%,0.22%,10.68%,3.354166667,3.283223204,3.290895151,1,1,613.6851795,610.9481916,0,2.73698791,-2.73698791,-183.3718414,-182.1460447,1.225796721,0,1.225796721,-0.01368494,-0.006128984,-0.019813923,0.73,0.004469897,447.990181,3.67,0.006707203,-672.974658,-224.984477,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,-227.7820687,25.26570621,-7259.482932
125,7/2/2024,7/3/2024,1,163.68,163.75,1.052919239,0.04%,549.01,551.46,1.176347618,0.45%,0.40%,11.08%,0.40%,11.08%,3.367694656,3.290895151,3.298577329,1,1,610.9481916,610.6870229,0,0.261168693,-0.261168693,-182.1460447,-181.336815,0.809229698,0,0.809229698,-0.001305843,-0.004046148,-0.005351992,0.07,0.000427572,42.76637341,2.45,0.00445265,-446.2578095,-403.4914361,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,-406.2745659,-381.0088597,-7665.757498
126,7/3/2024,7/5/2024,2,163.75,163.68,1.052469136,-0.04%,551.46,554.64,1.183131039,0.57%,0.62%,11.70%,0.62%,11.70%,3.38856305,3.298577329,3.306376098,1,1,610.6870229,610.9481916,0.261168693,0,0.261168693,-181.336815,-180.2971297,1.03968533,0,1.03968533,-0.001305843,-0.005198427,-0.00650427,-0.07,-0.000427572,-42.7480916,3.18,0.005749948,-576.6510717,-619.3991633,0,100000,100000,0,-100000,0,-100000,-5.555555556,0,200000,-100000,-5.555555556,-624.9612231,-1005.970083,-8290.718721
127,7/5/2024,7/8/2024,3,163.68,164,1.054526749,0.20%,554.64,555.28,1.184496256,0.12%,-0.08%,11.62%,-0.08%,11.62%,3.385853659,3.306376098,3.313729116,1,1,610.9481916,609.7560976,0,1.192094032,-1.192094032,-180.2971297,-180.0893243,0.207805365,0,0.207805365,-0.00596047,-0.001039027,-0.006999497,0.32,0.001953126,195.5034213,0.64,0.001153236,-115.390163,80.11325832,0,100000,100000,0,-100000,0,-100000,-8.333333333,0,200000,-100000,-8.333333333,71.77292549,-934.1971573,-8218.945795
128,7/8/2024,7/9/2024,1,164,163.72,1.052726337,-0.17%,555.28,555.82,1.185648158,0.10%,0.27%,11.89%,0.27%,11.89%,3.394942585,3.313729116,3.321222356,1,1,609.7560976,610.798925,1.042827433,0,1.042827433,-180.0893243,-179.9143608,0.174963541,0,0.174963541,-0.005214137,-0.000874818,-0.006088955,-0.28,-0.001708776,-170.7317073,0.54,0.00097201,-97.24823512,-267.9799424,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,-270.7638092,-1204.960966,-8489.709604
129,7/9/2024,7/10/2024,1,163.72,165.07,1.061406893,0.82%,555.82,561.32,1.19738049,0.98%,0.16%,12.05%,0.16%,12.05%,3.400496759,3.321222356,3.328925982,1,1,610.798925,605.8035985,0,4.995326521,-4.995326521,-179.9143608,-178.1515,1.762860729,0,1.762860729,-0.024976633,-0.008814304,-0.033790936,1.35,0.008211975,824.5785487,5.5,0.009846652,-989.5289842,-164.9504355,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,-167.7620042,-1372.722971,-8657.471609
130,7/10/2024,7/11/2024,1,165.07,167.06,1.074202675,1.20%,561.32,556.48,1.187056038,-0.87%,-2.06%,9.99%,-2.06%,9.99%,3.331018796,3.328925982,3.332091454,1,1,605.8035985,598.5873339,0,7.216264581,-7.216264581,-178.1515,-179.7009776,0,1.549477538,-1.549477538,-0.036081323,-0.007747388,-0.043828711,1.99,0.011983403,1205.549161,-4.84,-0.008659922,862.2532602,2067.802421,0,100000,100000,0,-100000,0,-100000,-2.777777778,-1.46E-11,200000,-100000,-2.777777778,2064.980815,692.257844,-6592.490794
131,7/11/2024,7/12/2024,1,167.06,168.53,1.083654835,0.88%,556.48,559.99,1.194543399,0.63%,-0.25%,9.74%,-0.25%,9.74%,3.322791194,3.332091454,3.334381135,1,-1,598.5873339,-593.3661663,0,1191.9535,-1191.9535,-179.7009776,178.5746174,358.275595,0,358.275595,-5.959767501,-1.791377975,-7.751145476,1.47,0.008760746,879.9233808,3.51,0.006287695,-630.7504313,249.1729495,0,100000,100000,0,-100000,0,-100000,-2.777777778,0,200000,-100000,-2.777777778,238.6440263,930.9018703,-6353.846768
132,7/12/2024,7/15/2024,3,168.53,168.72,1.084876543,0.11%,559.99,561.53,1.197828452,0.27%,0.16%,9.90%,0.16%,9.90%,3.328176861,3.334381135,3.336141766,-1,-1,-593.3661663,-592.6979611,0.668205142,0,0.668205142,178.5746174,178.0848753,0,0.489742152,-0.489742152,-0.003341026,-0.002448711,-0.005789736,0.19,0.001126761,-112.7395716,1.54,0.002746275,275.0049108,162.2653392,-100000,0,-100000,-8.333333333,0,100000,100000,0,1.46E-11,200000,-100000,-8.333333333,153.9262161,1084.828086,-6199.920552
133,7/15/2024,7/16/2024,1,168.72,171.71,1.104102366,1.76%,561.53,564.86,1.204931846,0.59%,-1.17%,8.74%,-1.17%,8.74%,3.289616213,3.336141766,3.334817347,-1,-1,-592.6979611,-582.377264,10.32069713,0,10.32069713,178.0848753,177.0350175,0,1.049857725,-1.049857725,-0.051603486,-0.005249289,-0.056852774,2.99,0.017566471,-1772.166904,3.33,0.005912712,593.0226346,-1179.144269,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,-1181.9789,-97.15081328,-7381.899451
134,7/16/2024,7/17/2024,1,171.71,171.01,1.099601337,-0.41%,564.86,556.94,1.188037287,-1.41%,-1.00%,7.74%,-1.00%,7.74%,3.25676861,3.334817347,3.331737175,-1,-1,-582.377264,-584.7611251,0,2.383861089,-2.383861089,177.0350175,179.552555,2.517537506,0,2.517537506,-0.011919305,-0.012587688,-0.024506993,-0.7,-0.004084973,407.6640848,-7.92,-0.014120399,-1402.117339,-994.453254,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,-997.2555388,-1094.406352,-8379.15499
135,7/17/2024,7/18/2024,1,171.01,169.54,1.090149177,-0.86%,556.94,552.66,1.1789074,-0.77%,0.09%,7.83%,0.09%,7.83%,3.259761708,3.331737175,3.328797743,-1,-1,-584.7611251,-589.8313082,0,5.070183165,-5.070183165,179.552555,180.9430753,1.390520276,0,1.390520276,-0.025350916,-0.006952601,-0.032303517,-1.47,-0.008633147,859.5988539,-4.28,-0.00771453,-768.4849355,91.11391833,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,88.30383703,-1006.102515,-8290.851153
136,7/18/2024,7/19/2024,1,169.54,168.4,1.08281893,-0.67%,552.66,548.99,1.171078735,-0.67%,0.01%,7.84%,0.01%,7.84%,3.260035629,3.328797743,3.326422816,-1,-1,-589.8313082,-593.824228,0,3.992919783,-3.992919783,180.9430753,182.1526804,1.209605068,0,1.209605068,-0.019964599,-0.006048025,-0.026012624,-1.14,-0.006746785,672.4076914,-3.67,-0.006662758,-664.0610864,8.346605018,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,5.542814616,-1000.5597,-8285.308338
137,7/19/2024,7/22/2024,3,168.4,169.73,1.091370885,0.79%,548.99,554.65,1.183152371,1.03%,0.24%,8.07%,0.24%,8.07%,3.267837153,3.326422816,3.325399552,-1,-1,-593.824228,-589.1710364,4.653191677,0,4.653191677,182.1526804,180.293879,0,1.858801354,-1.858801354,-0.023265958,-0.009294007,-0.032559965,1.33,0.007866837,-789.7862233,5.66,0.010257058,1030.984171,241.1979477,-100000,0,-100000,-8.333333333,0,100000,100000,0,0,200000,-100000,-8.333333333,232.8320544,-767.7276461,-8052.476284
138,7/22/2024,7/23/2024,1,169.73,169.13,1.08751286,-0.35%,554.65,553.78,1.181296529,-0.16%,0.20%,8.27%,0.20%,8.27%,3.274286052,3.325399552,3.325361743,-1,-1,-589.1710364,-591.2611601,0,2.090123703,-2.090123703,180.293879,180.5771245,0.283245467,0,0.283245467,-0.010450619,-0.001416227,-0.011866846,-0.6,-0.003541289,353.5026218,-0.87,-0.001569788,-156.8556747,196.6469471,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,193.8573024,-573.8703436,-7858.618982
139,7/23/2024,7/24/2024,1,169.13,167.15,1.074781379,-1.18%,553.78,541.23,1.15452548,-2.29%,-1.11%,7.16%,-1.11%,7.16%,3.237989829,3.325361743,3.321739907,-1,-1,-591.2611601,-598.2650314,0,7.003871355,-7.003871355,180.5771245,184.7643331,4.187208603,0,4.187208603,-0.035019357,-0.020936043,-0.0559554,-1.98,-0.011776037,1170.697097,-12.55,-0.022923169,-2266.242912,-1095.545815,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,-1098.379549,-1672.249892,-8956.99853
140,7/24/2024,7/25/2024,1,167.15,167.35,1.076067387,0.12%,541.23,538.41,1.148509994,-0.52%,-0.64%,6.52%,-0.64%,6.52%,3.217269196,3.321739907,3.316248769,-1,-1,-598.2650314,-597.5500448,0.714986593,0,0.714986593,184.7643331,185.7320629,0.967729833,0,0.967729833,-0.003574933,-0.004838649,-0.008413582,0.2,0.001195815,-119.6530063,-2.82,-0.005223975,-521.0354193,-640.6884256,-100000,0,-100000,-2.777777778,0,100000,100000,0,-1.46E-11,200000,-100000,-2.777777778,-643.474617,-2315.724509,-9600.473147
141,7/25/2024,7/26/2024,1,167.35,169.74,1.091435185,1.42%,538.41,544.44,1.161372896,1.11%,-0.30%,6.21%,-0.30%,6.21%,3.207493814,3.316248769,3.310209595,-1,-1,-597.5500448,-589.1363261,8.41371867,0,8.41371867,185.7320629,183.6749688,0,2.057094151,-2.057094151,-0.042068593,-0.010285471,-0.052354064,2.39,0.014180427,-1428.144607,6.03,0.011137392,1119.964339,-308.1802677,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,-311.0103995,-2626.734909,-9911.483547
