,bop date,eop date,day count,bop SPMB price,eop SPMB price,bop VMBS price,eop VMBS price,bop MBB price,eop MBB price,eop MBB / eop SPMB,eop MBB / SPMB moving avg,bop MBB / SPMB moving avg,eop SPMB unit price,eop MBB / eop VMBS,eop MBB / VMBS moving avg,bop MBB / VMBS moving avg,eop VMBS unit price,eop MBB / eop MBB,eop MBB / MBB moving avg,bop MBB / MBB moving avg,eop MBB unit price,SPMB unit price pct diff,VMBS unit price pct diff,MBB unit price pct diff,min symbol,max symbol,min unit price pct diff,max unit price pct diff,unit price pct diff,month end liquidation,go group,exit group,current long symbol,current short symbol,new long symbol,new short symbol,current_position,new_position,SPMB shares per unit,eop SPMB shares,bop SPMB shares,eop SPMB shares traded,eop SPMB shares bought,eop SPMB shares sold,VMBS shares per unit,eop VMBS shares,bop VMBS shares,eop VMBS shares traded,eop VMBS shares bought,eop VMBS shares sold,MBB shares per unit,eop MBB shares,bop MBB shares,eop MBB shares traded,eop MBB shares bought,eop MBB shares sold,SPMB daily commission,SPMB cop,SPMB pct cop,SPMB daily position pnl,SPMB investment amount,short SPMB investment amount,long SPMB investment amount,daily SPMB borrow cost,VMBS daily commission,VMBS cop,VMBS pct cop,VMBS daily position pnl,VMBS investment amount,short VMBS investment amount,long VMBS investment amount,daily VMBS borrow cost,MBB daily commission,MBB cop,MBB pct cop,MBB daily position pnl,MBB investment amount,short MBB investment amount,long MBB investment amount,daily MBB borrow cost,daily total commissions,daily position pnl,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
11,2024-01-18,2024-01-19,1,21.75,21.74,45.68,45.67,92.72,92.69,4.2635694572217115,,,,2.0295598861396975,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.010000000000001563,-0.000459875841629768,,,,,,,-0.00999999999999801,-0.00021893815084719087,,,,,,,-0.030000000000001137,-0.0003236071437549953,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2024-01-19,2024-01-22,3,21.74,21.77,45.67,45.7,92.69,92.76,4.260909508497933,,,,2.0297592997811815,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.030000000000001137,0.001378993553392819,,,,,,,0.030000000000001137,0.0006566707032514798,,,,,,,0.07000000000000739,0.0007549204995897847,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2024-01-22,2024-01-23,1,21.77,21.71,45.7,45.61,92.76,92.48,4.2597881160755415,,,,2.0276255207191407,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.05999999999999872,-0.0027598913562555207,,,,,,,-0.09000000000000341,-0.0019713071765500097,,,,,,,-0.28000000000000114,-0.0030231074632635674,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2024-01-23,2024-01-24,1,21.71,21.66,45.61,45.49,92.48,92.37,4.2645429362880884,,,,2.0305561661903715,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.05000000000000071,-0.0023057423173559748,,,,,,,-0.11999999999999744,-0.002634469141696256,,,,,,,-0.10999999999999943,-0.0011901543195486125,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2024-01-24,2024-01-25,1,21.66,21.8,45.49,45.77,92.37,92.86,4.259633027522936,,,,2.0288398514310684,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.14000000000000057,0.006442728222198712,,,,,,,0.28000000000000114,0.006136333083637932,,,,,,,0.4899999999999949,0.005290731987256865,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2024-01-25,2024-01-26,1,21.8,21.76,45.77,45.69,92.86,92.71,4.260569852941176,,,,2.029109214270081,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.03999999999999915,-0.0018365478073013922,,,,,,,-0.0800000000000054,-0.001749399090370698,,,,,,,-0.15000000000000568,-0.0016166409728846935,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2024-01-26,2024-01-29,3,21.76,21.85,45.69,45.93,92.71,93.21,4.265903890160183,,,,2.029392553886349,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.08999999999999986,0.004127499553857292,,,,,,,0.240000000000002,0.0052390427625219945,,,,,,,0.5,0.005378670454174592,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2024-01-29,2024-01-30,1,21.85,21.9,45.93,45.99,93.21,93.31,4.260730593607306,,,,2.0289193302891935,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.04999999999999716,0.002285715280855861,,,,,,,0.060000000000002274,0.0013054832141305179,,,,,,,0.10000000000000853,0.0010722711728650108,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2024-01-30,2024-01-31,1,21.9,22.02,45.99,46.19,93.31,93.8,4.259763851044505,4.263037116153361,,,2.030742584975103,2.029985049573294,,,1.0,1.0,,,,,,,,,,,True,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.120000000000001,0.005464494472078745,,,,,,,0.19999999999999574,0.00433934289068157,,,,,,,0.4899999999999949,0.005237572766248343,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2024-01-31,2024-02-01,1,22.02,22.04,46.19,46.29,93.8,93.95,4.262704174228675,4.263040781851595,4.263037116153361,93.95733804002008,2.029596025059408,2.0299362298375394,2.029985049573294,93.96800794474777,1.0,1.0,1.0,93.95,7.810275107235496e-05,0.000191657468060994,0.0,MBB,VMBS,0.0,0.000191657468060994,0.000191657468060994,False,False,False,,,,,0,0,4536.0,0.0,0.0,0.0,0.0,-0.0,2160.0,0.0,0.0,0.0,0.0,-0.0,1064.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.019999999999999574,0.0009078529901797361,0.0,0.0,0.0,0.0,0.0,-0.0,0.10000000000000142,0.002162630600665148,0.0,0.0,0.0,0.0,0.0,-0.0,0.15000000000000568,0.001597869847295455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
