date,TFI,VTEB,MUB,TFI log rtn,VTEB log rtn,MUB log rtn,TFI div,TFI div cumsum,VTEB div,VTEB div cumsum,MUB div,MUB div cumsum,TFI div adjustment,VTEB div adjustment,MUB div adjustment,TFI*,VTEB*,MUB*,VTEB/TFI,VTEB/TFI avg,VTEB/TFI 10 dma,VTEB/TFI 20 dma,TFI x avg,TFI x 10 dma,TFI x 20 dma,log diff TFI x avg / VTEB,log diff TFI x 10 dma / VTEB,log diff TFI x 20 dma / VTEB,VTEB*/TFI*,VTEB*/TFI* avg,VTEB*/TFI* 10 dma,VTEB*/TFI* 20 dma,TFI* x avg,TFI* x 10 dma,TFI* x 20 dma,log diff TFI* x avg / VTEB*,log diff TFI* x 10 dma / VTEB*,log diff TFI* x 20 dma / VTEB*
2026-01-02,45.75,50.37,107.24,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.75,50.37,107.24,1.100983606557377,1.102874762632796,,,,,,,,,1.100983606557377,1.102874762632796,,,,,,,,
2026-01-05,45.79,50.4,107.34,0.0008739349474736518,0.000595415319763907,0.0009320533809244178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.79,50.4,107.34,1.100677003712601,1.102874762632796,,,50.50063538095573,,,0.001994742925944522,,,1.100677003712601,1.102874762632796,,,50.50063538095573,,,0.001994742925944522,,
2026-01-06,45.8,50.46,107.42,0.0002183644511351272,0.0011897681355887508,0.0007450177286304832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.8,50.46,107.42,1.1017467248908297,1.102874762632796,,,50.51166412858205,,,0.0010233392414908925,,,1.1017467248908297,1.102874762632796,,,50.51166412858205,,,0.0010233392414908925,,
2026-01-07,45.93,50.55,107.65,0.0028344072175629153,0.0017820022535685745,0.002138839333058731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.93,50.55,107.65,1.100587851077727,1.102874762632796,,,50.655037847724316,,,0.002075744205485001,,,1.100587851077727,1.102874762632796,,,50.655037847724316,,,0.002075744205485001,,
2026-01-08,45.9,50.51,107.53,-0.0006533812712026805,-0.000791608986519235,-0.0011153454079371617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.9,50.51,107.53,1.1004357298474945,1.102874762632796,,,50.62195160484533,,,0.002213971920801591,,,1.1004357298474945,1.102874762632796,,,50.62195160484533,,,0.002213971920801591,,
2026-01-09,45.95,50.58,107.66,0.0010887317351966558,0.0013849047618579905,0.001208234730376208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.95,50.58,107.66,1.1007616974972796,1.102874762632796,,,50.677095342976976,,,0.0019177988941403662,,,1.1007616974972796,1.102874762632796,,,50.677095342976976,,,0.0019177988941403662,,
2026-01-12,45.93,50.56,107.55,-0.0004353504639940352,-0.0003954914032170313,-0.0010222574190721393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.93,50.56,107.55,1.1008055736991074,1.102874762632796,,,50.655037847724316,,,0.0018779398333632674,,,1.1008055736991074,1.102874762632796,,,50.655037847724316,,,0.0018779398333632674,,
2026-01-13,45.9,50.58,107.59,-0.0006533812712026805,0.00039549140321705326,0.0003718508920788466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.9,50.58,107.59,1.1019607843137256,1.102874762632796,,,50.62195160484533,,,0.0008290671589436504,,,1.1019607843137256,1.102874762632796,,,50.62195160484533,,,0.0008290671589436504,,
2026-01-14,45.99,50.62,107.77,0.0019588644853329716,0.0007905138751589766,0.0016716200029225044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.99,50.62,107.77,1.100674059578169,1.102874762632796,,,50.72121033348229,,,0.001997417769117894,,,1.100674059578169,1.102874762632796,,,50.72121033348229,,,0.001997417769117894,,
2026-01-15,45.98,50.61,107.73,-0.00021746221679712599,-0.00019756989099129158,-0.0003712297026391119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.98,50.61,107.73,1.1006959547629405,1.102874762632796,1.1009328985937252,,50.710181585855956,,,0.001977525443312264,,,1.1006959547629405,1.102874762632796,1.1009328985937252,,50.710181585855956,,,0.001977525443312264,,
2026-01-16,45.93,50.6,107.61,-0.0010880209973334026,-0.00019760893256676296,-0.0011145166938002632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.93,50.6,107.61,1.1016764641846288,1.102874762632796,1.1010021843564501,,50.655037847724316,50.5658480324098,,0.0010871133785454368,-0.0006751679455426202,,1.1016764641846288,1.102874762632796,1.1010021843564501,,50.655037847724316,50.5658480324098,,0.0010871133785454368,-0.0006751679455426202,
2026-01-20,45.79,50.43,107.23,-0.003052771668697962,-0.0033653402047859097,-0.003537519980246541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.79,50.43,107.23,1.1013321685957633,1.102874762632796,1.1010677008447665,,50.50063538095573,50.41489002168185,,0.0013996819146335866,-0.0002996677060776602,,1.1013321685957633,1.102874762632796,1.1010677008447665,,50.50063538095573,50.41489002168185,,0.0013996819146335866,-0.0002996677060776602,
2026-01-21,45.9,50.51,107.5,0.0023993903974953977,0.0015851003913272363,0.0025147873356632443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.9,50.51,107.5,1.1004357298474945,1.102874762632796,1.100936601340433,,50.62195160484533,50.53900746877478,,0.002213971920801591,0.0005741267588508352,,1.1004357298474945,1.102874762632796,1.100936601340433,,50.62195160484533,50.53900746877478,,0.002213971920801591,0.0005741267588508352,
2026-01-22,45.86,50.48,107.49,-0.0008718396367411225,-0.0005941182470034732,-9.302758274535101e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.86,50.48,107.49,1.100741386829481,1.102874762632796,1.1009519549156086,,50.57783661434002,50.48895253747225,,0.0019362505310639717,0.00017733248232704545,,1.100741386829481,1.102874762632796,1.1009519549156086,,50.57783661434002,50.48895253747225,,0.0019362505310639717,0.00017733248232704545,
2026-01-23,45.9,50.52,107.61,0.0008718396367409824,0.0007920792493328417,0.001115760227328893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.9,50.52,107.61,1.100653594771242,1.102874762632796,1.1009737414079832,,50.62195160484533,50.533694730626436,,0.0020160109184723623,0.00027103869377109204,,1.100653594771242,1.102874762632796,1.1009737414079832,,50.62195160484533,50.533694730626436,,0.0020160109184723623,0.00027103869377109204,
2026-01-26,45.9,50.54,107.66,0.0,0.00039580447775777104,0.00046453292051025903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.9,50.54,107.66,1.1010893246187363,1.102874762632796,1.101006504120129,,50.62195160484533,50.53469473062643,,0.0016202064407144876,-0.00010497720309879707,,1.1010893246187363,1.102874762632796,1.101006504120129,,50.62195160484533,50.53469473062643,,0.0016202064407144876,-0.00010497720309879707,
2026-01-27,45.95,50.56,107.73,0.0010887317351966558,0.0003956478785539709,0.0006499837732899861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.95,50.56,107.73,1.1003264417845484,1.102874762632796,1.100958590928673,,50.677095342976976,50.59124886431993,,0.002313290297357346,0.0006178641522452485,,1.1003264417845484,1.102874762632796,1.100958590928673,,50.677095342976976,50.59124886431993,,0.002313290297357346,0.0006178641522452485,
2026-01-28,45.96,50.57,107.81,0.00021760417885873784,0.00019776525328954052,0.0007423216449253916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.96,50.57,107.81,1.1003046127067015,1.102874762632796,1.1007929737679707,,50.6881240906033,50.60005683908181,,0.0023331292229265325,0.0005941845029092237,,1.1003046127067015,1.102874762632796,1.1007929737679707,,50.6881240906033,50.60005683908181,,0.0023331292229265325,0.0005941845029092237,
2026-01-29,45.95,50.52,107.7,-0.00021760417885881235,-0.0009892176096012596,-0.0010208343886836532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.95,50.52,107.7,1.099455930359086,1.102874762632796,1.1006711608460622,,50.677095342976976,50.58143714463826,,0.0031047426536690383,0.0012153566543809742,,1.099455930359086,1.102874762632796,1.1006711608460622,,50.677095342976976,50.58143714463826,,0.0031047426536690383,0.0012153566543809742,
2026-01-30,46.02,50.56,107.85,0.0015222358055236838,0.0007914523563115516,0.0013917886728224851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.02,50.56,107.85,1.0986527596697089,1.102874762632796,1.100466841336739,1.1006998699652322,50.75429657636127,50.652886822135784,,0.003835526102881239,0.0018354747331086377,,1.0986527596697089,1.102874762632796,1.100466841336739,1.1006998699652322,50.75429657636127,50.652886822135784,,0.003835526102881239,0.0018354747331086377,
