,bop date,eop date,day count,bop FREL price,eop FREL price,bop XLRE price,eop XLRE price,bop VNQ price,eop VNQ price,bop IYR price,eop IYR price,eop IYR / eop FREL,eop IYR / FREL moving avg,bop IYR / FREL moving avg,eop FREL unit price,eop IYR / eop XLRE,eop IYR / XLRE moving avg,bop IYR / XLRE moving avg,eop XLRE unit price,eop IYR / eop VNQ,eop IYR / VNQ moving avg,bop IYR / VNQ moving avg,eop VNQ unit price,eop IYR / eop IYR,eop IYR / IYR moving avg,bop IYR / IYR moving avg,eop IYR unit price,FREL unit price pct diff,XLRE unit price pct diff,VNQ unit price pct diff,IYR unit price pct diff,min symbol,max symbol,min unit price pct diff,max unit price pct diff,unit price pct diff,month end liquidation,go group,exit group,current long symbol,current short symbol,new long symbol,new short symbol,current_position,new_position,FREL shares per unit,eop FREL shares,bop FREL shares,eop FREL shares traded,eop FREL shares bought,eop FREL shares sold,XLRE shares per unit,eop XLRE shares,bop XLRE shares,eop XLRE shares traded,eop XLRE shares bought,eop XLRE shares sold,VNQ shares per unit,eop VNQ shares,bop VNQ shares,eop VNQ shares traded,eop VNQ shares bought,eop VNQ shares sold,IYR shares per unit,eop IYR shares,bop IYR shares,eop IYR shares traded,eop IYR shares bought,eop IYR shares sold,FREL daily commission,FREL cop,FREL pct cop,FREL daily position pnl,FREL investment amount,short FREL investment amount,long FREL investment amount,daily FREL borrow cost,XLRE daily commission,XLRE cop,XLRE pct cop,XLRE daily position pnl,XLRE investment amount,short XLRE investment amount,long XLRE investment amount,daily XLRE borrow cost,VNQ daily commission,VNQ cop,VNQ pct cop,VNQ daily position pnl,VNQ investment amount,short VNQ investment amount,long VNQ investment amount,daily VNQ borrow cost,IYR daily commission,IYR cop,IYR pct cop,IYR daily position pnl,IYR investment amount,short IYR investment amount,long IYR investment amount,daily IYR borrow cost,daily total commissions,daily position pnl,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
10,2024-01-17,2024-01-18,1,25.62,25.45,38.58,38.33,84.85,84.39,87.94,87.35,3.432220039292731,,,,2.2788938168536395,,,,1.0350752458822134,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1700000000000017,-0.006657553472056556,,,,,,,-0.25,-0.006501128085119318,,,,,,,-0.45999999999999375,-0.005436080510360039,,,,,,,-0.5900000000000034,-0.006731727172598498,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2024-01-18,2024-01-19,1,25.45,25.76,38.33,38.7,84.39,85.4,87.35,88.32,3.428571428571428,,,,2.2821705426356584,,,,1.0341920374707259,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.3100000000000023,0.012107158239621232,,,,,,,0.37000000000000455,0.009606720643272627,,,,,,,1.0100000000000051,0.011897189624648979,,,,,,,0.9699999999999989,0.01104354594871964,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2024-01-19,2024-01-22,3,25.76,25.92,38.7,38.88,85.4,85.91,88.32,88.78,3.4251543209876543,,,,2.283436213991769,,,,1.0334070538936095,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.16000000000000014,0.00619197024792098,,,,,,,0.17999999999999972,0.004640379556502301,,,,,,,0.5099999999999909,0.005954135855440825,,,,,,,0.46000000000000796,0.005194816877104151,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2024-01-22,2024-01-23,1,25.92,25.76,38.88,38.67,85.91,85.32,88.78,88.24,3.425465838509316,,,,2.2818722523920347,,,,1.0342240975152368,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16000000000000014,-0.006191970247921107,,,,,,,-0.21000000000000085,-0.005415873973032584,,,,,,,-0.5900000000000034,-0.006891343046815396,,,,,,,-0.5400000000000063,-0.00610102446064218,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2024-01-23,2024-01-24,1,25.76,25.39,38.67,38.14,85.32,84.1,88.24,86.95,3.4245766049625836,,,,2.2797587834294704,,,,1.0338882282996433,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.370000000000001,-0.01446750551956579,,,,,,,-0.5300000000000011,-0.01380050544693271,,,,,,,-1.2199999999999989,-0.014402326624247471,,,,,,,-1.289999999999992,-0.014727134144954902,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2024-01-24,2024-01-25,1,25.39,25.71,38.14,38.66,84.1,85.18,86.95,88.09,3.426293271100739,,,,2.278582514226591,,,,1.0341629490490725,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.3200000000000003,0.012524625561211011,,,,,,,0.519999999999996,0.013541873607911637,,,,,,,1.0800000000000125,0.012760097516165273,,,,,,,1.1400000000000006,0.013025778321412265,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2024-01-25,2024-01-26,1,25.71,25.63,38.66,38.49,85.18,84.94,88.09,87.81,3.4260632071790873,,,,2.2813717848791892,,,,1.0337885566282081,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08000000000000185,-0.0031164809018184073,,,,,,,-0.1699999999999946,-0.004407006484529952,,,,,,,-0.2400000000000091,-0.0028215396099424204,,,,,,,-0.28000000000000114,-0.0031836297498001854,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2024-01-26,2024-01-29,3,25.63,25.82,38.49,38.77,84.94,85.5,87.81,88.42,3.4244771494965143,,,,2.2806293525922103,,,,1.0341520467836258,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.19000000000000128,0.007385845042516728,,,,,,,0.28000000000000114,0.007248284387183069,,,,,,,0.5600000000000023,0.006571251057589479,,,,,,,0.6099999999999994,0.006922799026192916,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2024-01-29,2024-01-30,1,25.82,25.57,38.77,38.41,85.5,84.7,88.42,87.57,3.424716464606961,,,,2.2798750325436083,,,,1.033884297520661,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25,-0.009729596115401137,,,,,,,-0.36000000000000654,-0.009328909325024485,,,,,,,-0.7999999999999972,-0.009400774284705779,,,,,,,-0.8500000000000085,-0.009659714863964152,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2024-01-30,2024-01-31,1,25.57,25.31,38.41,38.13,84.7,83.89,87.57,86.75,3.4274990122481235,3.4286206155261802,,,2.275111460792027,2.280870848840201,,,1.0340922636786267,1.034698820045588,,,1.0,1.0,,,,,,,,,,,,True,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.26000000000000156,-0.010220214746062614,,,,,,,-0.27999999999999403,-0.007316468488340896,,,,,,,-0.8100000000000023,-0.009609184799805512,,,,,,,-0.8199999999999932,-0.009408054707164456,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2024-01-31,2024-02-01,1,25.31,25.76,38.13,38.8,83.89,85.41,86.75,88.31,3.4281832298136643,3.428497764821741,3.4286206155261802,88.32126705595441,2.276030927835052,2.2806364185407952,2.280870848840201,88.49778893499979,1.033953869570308,1.0346549340322075,1.034698820045588,88.37362622009367,1.0,1.0,1.0,88.31,0.0001275771403045585,0.0021242164357598943,0.0007202277223447869,0.0,IYR,XLRE,0.0,0.0021242164357598943,0.0021242164357598943,False,True,False,,,IYR,XLRE,0,1,3881.0,0.0,0.0,0.0,0.0,-0.0,2582.0,-2582.0,0.0,-2582.0,0.0,2582.0,1171.0,0.0,0.0,0.0,0.0,-0.0,1132.0,1132.0,0.0,1132.0,1132.0,-0.0,-0.0,0.45000000000000284,0.017623326679120185,0.0,0.0,0.0,0.0,0.0,-12.91,0.6699999999999946,0.01741887275975517,0.0,0.0,0.0,0.0,0.0,-0.0,1.519999999999996,0.017956773099852677,0.0,0.0,0.0,0.0,0.0,-5.66,1.5600000000000023,0.01782293265374237,0.0,0.0,0.0,0.0,0.0,-18.57,0.0,0.0,0.0,0.0,0.0,-18.57,-18.57,-18.57
21,2024-02-01,2024-02-02,1,25.76,25.45,38.8,38.31,85.41,84.35,88.31,87.11,3.4227897838899803,3.4282141330700364,3.428497764821741,87.25526811471332,2.2738188462542417,2.280204932608651,2.2806364185407952,87.37118119429788,1.0327208061647897,1.0345461856729359,1.0346549340322075,87.2731436856167,1.0,1.0,1.0,87.11,0.0016662509672265102,0.0029938058372591353,0.0018710952190190207,0.0,IYR,XLRE,0.0,0.0029938058372591353,0.0029938058372591353,False,True,False,IYR,XLRE,IYR,XLRE,1,1,3936.0,0.0,0.0,0.0,0.0,-0.0,2618.0,-2618.0,-2582.0,-36.0,0.0,36.0,1188.0,0.0,0.0,0.0,0.0,-0.0,1148.0,1148.0,1132.0,16.0,16.0,-0.0,-0.0,-0.3100000000000023,-0.012107158239621258,-0.0,0.0,0.0,0.0,0.0,-0.18,-0.4899999999999949,-0.012709287916669984,1265.1799999999869,-100181.59999999999,-100181.59999999999,0.0,-2.782822222222222,-0.0,-1.0600000000000023,-0.012488380966078606,-0.0,0.0,0.0,0.0,0.0,-0.08,-1.2000000000000028,-0.013681663649910265,-1358.4000000000033,99966.92,0.0,99966.92,0.0,-0.26,-93.2200000000164,-214.67999999999302,200148.52,-100181.59999999999,-2.782822222222222,-96.26282222223863,-114.83282222223863,-114.83282222223863
22,2024-02-02,2024-02-05,3,25.45,24.93,38.31,37.55,84.35,82.58,87.11,85.34,3.4231849177697553,3.4277424448084473,3.4282141330700364,85.46537833743601,2.2727030625832225,2.2797398057683544,2.280204932608651,85.62169521945484,1.0334221361104383,1.0344565258233371,1.0345461856729359,85.43282401287104,1.0,1.0,1.0,85.34,0.0014680844499757764,0.003295422100521608,0.0010871053113888298,0.0,IYR,XLRE,0.0,0.003295422100521608,0.003295422100521608,False,True,False,IYR,XLRE,IYR,XLRE,1,1,4018.0,0.0,0.0,0.0,0.0,-0.0,2672.0,-2672.0,-2618.0,-54.0,0.0,54.0,1212.0,0.0,0.0,0.0,0.0,-0.0,1172.0,1172.0,1148.0,24.0,24.0,-0.0,-0.0,-0.5199999999999996,-0.020643845461065184,-0.0,0.0,0.0,0.0,0.0,-0.27,-0.7600000000000051,-0.020037580502414037,1989.6800000000135,-100295.58,-100295.58,0.0,-8.357965,-0.0,-1.769999999999996,-0.021207288534033055,-0.0,0.0,0.0,0.0,0.0,-0.12,-1.769999999999996,-0.02052841007094672,-2031.9599999999955,100002.28,0.0,100002.28,0.0,-0.39,-42.27999999998201,-293.3000000000029,200297.86,-100295.58,-8.357965,-51.02796499998201,-165.86078722222064,-165.86078722222064
23,2024-02-05,2024-02-06,1,24.93,25.27,37.55,38.12,82.58,83.69,85.34,86.52,3.42382271468144,3.4273945386715283,3.4277424448084473,86.61905158030946,2.2696747114375655,2.2790508072202225,2.2797398057683544,86.90368139588966,1.0338152706416537,1.0343829182683397,1.0344565258233371,86.57366664615509,1.0,1.0,1.0,86.52,0.0011441854418351221,0.0044247938782409416,0.0006200879433029842,0.0,IYR,XLRE,0.0,0.0044247938782409416,0.0044247938782409416,False,True,False,IYR,XLRE,IYR,XLRE,1,1,3962.0,0.0,0.0,0.0,0.0,-0.0,2635.0,-2635.0,-2672.0,37.0,37.0,-0.0,1196.0,0.0,0.0,0.0,0.0,-0.0,1156.0,1156.0,1172.0,-16.0,0.0,16.0,-0.0,0.33999999999999986,0.013546023864636339,0.0,0.0,0.0,0.0,0.0,-0.185,0.5700000000000003,0.01506570057585773,-1523.0400000000009,-100333.59999999999,-100333.59999999999,0.0,-2.787044444444444,-0.0,1.1099999999999994,0.013351975586838481,0.0,0.0,0.0,0.0,0.0,-0.08,1.1799999999999926,0.01373232332500397,1382.9599999999914,100018.48000000001,0.0,100018.48000000001,0.0,-0.265,-140.08000000000948,-315.1199999999808,200352.08000000002,-100333.59999999999,-2.787044444444444,-143.1320444444539,-308.99283166667453,-308.99283166667453
