,bop date,eop date,day count,bop XLC price,eop XLC price,bop VOX price,eop VOX price,eop VOX / eop XLC,bop VOX / XLC moving avg,eop VOX / XLC moving avg,eop XLC unit price,eop VOX / eop VOX,bop VOX / VOX moving avg,eop VOX / VOX moving avg,eop VOX unit price,XLC unit price pct diff,VOX unit price pct diff,unit price pct diff,month end liquidation,go long,exit long,current_position,new_position,XLC shares per unit,bop XLC shares,eop XLC shares,eop XLC shares bought,eop XLC shares sold,eop XLC shares traded,VOX shares per unit,bop VOX shares,eop VOX shares,eop VOX shares bought,eop VOX shares sold,eop VOX shares traded,XLC daily commission,VOX daily commission,daily total commissions,XLC cop,XLC pct cop,XLC daily position pnl,VOX cop,VOX pct cop,VOX daily position pnl,daily position pnl,short XLC investment amount,long XLC investment amount,XLC investment amount,daily XLC borrow cost,short VOX investment amount,long VOX investment amount,VOX investment amount,daily VOX borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
554,2026-03-19,2026-03-20,1,113.14,112.23,184.63,182.65,1.6274614630669162,1.6281686465235072,1.627863637485072,182.7293671993332,1.0,1.0,1.0,182.65,0.000434437232675909,0.0,0.000434437232675909,False,False,True,1,0,891.0,882.0,0.0,0.0,882.0,-882.0,547.0,-542.0,0.0,542.0,-0.0,542.0,-4.41,-2.71,-7.12,-0.9099999999999966,-0.008075652886845124,-802.6199999999969,-1.9799999999999898,-0.010782069166360129,1073.1599999999944,270.53999999999746,0.0,99789.48,99789.48,0.0,-100069.45999999999,0.0,-100069.45999999999,-2.779707222222222,-279.9799999999959,199858.94,-100069.45999999999,-2.779707222222222,260.64029277777524,-3892.4727616667105,-4789.107626666744
555,2026-03-20,2026-03-23,3,112.23,112.71,182.65,184.37,1.6357909679708988,1.627863637485072,1.6281821387268902,183.47651058094243,1.0,1.0,1.0,184.37,-0.004857956514647311,0.0,-0.004857956514647311,False,True,False,0,1,882.0,0.0,882.0,882.0,-0.0,882.0,542.0,0.0,-542.0,0.0,542.0,-542.0,-4.41,-2.71,-7.12,0.47999999999998977,0.004267811225822754,0.0,1.7199999999999989,0.009372854841007852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.12,-3899.5927616667104,-4796.227626666745
556,2026-03-23,2026-03-24,1,112.71,111.13,184.37,180.89,1.6277332853414919,1.6281821387268902,1.6281552355008517,180.9398810767193,1.0,1.0,1.0,180.89,0.00027571563126236096,0.0,0.00027571563126236096,False,False,True,1,0,900.0,882.0,0.0,0.0,882.0,-882.0,553.0,-542.0,0.0,542.0,-0.0,542.0,-4.41,-2.71,-7.12,-1.5799999999999983,-0.014117461056432109,-1393.5599999999986,-3.480000000000018,-0.019055496368755934,1886.1600000000099,492.6000000000113,0.0,99410.22,99410.22,0.0,-99928.54000000001,0.0,-99928.54000000001,-2.775792777777778,-518.320000000007,199338.76,-99928.54000000001,-2.775792777777778,482.7042072222335,-3416.888554444477,-4313.523419444511
557,2026-03-24,2026-03-25,1,111.13,111.44,180.89,181.77,1.6311019382627423,1.6281552355008517,1.6280450963624868,181.44161944421492,1.0,1.0,1.0,181.77,-0.0018082056172130754,0.0,-0.0018082056172130754,False,True,False,0,1,895.0,0.0,895.0,895.0,-0.0,895.0,550.0,0.0,-550.0,0.0,550.0,-550.0,-4.4750000000000005,-2.75,-7.2250000000000005,0.3100000000000023,0.002785642273995257,0.0,0.8800000000000239,0.00485303991146382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.2250000000000005,-3424.113554444477,-4320.7484194445115
558,2026-03-25,2026-03-26,1,111.44,108.81,181.77,176.3,1.6202554912232332,1.6280450963624868,1.6274394679078845,177.14758693520218,1.0,1.0,1.0,176.3,0.004796120224151643,0.0,0.004796120224151643,False,False,True,1,0,923.0,895.0,0.0,0.0,895.0,-895.0,567.0,-550.0,0.0,550.0,-0.0,550.0,-4.4750000000000005,-2.75,-7.2250000000000005,-2.6299999999999955,-0.023883087508629566,-2353.849999999996,-5.469999999999999,-0.030555062221182778,3008.4999999999995,654.6500000000037,0.0,99738.8,99738.8,0.0,-99973.5,0.0,-99973.5,-2.777041666666667,-234.6999999999971,199712.3,-99973.5,-2.777041666666667,644.647958333337,-2779.46559611114,-3676.100461111174
559,2026-03-26,2026-03-27,1,108.81,107.04,176.3,172.79,1.6142563527653213,1.6274394679078845,1.6267842211666501,174.20112064485997,1.0,1.0,1.0,172.79,0.008133513166020684,0.0,0.008133513166020684,False,False,True,0,0,942.0,0.0,0.0,0.0,-0.0,0.0,579.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-1.769999999999996,-0.016400645583002298,-0.0,-3.5100000000000193,-0.020110105078794235,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2779.46559611114,-3676.100461111174
560,2026-03-27,2026-03-30,3,107.04,107.96,172.79,173.76,1.6094849944423861,1.6267842211666501,1.6258509880687135,175.62762451715153,1.0,1.0,1.0,173.76,0.010690947100683105,0.0,0.010690947100683105,False,False,True,0,0,937.0,0.0,0.0,0.0,-0.0,0.0,576.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.9199999999999875,0.008558191769885372,0.0,0.9699999999999989,0.0055980524205402355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2779.46559611114,-3676.100461111174
561,2026-03-30,2026-03-31,1,107.96,110.86,173.76,179.84,1.622226231282699,1.6258509880687135,1.6255194376457343,180.24184053729758,1.0,1.0,1.0,179.84,0.002231940958277776,0.0,0.002231940958277776,True,False,True,0,0,904.0,0.0,0.0,0.0,-0.0,0.0,556.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,2.9000000000000057,0.02650735584185473,0.0,6.0800000000000125,0.034392529959755655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2779.46559611114,-3676.100461111174
562,2026-03-31,2026-04-01,1,110.86,111.24,179.84,181.43,1.630978065444085,1.6255194376457343,1.625474772435743,180.82278224371146,1.0,1.0,1.0,181.43,-0.0033524563772052334,0.0,-0.0033524563772052334,False,True,False,0,1,896.0,0.0,896.0,896.0,-0.0,896.0,551.0,0.0,-551.0,0.0,551.0,-551.0,-4.48,-2.755,-7.235,0.37999999999999545,0.00342188537410535,0.0,1.5900000000000034,0.008802337676745493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.235,-2786.70059611114,-3683.335461111174
563,2026-04-01,2026-04-02,1,111.24,111.7,181.43,182.15,1.6307072515666965,1.625474772435743,1.6256440424777725,181.5655320810725,1.0,1.0,1.0,182.15,-0.003213876617609279,0.0,-0.003213876617609279,False,True,False,1,1,892.0,896.0,892.0,0.0,4.0,-4.0,549.0,-551.0,-549.0,2.0,-0.0,2.0,-0.02,-0.01,-0.03,0.46000000000000796,0.004126676709390911,412.16000000000713,0.7199999999999989,0.003960619072500911,-396.71999999999935,15.440000000007785,0.0,99671.04,99671.04,0.0,-99967.93000000001,0.0,-99967.93000000001,-2.7768869444444446,-296.89000000001397,199638.97,-99967.93000000001,-2.7768869444444446,12.633113055563342,-2774.0674830555768,-3670.702348055611
