date,PFFD,PFF,PFF/PFFD,PFF/PFFD avg,PFF/PFFD 10 dma,PFF/PFFD 20 dma,PFFD avg,PFFD 10 dma,PFFD 20 dma,avg diff,10 dma diff,20 dma diff,PFFD div,PFF div,PFFD*,PFF*,PFF*/PFFD*,PFF*/PFFD* avg,PFF*/PFFD* 10 dma,PFF*/PFFD* 20 dma,PFFD* avg,PFFD* 10 dma,PFFD* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-01-02,19.14,31.27,1.6337513061650992,1.6441152402652448,,,,,,,,,0.0,0.0,19.14,31.27,1.6337513061650992,1.6441152402652448,,,,,,,,
2026-01-05,19.19,31.33,1.632621156852527,1.6441152402652448,,,31.55057146069005,,,-0.007015596717724746,,,0.0,0.0,19.19,31.33,1.632621156852527,1.6441152402652448,,,31.55057146069005,,,-0.007015596717724746,,
2026-01-06,19.26,31.45,1.6329179646936656,1.6441152402652448,,,31.665659527508616,,,-0.006833814885746388,,,0.0,0.0,19.26,31.45,1.6329179646936656,1.6441152402652448,,,31.665659527508616,,,-0.006833814885746388,,
2026-01-07,19.26,31.41,1.630841121495327,1.6441152402652448,,,31.665659527508616,,,-0.008106484481640731,,,0.0,0.0,19.26,31.41,1.630841121495327,1.6441152402652448,,,31.665659527508616,,,-0.008106484481640731,,
2026-01-08,19.29,31.38,1.6267496111975117,1.6441152402652448,,,31.71498298471657,,,-0.010618471274967527,,,0.0,0.0,19.29,31.38,1.6267496111975117,1.6441152402652448,,,31.71498298471657,,,-0.010618471274967527,,
2026-01-09,19.34,31.57,1.6323681489141675,1.6441152402652448,,,31.797188746729834,,,-0.0071705791174643705,,,0.0,0.0,19.34,31.57,1.6323681489141675,1.6441152402652448,,,31.797188746729834,,,-0.0071705791174643705,,
2026-01-12,19.35,31.62,1.6341085271317828,1.6441152402652448,,,31.81362989913249,,,-0.00610497935668128,,,0.0,0.0,19.35,31.62,1.6341085271317828,1.6441152402652448,,,31.81362989913249,,,-0.00610497935668128,,
2026-01-13,19.45,31.64,1.6267352185089976,1.6441152402652448,,,31.97804142315901,,,-0.010627318827218497,,,0.0,0.0,19.45,31.64,1.6267352185089976,1.6441152402652448,,,31.97804142315901,,,-0.010627318827218497,,
2026-01-14,19.49,31.74,1.6285274499743458,1.6441152402652448,,,32.043806032769616,,,-0.009526190083422655,,,0.0,0.0,19.49,31.74,1.6285274499743458,1.6441152402652448,,,32.043806032769616,,,-0.009526190083422655,,
2026-01-15,19.52,31.82,1.6301229508196722,1.6441152402652448,1.6308743455753096,,32.09312948997758,,,-0.008546949737521927,,,0.0,0.0,19.52,31.82,1.6301229508196722,1.6441152402652448,1.6308743455753096,,32.09312948997758,,,-0.008546949737521927,,
2026-01-16,19.47,31.78,1.6322547508988188,1.6441152402652448,1.6307246900486816,,32.01092372796431,31.753123508351276,,-0.007240049937754529,0.0008460623929003516,,0.0,0.0,19.47,31.78,1.6322547508988188,1.6441152402652448,1.6307246900486816,,32.01092372796431,31.753123508351276,,-0.007240049937754529,0.0008460623929003516,
2026-01-20,19.38,31.61,1.6310629514963881,1.6441152402652448,1.6305688695130676,,31.862953356340444,31.60344449314345,,-0.007970471897310183,0.00020740862747200262,,0.0,0.0,19.38,31.61,1.6310629514963881,1.6441152402652448,1.6305688695130676,,31.862953356340444,31.60344449314345,,-0.007970471897310183,0.00020740862747200262,
2026-01-21,19.53,31.85,1.6308243727598566,1.6441152402652448,1.6303595103196868,,32.109570642380234,31.845010021590213,,-0.008116754532631646,0.00015668349587539374,,0.0,0.0,19.53,31.85,1.6308243727598566,1.6441152402652448,1.6303595103196868,,32.109570642380234,31.845010021590213,,-0.008116754532631646,0.00015668349587539374,
2026-01-22,19.6,31.94,1.6295918367346938,1.6441152402652448,1.6302345818436232,,32.2246587091988,31.955046402265864,,-0.008872815111821569,-0.00047097242716627116,,0.0,0.0,19.6,31.94,1.6295918367346938,1.6441152402652448,1.6302345818436232,,32.2246587091988,31.955046402265864,,-0.008872815111821569,-0.00047097242716627116,
2026-01-23,19.57,31.91,1.630556974961676,1.6441152402652448,1.6306153182200398,,32.175335251990845,31.903690766679706,,-0.008280732780049179,0.00019773917681454383,,0.0,0.0,19.57,31.91,1.630556974961676,1.6441152402652448,1.6306153182200398,,32.175335251990845,31.903690766679706,,-0.008280732780049179,0.00019773917681454383,
2026-01-26,19.58,31.88,1.6281920326864148,1.6441152402652448,1.6301977065972646,,32.191776404393494,31.927447930748375,,-0.009732174842566483,-0.0014872226059076447,,0.0,0.0,19.58,31.88,1.6281920326864148,1.6441152402652448,1.6301977065972646,,32.191776404393494,31.927447930748375,,-0.009732174842566483,-0.0014872226059076447,
2026-01-27,19.56,31.84,1.6278118609406953,1.6441152402652448,1.629568039978156,,32.15889409958819,31.886667141042494,,-0.009965695292705426,-0.0014646034847925074,,0.0,0.0,19.56,31.84,1.6278118609406953,1.6441152402652448,1.629568039978156,,32.15889409958819,31.886667141042494,,-0.009965695292705426,-0.0014646034847925074,
2026-01-28,19.51,31.81,1.630445925166581,1.6441152402652448,1.6299391106439143,,32.07668833757493,31.792872459973825,,-0.008348840536183571,0.0005385775760665971,,0.0,0.0,19.51,31.81,1.630445925166581,1.6441152402652448,1.6299391106439143,,32.07668833757493,31.792872459973825,,-0.008348840536183571,0.0005385775760665971,
2026-01-29,19.44,31.69,1.6301440329218106,1.6441152402652448,1.6301007689386608,,31.96160027075636,31.686016310917697,,-0.008534016991680007,0.00012571598277826235,,0.0,0.0,19.44,31.69,1.6301440329218106,1.6441152402652448,1.6301007689386608,,31.96160027075636,31.686016310917697,,-0.008534016991680007,0.00012571598277826235,
2026-01-30,19.42,31.69,1.6318228630278062,1.6441152402652448,1.6302707601594744,1.6305725528673918,31.92871796595106,31.656556932788796,,-0.007504680822565926,0.0010558764970843948,,0.0,0.0,19.42,31.69,1.6318228630278062,1.6441152402652448,1.6302707601594744,1.6305725528673918,31.92871796595106,31.656556932788796,,-0.007504680822565926,0.0010558764970843948,
