date,XLRE,IYR,IYR/XLRE,IYR/XLRE avg,IYR/XLRE 10 dma,IYR/XLRE 20 dma,XLRE avg,XLRE 10 dma,XLRE 20 dma,avg diff,10 dma diff,20 dma diff,XLRE div,IYR div,XLRE*,IYR*,IYR*/XLRE*,IYR*/XLRE* avg,IYR*/XLRE* 10 dma,IYR*/XLRE* 20 dma,XLRE* avg,XLRE* 10 dma,XLRE* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-01-02,40.38,93.99,2.327637444279346,2.3160735817361386,,,,,,,,,0.0,0.0,40.38,93.99,2.327637444279346,2.3165395559990167,,,,,,,,
2026-01-05,40.43,94.13,2.328221617610685,2.3160735817361386,,,93.63885490959208,,,0.0052313916571517126,,,0.0,0.0,40.43,94.13,2.328221617610685,2.3165395559990167,,,93.65769424904025,,,0.005030220417250754,,
2026-01-06,40.7,94.79,2.328992628992629,2.3160735817361386,,,94.26419477666084,,,0.005562495767103412,,,0.0,0.0,40.7,94.79,2.328992628992629,2.3165395559990167,,,94.28315992915999,,,0.005361324527202328,,
2026-01-07,40.14,93.78,2.336322869955157,2.3160735817361386,,,92.96719357088861,,,0.008704940043950449,,,0.0,0.0,40.14,93.78,2.336322869955157,2.3165395559990167,,,92.98589777780053,,,0.008503768804049714,,
2026-01-08,40.44,94.58,2.338773491592483,2.3160735817361386,,,93.66201564540944,,,0.009753312814161523,,,0.0,0.0,40.44,94.58,2.338773491592483,2.3165395559990167,,,93.68085964460023,,,0.00955214157426046,,
2026-01-09,40.5,94.74,2.339259259259259,2.3160735817361386,,,93.80098006031362,,,0.009960993133814603,,,0.0,0.0,40.5,94.74,2.339259259259259,2.3165395559990167,,,93.81985201796017,,,0.009759821893913683,,
2026-01-12,40.62,94.89,2.336041358936485,2.3160735817361386,,,94.07890889012195,,,0.008584439584130793,,,0.0,0.0,40.62,94.89,2.336041358936485,2.3165395559990167,,,94.09783676468005,,,0.008383268344230144,,
2026-01-13,40.93,95.43,2.3315416564866847,2.3160735817361386,,,94.79689170046015,,,0.006656373675553238,,,0.0,0.0,40.93,95.43,2.3315416564866847,2.3165395559990167,,,94.81596402703975,,,0.006455202435652346,,
2026-01-14,41.39,96.35,2.327856970282677,2.3160735817361386,,,95.86228554805878,,,0.005074758850436547,,,0.0,0.0,41.39,96.35,2.327856970282677,2.3165395559990167,,,95.8815722227993,,,0.004873587610535817,,
2026-01-15,41.7,97.03,2.3268585131894484,2.3160735817361386,2.3321505810584853,,96.58026835839699,,,0.004645749983154505,,,0.0,0.0,41.7,97.03,2.3268585131894484,2.3165395559990167,2.3321505810584853,,96.59969948515901,,,0.004444578743253704,,
2026-01-16,42.21,98.31,2.3290689410092393,2.3160735817361386,2.3322937307314744,,97.76146588508242,98.44007602647866,,0.005595261335127905,-0.0013222464565912843,,0.0,0.0,42.21,98.31,2.3290689410092393,2.3165395559990167,2.3322937307314744,,97.7811346587185,98.44007602647866,,0.005394090095226926,-0.0013222464565912843,
2026-01-20,41.4,96.41,2.328743961352657,2.3160735817361386,2.332345965105672,,95.88544628387613,96.55696045228304,,0.005455719595722578,-0.0015231672857509847,,0.0,0.0,41.4,96.41,2.328743961352657,2.3165395559990167,2.332345965105672,,95.90473761835929,96.55696045228304,,0.005254548355821851,-0.0015231672857509847,
2026-01-21,41.55,96.65,2.3261131167268356,2.3160735817361386,2.3320580138790925,,96.23285732113655,96.90897485014067,,0.004325354103585269,-0.002675928665933797,,0.0,0.0,41.55,96.65,2.3261131167268356,2.3165395559990167,2.3320580138790925,,96.25221855175914,96.90897485014067,,0.0041241828636842765,-0.002675928665933797,
