,bop date,eop date,day count,bop RSP price,eop RSP price,bop SPY price,eop SPY price,eop SPY / eop RSP,bop SPY / RSP moving avg,eop SPY / RSP moving avg,current position,new position,bop RSP shares,eop RSP shares,eop RSP shares bought,eop RSP shares sold,eop RSP shares traded,bop SPY shares,eop SPY shares,eop SPY shares bought,eop SPY shares sold,eop SPY shares traded,RSP daily commission,SPY daily commission,daily total commissions,RSP cop,RSP pct cop,RSP daily position pnl,SPY cop,SPY pct cop,SPY daily position pnl,daily position pnl,short RSP investment amount,long RSP investment amount,RSP investment amount,daily RSP borrow cost,short SPY investment amount,long SPY investment amount,SPY investment amount,daily SPY borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
0,1/2/2024,1/3/2024,1,,155.52,,468.79,3.014338992,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,0,0,0,0,0,0,0
1,1/3/2024,1/4/2024,1,155.52,155.26,468.79,467.28,3.009661213,,,,,,,,,,,,,,,,,0,-0.26,-0.00167321,,-1.51,-0.003226257,,0,,,,,,,,,0,0,0,0,0,0,0
2,1/4/2024,1/5/2024,1,155.26,155.71,467.28,467.92,3.005073534,,,,,,,,,,,,,,,,,0,0.45,0.002894172,,0.64,0.001368691,,0,,,,,,,,,0,0,0,0,0,0,0
3,1/5/2024,1/8/2024,3,155.71,157.38,467.92,474.6,3.015630957,,,,,,,,,,,,,,,,,0,1.67,0.01066796,,6.68,0.014175003,,0,,,,,,,,,0,0,0,0,0,0,0
4,1/8/2024,1/9/2024,1,157.38,156.58,474.6,473.88,3.026440158,,3.014228971,,,,,,,,,,,,,,,0,-0.8,-0.005096202,,-0.72,-0.001518219,,0,,,,,,,,,0,0,0,0,0,0,0
5,1/9/2024,1/10/2024,1,156.58,156.85,473.88,476.56,3.038316863,3.014228971,3.019024545,,1,0,-637.5518011,0,637.5518011,-637.5518011,0,209.8371664,209.8371664,0,209.8371664,-3.187759005,-1.049185832,-4.236944837,0.27,0.001722873,0,2.68,0.005639508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.236944837,-4.236944837,-4.236944837
6,1/10/2024,1/11/2024,1,156.85,156.4,476.56,476.35,3.045716113,3.019024545,3.026235525,1,1,-637.5518011,-639.3861893,0,1.834388174,-1.834388174,209.8371664,209.9296736,0.0925072,0,0.0925072,-0.009171941,-0.000462536,-0.009634477,-0.45,-0.002873107,286.8983105,-0.21,-0.000440755,-44.06580494,242.8325056,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,240.0450933,235.8081485,0
7,1/11/2024,1/12/2024,1,156.4,156.05,476.35,476.68,3.054661967,3.026235525,3.036153212,1,1,-639.3861893,-640.8202499,0,1.434060662,-1.434060662,209.9296736,209.7843417,0,0.145331863,-0.145331863,-0.007170303,-0.000726659,-0.007896963,-0.35,-0.002240359,223.7851662,0.33,0.000692528,69.27679227,293.0619585,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,290.2762838,526.0844322,0
8,1/12/2024,1/16/2024,4,156.05,155.06,476.68,474.93,3.062878886,3.036153212,3.045602797,1,1,-640.8202499,-644.9116471,0,4.091397184,-4.091397184,209.7843417,210.5573453,0.773003596,0,0.773003596,-0.020456986,-0.003865018,-0.024322004,-0.99,-0.00636433,634.4120474,-1.75,-0.003677981,-367.122598,267.2894495,-100000,0,-100000,-11.11111111,0,100000,100000,0,0,200000,-100000,-11.11111111,256.1540163,782.2384486,0
9,1/16/2024,1/17/2024,1,155.06,153.84,474.93,472.29,3.0700078,3.045602797,3.054316326,1,1,-644.9116471,-650.026001,0,5.114353936,-5.114353936,210.5573453,211.7343158,1.176970488,0,1.176970488,-0.02557177,-0.005884852,-0.031456622,-1.22,-0.007899038,786.7922095,-2.64,-0.005574221,-555.8713916,230.9208179,-100000,0,-100000,-2.777777778,0,100000,100000,0,0,200000,-100000,-2.777777778,228.1115835,1010.350032,0
