,bop date,eop date,day count,bop XLU price,eop XLU price,bop FUTY price,eop FUTY price,bop IDU price,eop IDU price,bop VPU price,eop VPU price,eop VPU / eop XLU,eop VPU / XLU moving avg,bop VPU / XLU moving avg,eop XLU unit price,eop VPU / eop FUTY,eop VPU / FUTY moving avg,bop VPU / FUTY moving avg,eop FUTY unit price,eop VPU / eop IDU,eop VPU / IDU moving avg,bop VPU / IDU moving avg,eop IDU unit price,eop VPU / eop VPU,eop VPU / VPU moving avg,bop VPU / VPU moving avg,eop VPU unit price,XLU unit price pct diff,FUTY unit price pct diff,IDU unit price pct diff,VPU unit price pct diff,min symbol,max symbol,min unit price pct diff,max unit price pct diff,unit price pct diff,month end liquidation,go group,exit group,current long symbol,current short symbol,new long symbol,new short symbol,current_position,new_position,XLU shares per unit,eop XLU shares,bop XLU shares,eop XLU shares traded,eop XLU shares bought,eop XLU shares sold,FUTY shares per unit,eop FUTY shares,bop FUTY shares,eop FUTY shares traded,eop FUTY shares bought,eop FUTY shares sold,IDU shares per unit,eop IDU shares,bop IDU shares,eop IDU shares traded,eop IDU shares bought,eop IDU shares sold,VPU shares per unit,eop VPU shares,bop VPU shares,eop VPU shares traded,eop VPU shares bought,eop VPU shares sold,XLU daily commission,XLU cop,XLU pct cop,XLU daily position pnl,XLU investment amount,short XLU investment amount,long XLU investment amount,daily XLU borrow cost,FUTY daily commission,FUTY cop,FUTY pct cop,FUTY daily position pnl,FUTY investment amount,short FUTY investment amount,long FUTY investment amount,daily FUTY borrow cost,IDU daily commission,IDU cop,IDU pct cop,IDU daily position pnl,IDU investment amount,short IDU investment amount,long IDU investment amount,daily IDU borrow cost,VPU daily commission,VPU cop,VPU pct cop,VPU daily position pnl,VPU investment amount,short VPU investment amount,long VPU investment amount,daily VPU borrow cost,daily total commissions,daily position pnl,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
10,2024-01-17,2024-01-18,1,30.86,30.53,39.69,39.26,77.93,77.32,133.1,131.78,4.316410088437602,,,,3.3565970453387672,,,,1.7043455768235904,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3299999999999983,-0.010751040188228249,,,,,,,-0.4299999999999997,-0.010893077946658994,,,,,,,-0.6100000000000136,-0.007858333515339605,,,,,,,-1.3199999999999932,-0.009966859915392036,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2024-01-18,2024-01-19,1,30.53,30.49,39.26,39.26,77.32,77.32,131.78,131.63,4.317153164972122,,,,3.3527763627101375,,,,1.7024055871702017,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0400000000000027,-0.0013110457466231832,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,-0.15000000000000568,-0.0011389090483575701,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2024-01-19,2024-01-22,3,30.49,30.335,39.26,39.09,77.32,77.09,131.63,131.18,4.32437778144058,,,,3.355845484778716,,,,1.70164742508756,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15499999999999758,-0.005096599605902121,,,,,,,-0.1699999999999946,-0.004339509043451476,,,,,,,-0.22999999999998977,-0.0029790838689591477,,,,,,,-0.44999999999998863,-0.0034245305717268693,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2024-01-22,2024-01-23,1,30.335,30.39,39.09,39.17,77.09,77.21,131.18,131.42,4.324448831852583,,,,3.355118713300995,,,,1.702111125501878,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.054999999999999716,0.0018114455344404878,,,,,,,0.0799999999999983,0.002044467872876343,,,,,,,0.11999999999999034,0.0015554118495535087,,,,,,,0.23999999999998067,0.0018278756041322426,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2024-01-23,2024-01-24,1,30.39,29.975,39.17,38.61,77.21,76.16,131.42,129.56,4.3222685571309425,,,,3.3556073556073556,,,,1.7011554621848741,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.41499999999999915,-0.013749906015123771,,,,,,,-0.5600000000000023,-0.014399837401595013,,,,,,,-1.0499999999999972,-0.013692591837614537,,,,,,,-1.8599999999999852,-0.014254207166593185,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2024-01-24,2024-01-25,1,29.975,30.515,38.61,39.33,76.16,77.46,129.56,131.89,4.322136654104538,,,,3.353419781337401,,,,1.7026852569067905,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5399999999999991,0.017854665082880236,,,,,,,0.7199999999999989,0.018476276167573212,,,,,,,1.2999999999999972,0.016925283603496308,,,,,,,2.329999999999984,0.017824147534664703,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2024-01-25,2024-01-26,1,30.515,30.605,39.33,39.41,77.46,77.72,131.89,132.18,4.318902140173175,,,,3.353971073331642,,,,1.7007205352547607,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.08999999999999986,0.0029450283065749596,,,,,,,0.0799999999999983,0.002032004763194221,,,,,,,0.2600000000000051,0.0033509504226333703,,,,,,,0.29000000000002046,0.0021963882045134913,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2024-01-26,2024-01-29,3,30.605,30.8,39.41,39.7,77.72,78.13,132.18,133.11,4.321753246753247,,,,3.352896725440806,,,,1.7036989632663513,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.19500000000000028,0.006351295676495734,,,,,,,0.29000000000000625,0.007331596486232673,,,,,,,0.4099999999999966,0.0052614814994135966,,,,,,,0.9300000000000068,0.007011224016621,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2024-01-29,2024-01-30,1,30.8,30.79,39.7,39.66,78.13,78.19,133.11,132.98,4.3189347190646314,,,,3.3530005042864346,,,,1.7007289934774268,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.010000000000001563,-0.0003247280431198482,,,,,,,-0.04000000000000625,-0.0010080646014949755,,,,,,,0.060000000000002274,0.0007676561277697318,,,,,,,-0.13000000000002387,-0.000977113084619051,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2024-01-30,2024-01-31,1,30.79,30.725,39.66,39.52,78.19,77.89,132.98,132.5,4.312449145646867,4.318405925209124,,,3.352732793522267,3.3543540850716433,,,1.701116959815124,1.7089778205517654,,,1.0,1.0,,,,,,,,,,,,True,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06499999999999773,-0.0021133064843104066,,,,,,,-0.13999999999999346,-0.003536250211982665,,,,,,,-0.29999999999999716,-0.0038441872045654898,,,,,,,-0.47999999999998977,-0.0036160955480319164,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2024-01-31,2024-02-01,1,30.725,31.31,39.52,40.32,77.89,79.41,132.5,135.22,4.318748003832641,4.318170275315471,4.318405925209124,135.20928951829765,3.353670634920635,3.354235498377618,3.3543540850716433,135.24755671008867,1.702808210552827,1.708073298355052,1.7089778205517654,135.7099287300157,1.0,1.0,1.0,135.22,-7.92109591903441e-05,0.0002037709107828703,0.00361664926677276,0.0,XLU,IDU,-7.92109591903441e-05,0.00361664926677276,0.003695860225963104,False,True,False,,,XLU,IDU,0,1,3196.0,3196.0,0.0,3196.0,3196.0,-0.0,2482.0,0.0,0.0,0.0,0.0,-0.0,1265.0,-1265.0,0.0,-1265.0,0.0,1265.0,740.0,0.0,0.0,0.0,0.0,-0.0,-15.98,0.5849999999999973,0.01886087988621582,0.0,0.0,0.0,0.0,0.0,-0.0,0.7999999999999972,0.020040750883445972,0.0,0.0,0.0,0.0,0.0,-6.325,1.519999999999996,0.019326729975262438,0.0,0.0,0.0,0.0,0.0,-0.0,2.719999999999999,0.020320436236255034,0.0,0.0,0.0,0.0,0.0,-22.305,0.0,0.0,0.0,0.0,0.0,-22.305,-22.305,-22.305
