date,CWB,ICVT,ICVT/CWB,ICVT/CWB avg,ICVT/CWB 10 dma,ICVT/CWB 20 dma,CWB avg,CWB 10 dma,CWB 20 dma,avg diff,10 dma diff,20 dma diff,CWB div,ICVT div,CWB*,ICVT*,ICVT*/CWB*,ICVT*/CWB* avg,ICVT*/CWB* 10 dma,ICVT*/CWB* 20 dma,CWB* avg,CWB* 10 dma,CWB* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-01-02,90.55,100.03,1.1046935394809498,1.114300691884778,,,,,,,,,0.0,0.0,90.55,100.03,1.1046935394809498,1.114300691884778,,,,,,,,
2026-01-05,91.53,100.93,1.102698568775265,1.114300691884778,,,101.99194232821372,,,-0.010466606130874374,,,0.0,0.0,91.53,100.93,1.102698568775265,1.114300691884778,,,101.99194232821372,,,-0.010466606130874374,,
2026-01-06,92.69,102.18,1.1023842917251052,1.114300691884778,,,103.28453113080006,,,-0.010751653970043915,,,0.0,0.0,92.69,102.18,1.1023842917251052,1.114300691884778,,,103.28453113080006,,,-0.010751653970043915,,
2026-01-07,92.1,101.62,1.1033659066232357,1.114300691884778,,,102.62709372258804,,,-0.009861603080629786,,,0.0,0.0,92.1,101.62,1.1033659066232357,1.114300691884778,,,102.62709372258804,,,-0.009861603080629786,,
2026-01-08,91.83,101.2,1.1020363715561363,1.114300691884778,,,102.32623253577916,,,-0.011067310757020244,,,0.0,0.0,91.83,101.2,1.1020363715561363,1.114300691884778,,,102.32623253577916,,,-0.011067310757020244,,
2026-01-09,92.3,101.65,1.101300108342362,1.114300691884778,,,102.849953860965,,,-0.011735627419405396,,,0.0,0.0,92.3,101.65,1.101300108342362,1.114300691884778,,,102.849953860965,,,-0.011735627419405396,,
2026-01-12,93.13,102.63,1.1020079458821004,1.114300691884778,,,103.77482343522937,,,-0.011093104860898095,,,0.0,0.0,93.13,102.63,1.1020079458821004,1.114300691884778,,,103.77482343522937,,,-0.011093104860898095,,
2026-01-13,93.34,102.88,1.1022069852153418,1.114300691884778,,,104.00882658052518,,,-0.010912506017315037,,,0.0,0.0,93.34,102.88,1.1022069852153418,1.114300691884778,,,104.00882658052518,,,-0.010912506017315037,,
2026-01-14,93.42,102.73,1.0996574609291372,1.114300691884778,,,104.09797063587597,,,-0.013228293830744328,,,0.0,0.0,93.42,102.73,1.0996574609291372,1.114300691884778,,,104.09797063587597,,,-0.013228293830744328,,
2026-01-15,93.62,103.12,1.1014740440076907,1.114300691884778,1.1021825222537323,,104.32083077425293,,,-0.011577703225947224,,,0.0,0.0,93.62,103.12,1.1014740440076907,1.114300691884778,1.1021825222537323,,104.32083077425293,,,-0.011577703225947224,,
2026-01-16,93.89,103.52,1.1025668335285972,1.114300691884778,1.1019698516584973,,104.6216919610618,103.48391701440292,,-0.010586079502820287,0.0003486212868137502,,0.0,0.0,93.89,103.52,1.1025668335285972,1.114300691884778,1.1019698516584973,,104.6216919610618,103.48391701440292,,-0.010586079502820287,0.0003486212868137502,
2026-01-20,93.11,102.81,1.1041778541510041,1.114300691884778,1.102117780196071,,103.75253742139168,102.60441288792268,,-0.009125991330765944,0.0020016821393526838,,0.0,0.0,93.11,102.81,1.1041778541510041,1.114300691884778,1.102117780196071,,103.75253742139168,102.60441288792268,,-0.009125991330765944,0.0020016821393526838,
2026-01-21,93.84,103.55,1.1034739982949702,1.114300691884778,1.1022267508530574,,104.56597692646757,103.42273249359931,,-0.009763642488581584,0.001229799895932149,,0.0,0.0,93.84,103.55,1.1034739982949702,1.114300691884778,1.1022267508530574,,104.56597692646757,103.42273249359931,,-0.009763642488581584,0.001229799895932149,
2026-01-22,94.22,103.93,1.103056675864997,1.114300691884778,1.1021958277772337,,104.98941118938379,103.85180446537507,,-0.010141903656519395,0.000752669739467216,,0.0,0.0,94.22,103.93,1.103056675864997,1.114300691884778,1.1021958277772337,,104.98941118938379,103.85180446537507,,-0.010141903656519395,0.000752669739467216,
2026-01-23,93.89,103.78,1.1053360315262541,1.114300691884778,1.1025257937742454,,104.6216919610618,103.48516627000447,,-0.00807763631581704,0.0028449925683734553,,0.0,0.0,93.89,103.78,1.1053360315262541,1.114300691884778,1.1025257937742454,,104.6216919610618,103.48516627000447,,-0.00807763631581704,0.0028449925683734553,
2026-01-26,93.7,103.64,1.1060832443970117,1.114300691884778,1.1030041073797103,,104.4099748296037,103.3066668766468,,-0.007401859535421906,0.003221442670742749,,0.0,0.0,93.7,103.64,1.1060832443970117,1.114300691884778,1.1030041073797103,,104.4099748296037,103.3066668766468,,-0.007401859535421906,0.003221442670742749,
2026-01-27,94.91,105.0,1.1063112422294805,1.114300691884778,1.1034344370144484,,105.75827866678428,104.6861198314083,,-0.007195749969832087,0.0029938119250239132,,0.0,0.0,94.91,105.0,1.1063112422294805,1.114300691884778,1.1034344370144484,,105.75827866678428,104.6861198314083,,-0.007195749969832087,0.0029938119250239132,
2026-01-28,95.73,105.91,1.106340750026115,1.114300691884778,1.1038478134955256,,106.6720052341298,105.63177865539315,,-0.007169078087638708,0.002630416618364185,,0.0,0.0,95.73,105.91,1.106340750026115,1.114300691884778,1.1038478134955256,,106.6720052341298,105.63177865539315,,-0.007169078087638708,0.002630416618364185,
2026-01-29,94.82,105.08,1.1082050200379667,1.114300691884778,1.1047025694064085,,105.65799160451463,104.66684967564574,,-0.005485418641587693,0.003939519085293505,,0.0,0.0,94.82,105.08,1.1082050200379667,1.114300691884778,1.1047025694064085,,105.65799160451463,104.66684967564574,,-0.005485418641587693,0.003939519085293505,
2026-01-30,93.4,103.52,1.1083511777301926,1.114300691884778,1.105390282778659,1.1037864025161956,104.07568462203827,103.17921998255856,,-0.00535354046716121,0.0032973547382751977,,0.0,0.0,93.4,103.52,1.1083511777301926,1.114300691884778,1.105390282778659,1.1037864025161956,104.07568462203827,103.17921998255856,,-0.00535354046716121,0.0032973547382751977,
2026-02-02,93.82,103.98,1.108292474952036,1.114300691884778,1.1059628469210028,1.10396634928975,104.54369091262986,103.70771633029378,103.55724028406947,-0.005406505929696722,0.0026220503601898965,0.004074066900953476,0.0,0.0,93.82,103.98,1.108292474952036,1.114300691884778,1.1059628469210028,1.10396634928975,104.54369091262986,103.70771633029378,103.55724028406947,-0.005406505929696722,0.0026220503601898965,0.004074066900953476
2026-02-03,93.85,104.31,1.1114544485881728,1.114300691884778,1.1066905063647197,1.1044041432803953,104.57711993338641,103.7946131835361,103.60724188084303,-0.0025575543295927538,0.004953161415110275,0.0067600049808110374,0.0,0.0,93.85,104.31,1.1114544485881728,1.114300691884778,1.1066905063647197,1.1044041432803953,104.57711993338641,103.7946131835361,103.60724188084303,-0.0025575543295927538,0.004953161415110275,0.0067600049808110374
