,bop date,eop date,day count,bop XLF price,eop XLF price,bop VFH price,eop VFH price,eop VFH / eop XLF,bop VFH / XLF moving avg,eop VFH / XLF moving avg,eop XLF unit price,eop VFH / eop VFH,bop VFH / VFH moving avg,eop VFH / VFH moving avg,eop VFH unit price,XLF unit price pct diff,VFH unit price pct diff,unit price pct diff,month end liquidation,go long,exit long,current_position,new_position,XLF shares per unit,bop XLF shares,eop XLF shares,eop XLF shares bought,eop XLF shares sold,eop XLF shares traded,VFH shares per unit,bop VFH shares,eop VFH shares,eop VFH shares bought,eop VFH shares sold,eop VFH shares traded,XLF daily commission,VFH daily commission,daily total commissions,XLF cop,XLF pct cop,XLF daily position pnl,VFH cop,VFH pct cop,VFH daily position pnl,daily position pnl,short XLF investment amount,long XLF investment amount,XLF investment amount,daily XLF borrow cost,short VFH investment amount,long VFH investment amount,VFH investment amount,daily VFH borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
537,2026-02-24,2026-02-25,1,50.98,51.87,124.82,126.89,2.4463080778870254,2.45176228594291,2.451313538893865,127.17290977185873,1.0,1.0,1.0,126.89,0.0022270853234473273,0.0,0.0022270853234473273,False,False,True,0,0,1932.0,0.0,0.0,0.0,-0.0,0.0,788.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.8900000000000006,0.017307189415339534,0.0,2.0700000000000074,0.016447869902926238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1491608333662,-703.8194880555117
538,2026-02-25,2026-02-26,1,51.87,52.5,126.89,128.49,2.4474285714285715,2.451313538893865,2.4510203137570468,128.6939607919279,1.0,1.0,1.0,128.49,0.0015861085120489292,0.0,0.0015861085120489292,False,False,True,0,0,1907.0,0.0,0.0,0.0,-0.0,0.0,778.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.6300000000000026,0.01207258123426924,0.0,1.6000000000000085,0.012530510886566197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1491608333662,-703.8194880555117
539,2026-02-26,2026-02-27,1,52.5,51.43,128.49,125.56,2.441376628426988,2.4510203137570468,2.45048410316159,126.05597473652492,1.0,1.0,1.0,125.56,0.003942320271274148,0.0,0.003942320271274148,True,False,True,0,0,1951.0,0.0,0.0,0.0,-0.0,0.0,796.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-1.0700000000000003,-0.020591509810753236,-0.0,-2.930000000000007,-0.0230673483216366,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1491608333662,-703.8194880555117
540,2026-02-27,2026-03-02,3,51.43,51.3,125.56,125.67,2.4497076023391813,2.45048410316159,2.4505050371707644,125.70983449218956,1.0,1.0,1.0,125.67,0.0003169267145348897,0.0,0.0003169267145348897,False,False,True,0,0,1951.0,0.0,0.0,0.0,-0.0,0.0,796.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.13000000000000256,-0.002530907610101013,-0.0,0.10999999999999943,0.0008756916533003722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1491608333662,-703.8194880555117
541,2026-03-02,2026-03-03,1,51.3,51.21,125.67,125.42,2.44913102909588,2.4505050371707644,2.450529606393465,125.49036295351485,1.0,1.0,1.0,125.42,0.0005608612934999914,0.0,0.0005608612934999914,False,False,True,0,0,1953.0,0.0,0.0,0.0,-0.0,0.0,797.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0899999999999963,-0.0017559267022648087,-0.0,-0.25,-0.0019913185121784097,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1491608333662,-703.8194880555117
542,2026-03-03,2026-03-04,1,51.21,51.5,125.42,126.04,2.4473786407766993,2.450529606393465,2.450378456235401,126.20227472926345,1.0,1.0,1.0,126.04,0.0012866578516595544,0.0,0.0012866578516595544,False,False,True,0,0,1943.0,0.0,0.0,0.0,-0.0,0.0,793.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.28999999999999915,0.005646982195231448,0.0,0.6200000000000045,0.00493121177419921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1491608333662,-703.8194880555117
543,2026-03-04,2026-03-05,1,51.5,51.23,126.04,125.2,2.443880538746828,2.450378456235401,2.4500187396590283,125.53288831293959,1.0,1.0,1.0,125.2,0.0026553238450045345,0.0,0.0026553238450045345,False,False,True,0,0,1958.0,0.0,0.0,0.0,-0.0,0.0,799.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.2700000000000031,-0.005256509718579557,-0.0,-0.8400000000000034,-0.006686858223075746,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1491608333662,-703.8194880555117
544,2026-03-05,2026-03-06,1,51.23,50.57,125.2,123.43,2.4407751631402017,2.4500187396590283,2.449529819077063,123.89744766455706,1.0,1.0,1.0,123.43,0.0037799947038575045,0.0,0.0037799947038575045,False,False,True,0,0,1985.0,0.0,0.0,0.0,-0.0,0.0,810.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.6599999999999966,-0.012966782859219166,-0.0,-1.769999999999996,-0.014238264910160855,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1491608333662,-703.8194880555117
545,2026-03-06,2026-03-09,3,50.57,50.33,123.43,122.83,2.440492747864097,2.449529819077063,2.4489687579815103,123.28483579414858,1.0,1.0,1.0,122.83,0.003696130795918784,0.0,0.003696130795918784,False,False,True,0,0,1994.0,0.0,0.0,0.0,-0.0,0.0,814.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.240000000000002,-0.004757194303623125,-0.0,-0.6000000000000085,-0.004872908204834413,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1491608333662,-703.8194880555117
546,2026-03-09,2026-03-10,1,50.33,50.06,122.83,122.22,2.4414702357171394,2.4489687579815103,2.448322581224542,122.59537602455441,1.0,1.0,1.0,122.22,0.0030666073742763177,0.0,0.0030666073742763177,False,False,True,0,0,2003.0,0.0,0.0,0.0,-0.0,0.0,818.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.269999999999996,-0.005379034784640419,-0.0,-0.6099999999999994,-0.004978586084233501,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.1491608333662,-703.8194880555117
