,bop date,eop date,day count,bop XLE price,eop XLE price,bop VDE price,eop VDE price,eop VDE / eop XLE,bop VDE / XLE moving avg,eop VDE / XLE moving avg,eop XLE unit price,eop VDE / eop VDE,bop VDE / VDE moving avg,eop VDE / VDE moving avg,eop VDE unit price,XLE unit price pct diff,VDE unit price pct diff,unit price pct diff,month end liquidation,go short,exit short,current_position,new_position,XLE shares per unit,bop XLE shares,eop XLE shares,eop XLE shares bought,eop XLE shares sold,eop XLE shares traded,VDE shares per unit,bop VDE shares,eop VDE shares,eop VDE shares bought,eop VDE shares sold,eop VDE shares traded,XLE daily commission,VDE daily commission,daily total commissions,XLE cop,XLE pct cop,XLE daily position pnl,VDE cop,VDE pct cop,VDE daily position pnl,daily position pnl,short XLE investment amount,long XLE investment amount,XLE investment amount,daily XLE borrow cost,short VDE investment amount,long VDE investment amount,VDE investment amount,daily VDE borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
26,2024-02-08,2024-02-09,1,42.305,41.655,117.68,116.01,2.7850198055455526,2.7905250314802403,2.790319074595091,116.23932018630941,1.0,1.0,1.0,116.01,0.001974776594821419,0.0,0.001974776594821419,False,True,False,-1,-1,2405.0,-2372.0,-2405.0,0.0,33.0,-33.0,862.0,850.0,862.0,12.0,-0.0,12.0,-0.165,-0.06,-0.225,-0.6499999999999986,-0.015483872949591651,1541.7999999999965,-1.6700000000000017,-0.01429268200586673,-1419.5000000000014,122.29999999999518,-100347.46,0.0,-100347.46,-2.7874294444444447,0.0,100028.0,100028.0,0.0,-319.4600000000064,200375.46000000002,-100347.46,-2.7874294444444447,119.28757055555074,-130.23275888887605,-130.23275888887605
27,2024-02-09,2024-02-12,3,41.655,42.115,116.01,117.33,2.7859432506232933,2.790319074595091,2.7898847422060813,117.51428782657227,1.0,1.0,1.0,117.33,0.0015694472801992157,0.0,0.0015694472801992157,False,True,False,-1,-1,2377.0,-2405.0,-2377.0,28.0,-0.0,28.0,852.0,862.0,852.0,0.0,10.0,-10.0,-0.14,-0.05,-0.19,0.46000000000000085,0.010982562340454513,-1106.300000000002,1.3199999999999932,0.011314083148216898,1137.8399999999942,31.539999999992233,-100180.27500000001,0.0,-100180.27500000001,-8.348356250000002,0.0,100000.62000000001,100000.62000000001,0.0,-179.65499999999884,200180.89500000002,-100180.27500000001,-8.348356250000002,23.00164374999223,-107.23111513888382,-107.23111513888382
28,2024-02-12,2024-02-13,1,42.115,41.69,117.33,116.07,2.784120892300312,2.7898847422060813,2.789331153566234,116.31029490257153,1.0,1.0,1.0,116.07,0.002068118454877286,0.0,0.002068118454877286,False,True,False,-1,-1,2405.0,-2377.0,-2405.0,0.0,28.0,-28.0,862.0,852.0,862.0,10.0,-0.0,10.0,-0.14,-0.05,-0.19,-0.42500000000000426,-0.010142679874621653,1010.2250000000101,-1.2600000000000051,-0.010797020055001175,-1073.5200000000043,-63.29499999999416,-100107.35500000001,0.0,-100107.35500000001,-2.7807598611111115,0.0,99965.16,99965.16,0.0,-142.19500000000698,200072.515,-100107.35500000001,-2.7807598611111115,-66.26575986110527,-173.49687499998907,-173.49687499998907
29,2024-02-13,2024-02-14,1,41.69,41.65,116.07,115.96,2.7841536614645856,2.789331153566234,2.788758726694436,116.17564254603364,1.0,1.0,1.0,115.96,0.0018579017482887887,0.0,0.0018579017482887887,False,True,False,-1,-1,2404.0,-2405.0,-2404.0,1.0,-0.0,1.0,862.0,862.0,862.0,0.0,-0.0,0.0,-0.005,-0.0,-0.005,-0.03999999999999915,-0.0009599232798538606,96.19999999999794,-0.10999999999999943,-0.0009481533270765043,-94.81999999999951,1.3799999999984323,-100264.45,0.0,-100264.45,-2.785123611111111,0.0,100052.34,100052.34,0.0,-212.11000000000058,200316.78999999998,-100264.45,-2.785123611111111,-1.4101236111126787,-174.90699861110176,-174.90699861110176
30,2024-02-14,2024-02-15,1,41.65,42.81,115.96,119.23,2.785096939967297,2.788758726694436,2.7881437201075174,119.3867610897888,1.0,1.0,1.0,119.23,0.0013139153479848043,0.0,0.0013139153479848043,False,True,False,-1,-1,2340.0,-2404.0,-2340.0,64.0,-0.0,64.0,839.0,862.0,839.0,0.0,23.0,-23.0,-0.32,-0.115,-0.435,1.1600000000000037,0.0274703515440031,-2788.640000000009,3.2700000000000102,0.02780909676458603,2818.740000000009,30.09999999999991,-100126.59999999999,0.0,-100126.59999999999,-2.7812944444444443,0.0,99957.51999999999,99957.51999999999,0.0,-169.08000000000175,200084.12,-100126.59999999999,-2.7812944444444443,26.883705555555466,-148.02329305554628,-148.02329305554628
31,2024-02-15,2024-02-16,1,42.81,42.785,119.23,119.28,2.7878929531377823,2.7881437201075174,2.787772869448328,119.29072906480012,1.0,1.0,1.0,119.28,8.994451959297229e-05,0.0,8.994451959297229e-05,False,True,False,-1,-1,2336.0,-2340.0,-2336.0,4.0,-0.0,4.0,838.0,839.0,838.0,0.0,1.0,-1.0,-0.02,-0.005,-0.025,-0.025000000000005684,-0.0005841462868367227,58.5000000000133,0.04999999999999716,0.0004192696384423189,41.949999999997615,100.45000000001092,-100175.40000000001,0.0,-100175.40000000001,-2.7826500000000003,0.0,100033.97,100033.97,0.0,-141.43000000000757,200209.37,-100175.40000000001,-2.7826500000000003,97.64235000001091,-50.38094305553537,-50.38094305553537
32,2024-02-16,2024-02-20,4,42.785,42.395,119.28,118.17,2.7873569996461844,2.787772869448328,2.7873370658951577,118.18763080026187,1.0,1.0,1.0,118.17,0.0001491874853785673,0.0,0.0001491874853785673,False,True,False,-1,-1,2358.0,-2336.0,-2358.0,0.0,22.0,-22.0,846.0,838.0,846.0,8.0,-0.0,8.0,-0.11,-0.04,-0.15,-0.38999999999999346,-0.009157143114051655,911.0399999999847,-1.1099999999999994,-0.00934940480555874,-930.1799999999995,-19.140000000014766,-99945.76,0.0,-99945.76,-11.105084444444444,0.0,99956.64,99956.64,0.0,10.880000000004657,199902.4,-99945.76,-11.105084444444444,-30.395084444459208,-80.77602749999457,-80.77602749999457
33,2024-02-20,2024-02-21,1,42.395,43.19,118.17,120.53,2.790692289881917,2.7873370658951577,2.7869411248336986,120.38508787601185,1.0,1.0,1.0,120.53,-0.0012030142465768196,0.0,-0.0012030142465768196,False,False,True,-1,0,2313.0,-2358.0,0.0,2358.0,-0.0,2358.0,830.0,846.0,0.0,0.0,846.0,-846.0,-11.790000000000001,-4.23,-16.020000000000003,0.7949999999999946,0.018578556216643373,-1874.6099999999872,2.3599999999999994,0.019774418949327924,1996.5599999999995,121.95000000001232,-99967.41,0.0,-99967.41,-2.7768725,0.0,99971.82,99971.82,0.0,4.4100000000034925,199939.23,-99967.41,-2.7768725,103.15312750001232,22.377100000017748,0.0
34,2024-02-21,2024-02-22,1,43.19,43.265,120.53,120.64,2.7883970877152433,2.7869411248336986,2.7864049943802383,120.57700776592998,1.0,1.0,1.0,120.64,-0.0005222868493840353,0.0,-0.0005222868493840353,False,False,True,0,0,2310.0,0.0,0.0,0.0,-0.0,0.0,829.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.07500000000000284,0.0017350070860924617,0.0,0.10999999999999943,0.0009122196593936773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.377100000017748,0.0
35,2024-02-22,2024-02-23,1,43.265,42.98,120.64,119.87,2.788971614704514,2.7864049943802383,2.786238604411171,119.75968665846263,1.0,1.0,1.0,119.87,-0.000920698523361147,0.0,-0.000920698523361147,False,False,True,0,0,2324.0,0.0,0.0,0.0,-0.0,0.0,834.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.2850000000000037,-0.006609102844337829,-0.0,-0.769999999999996,-0.006403082040637497,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.377100000017748,0.0
