date,XLE,IYE,IYE/XLE,IYE/XLE avg,IYE/XLE 10 dma,IYE/XLE 20 dma,XLE avg,XLE 10 dma,XLE 20 dma,avg diff,10 dma diff,20 dma diff,XLE div,IYE div,XLE*,IYE*,IYE*/XLE*,IYE*/XLE* avg,IYE*/XLE* 10 dma,IYE*/XLE* 20 dma,XLE* avg,XLE* 10 dma,XLE* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-01-02,45.65,48.55,1.063526834611172,1.0597116636322679,,,,,,,,,0.0,0.0,45.65,48.55,1.063526834611172,1.059991528542074,,,,,,,,
2026-01-05,46.89,49.73,1.0605672851354233,1.0597116636322679,,,49.68987990771704,,,0.0008070839453436544,,,0.0,0.0,46.89,49.73,1.0605672851354233,1.059991528542074,,,49.70300277333785,,,0.0005430234745516698,,
2026-01-06,45.64,48.44,1.0613496932515336,1.0597116636322679,,,48.365240328176704,,,0.001544538011208017,,,0.0,0.0,45.64,48.44,1.0613496932515336,1.059991528542074,,,48.37801336266026,,,0.001280477540416145,,
2026-01-07,45.13,47.87,1.0607134943496563,1.0597116636322679,,,47.82478737972425,,,0.0009449338856992829,,,0.0,0.0,45.13,47.87,1.0607134943496563,1.059991528542074,,,47.8374176831038,,,0.0006808734149073622,,
2026-01-08,46.55,49.29,1.0588614393125673,1.0597116636322679,,,49.32957794208207,,,-0.0008026386855981463,,,0.0,0.0,46.55,49.29,1.0588614393125673,1.059991528542074,,,49.34260565363354,,,-0.001066699156390048,,
2026-01-09,46.67,49.39,1.058281551317763,1.0597116636322679,,,49.456743341717946,,,-0.001350441088999403,,,0.0,0.0,46.67,49.39,1.058281551317763,1.059991528542074,,,49.469804637058594,,,-0.0016145015597911717,,
2026-01-12,46.34,49.07,1.0589123867069485,1.0597116636322679,,,49.1070384927193,,,-0.0007545245822267186,,,0.0,0.0,46.34,49.07,1.0589123867069485,1.059991528542074,,,49.12000743263971,,,-0.0010185850530186023,,
2026-01-13,47.0,49.77,1.058936170212766,1.0597116636322679,,,49.80644819071659,,,-0.000732064519404221,,,0.0,0.0,47.0,49.77,1.058936170212766,1.059991528542074,,,49.81960184147748,,,-0.0009961249901960989,,
2026-01-14,48.06,50.84,1.0578443612151478,1.0597116636322679,,,50.92974255416679,,,-0.001763639666877941,,,0.0,0.0,48.06,50.84,1.0578443612151478,1.059991528542074,,,50.94319286173208,,,-0.0020277001376699496,,
2026-01-15,47.61,50.43,1.0592312539382482,1.0597116636322679,1.0598224470051227,,50.452872305532274,,,-0.00045344279760195944,,,0.0,0.0,47.61,50.43,1.0592312539382482,1.059991528542074,1.0598224470051227,,50.46619667388814,,,-0.0007175032683938928,,
2026-01-16,47.69,50.55,1.059970643740826,1.0597116636322679,1.0594668279180879,,50.537649238622855,50.5429324976743,,0.0002443574765389155,0.00013982188789268506,,0.0,0.0,47.69,50.55,1.059970643740826,1.059991528542074,1.0594668279180879,,50.55099599617151,50.5429324976743,,-1.9702994253006154e-05,0.00013982188789268506,
2026-01-20,47.6,50.42,1.0592436974789916,1.0597116636322679,1.0593344691524447,,50.442275188895955,50.430621008900985,,-0.0004416951574091753,-0.00021062852829260403,,0.0,0.0,47.6,50.42,1.0592436974789916,1.059991528542074,1.0593344691524447,,50.455596758602724,50.430621008900985,,-0.0007057556282009487,-0.00021062852829260403,
2026-01-21,48.75,51.63,1.059076923076923,1.0597116636322679,1.059107192134984,,51.66094360207306,51.64255537118168,,-0.0005991542321069816,-0.0002431501999424547,,0.0,0.0,48.75,51.63,1.059076923076923,1.059991528542074,1.059107192134984,,51.67458701642611,51.64255537118168,,-0.0008632147028988715,-0.0002431501999424547,
2026-01-22,48.91,51.77,1.0584747495399716,1.0597116636322679,1.0588833176540153,,51.830497468254215,51.80093276732206,,-0.001167899317264179,-0.0005973252806610259,,0.0,0.0,48.91,51.77,1.0584747495399716,1.059991528542074,1.0588833176540153,,51.844185660992835,51.80093276732206,,-0.0014319597880561666,-0.0005973252806610259,
2026-01-23,49.19,52.06,1.058345192112218,1.0597116636322679,1.0588316929339805,,52.127216734071254,52.086470395401015,,-0.0012903069206376006,-0.0005083301598318041,,0.0,0.0,49.19,52.06,1.058345192112218,1.059991528542074,1.0588316929339805,,52.14098328898462,52.086470395401015,,-0.0015543673914295306,-0.0005083301598318041,
2026-01-26,49.22,52.09,1.0583096302316133,1.0597116636322679,1.0588345008253655,,52.159008083980225,52.11569592621052,,-0.0013239088856180701,-0.000493177009240126,,0.0,0.0,49.22,52.09,1.0583096302316133,1.059991528542074,1.0588345008253655,,52.17278303484088,52.11569592621052,,-0.0015879693564100307,-0.000493177009240126,
2026-01-27,49.67,52.57,1.0583853432655526,1.0597116636322679,1.0587817964812258,,52.635878332614745,52.592309655995905,,-0.001252369967710918,-0.00042428996479007666,,0.0,0.0,49.67,52.57,1.0583853432655526,1.059991528542074,1.0587817964812258,,52.64977922268482,52.592309655995905,,-0.0015164304385029337,-0.00042428996479007666,
2026-01-28,50.05,52.98,1.0585414585414585,1.0597116636322679,1.058742325314095,,53.038568764795,52.99202891388535,,-0.0011048775971144605,-0.00022702054608746442,,0.0,0.0,50.05,52.98,1.0585414585414585,1.059991528542074,1.058742325314095,,53.0525760035308,52.99202891388535,,-0.001368938067906386,-0.00022702054608746442,
2026-01-29,50.51,53.46,1.0584042763809147,1.0597116636322679,1.0587983168306718,,53.52603613006585,53.47707485161494,,-0.0012344814489967523,-0.0003193439091865263,,0.0,0.0,50.51,53.46,1.0584042763809147,1.059991528542074,1.0587983168306718,,53.54017210666016,53.47707485161494,,-0.0014985419197886744,-0.0003193439091865263,
2026-01-30,51.05,53.97,1.0571988246816846,1.0597116636322679,1.0585950739050154,1.059208760455069,54.09828042842727,54.05165407420579,,-0.002374063659931656,-0.0015118096544210345,,0.0,0.0,51.05,53.97,1.0571988246816846,1.059991528542074,1.0585950739050154,1.059208760455069,54.11256753207287,54.05165407420579,,-0.002638124130723484,-0.0015118096544210345,
2026-02-02,50.05,52.98,1.0585414585414585,1.0597116636322679,1.0584521553850785,1.0589594916515834,53.038568764795,52.98268344894602,53.0133984607762,-0.0011048775971144605,-5.064894280242947e-05,-0.0006301989060935029,0.0,0.0,50.05,52.98,1.0585414585414585,1.059991528542074,1.0584521553850785,1.0589594916515834,53.0525760035308,52.98268344894602,53.0133984607762,-0.001368938067906386,-5.064894280242947e-05,-0.0006301989060935029
2026-02-03,51.67,54.62,1.0570930907683374,1.0597116636322679,1.0582370947140132,1.0587857819332291,54.75530165987928,54.69022286874701,54.71643693363732,-0.0024740819333428053,-0.001284836432758614,-0.001764040631832026,0.0,0.0,51.67,54.62,1.0570930907683374,1.059991528542074,1.0582370947140132,1.0587857819332291,54.76976227976897,54.69022286874701,54.71643693363732,-0.0027381424041348487,-0.001284836432758614,-0.001764040631832026
