,bop date,eop date,day count,bop VMBS price,eop VMBS price,bop MBB price,eop MBB price,eop MBB / eop VMBS,bop MBB / VMBS moving avg,eop MBB / VMBS moving avg,eop VMBS unit price,eop MBB / eop MBB,bop MBB / MBB moving avg,eop MBB / MBB moving avg,eop MBB unit price,VMBS unit price pct diff,MBB unit price pct diff,unit price pct diff,month end liquidation,go short,exit short,current_position,new_position,VMBS shares per unit,bop VMBS shares,eop VMBS shares,eop VMBS shares bought,eop VMBS shares sold,eop VMBS shares traded,MBB shares per unit,bop MBB shares,eop MBB shares,eop MBB shares bought,eop MBB shares sold,eop MBB shares traded,VMBS daily commission,MBB daily commission,daily total commissions,VMBS cop,VMBS pct cop,VMBS daily position pnl,MBB cop,MBB pct cop,MBB daily position pnl,daily position pnl,short VMBS investment amount,long VMBS investment amount,VMBS investment amount,daily VMBS borrow cost,short MBB investment amount,long MBB investment amount,MBB investment amount,daily MBB borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
177,2024-09-16,2024-09-17,1,47.55,47.45,96.66,96.61,2.0360379346680717,2.032007435779389,2.032323654872776,96.41875282773202,1.0,1.0,1.0,96.61,-0.001981541423690625,0.0,-0.001981541423690625,False,False,True,0,0,2103.0,0.0,0.0,0.0,-0.0,0.0,1035.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.09999999999999432,-0.002105263935462316,-0.0,-0.04999999999999716,-0.0005174108875197267,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.189595555522374,-53.189595555522374
178,2024-09-17,2024-09-18,1,47.45,47.34,96.61,96.17,2.031474440219687,2.032323654872776,2.0324155005511377,96.21020182167722,1.0,1.0,1.0,96.17,0.0004179413669569726,0.0,0.0004179413669569726,False,False,False,0,0,2114.0,0.0,0.0,0.0,-0.0,0.0,1040.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.10999999999999943,-0.0023209209700990126,-0.0,-0.4399999999999977,-0.004564796805027751,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.189595555522374,-53.189595555522374
179,2024-09-18,2024-09-19,1,47.34,47.37,96.17,96.23,2.0314545070719867,2.0324155005511377,2.032563603323406,96.27552226110738,1.0,1.0,1.0,96.23,0.0004729449983689753,0.0,0.0004729449983689753,False,False,False,0,0,2112.0,0.0,0.0,0.0,-0.0,0.0,1039.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.02999999999999403,0.0006335128498223407,0.0,0.060000000000002274,0.0006237006439190222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.189595555522374,-53.189595555522374
180,2024-09-19,2024-09-20,1,47.37,47.31,96.23,96.15,2.0323398858592263,2.032563603323406,2.03268614842764,96.16058407323034,1.0,1.0,1.0,96.15,0.0001100727065234729,0.0,0.0001100727065234729,False,False,False,0,0,2114.0,0.0,0.0,0.0,-0.0,0.0,1040.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.05999999999999517,-0.0012674272926035848,-0.0,-0.0799999999999983,-0.0008316873335207518,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.189595555522374,-53.189595555522374
181,2024-09-20,2024-09-23,3,47.31,47.28,96.15,96.08,2.032148900169205,2.03268614842764,2.0327310934361003,96.10540109765881,1.0,1.0,1.0,96.08,0.0002643395144651792,0.0,0.0002643395144651792,False,False,False,0,0,2116.0,0.0,0.0,0.0,-0.0,0.0,1041.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.030000000000001137,-0.0006343165452139973,-0.0,-0.07000000000000739,-0.0007282942630606648,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.189595555522374,-53.189595555522374
182,2024-09-23,2024-09-24,1,47.28,47.35,96.08,96.25,2.0327349524815204,2.0327310934361003,2.032825943995097,96.24981727419934,1.0,1.0,1.0,96.25,-1.8984516790274367e-06,0.0,-1.8984516790274367e-06,False,False,True,0,0,2112.0,0.0,0.0,0.0,-0.0,0.0,1039.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.07000000000000028,0.001479446534244603,0.0,0.1700000000000017,0.0017677953961656055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.189595555522374,-53.189595555522374
183,2024-09-24,2024-09-25,1,47.35,47.2,96.25,95.94,2.0326271186440676,2.032825943995097,2.032873204668955,95.94938455656859,1.0,1.0,1.0,95.94,9.781214940842383e-05,0.0,9.781214940842383e-05,False,False,False,0,0,2118.0,0.0,0.0,0.0,-0.0,0.0,1042.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.14999999999999858,-0.0031729270405774974,-0.0,-0.3100000000000023,-0.0032259770939757552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.189595555522374,-53.189595555522374
184,2024-09-25,2024-09-26,1,47.2,47.19,95.94,96.0,2.0343293070565798,2.032873204668955,2.032994264788855,95.93128652832799,1.0,1.0,1.0,96.0,-0.0007160216122198394,0.0,-0.0007160216122198394,False,False,True,0,0,2118.0,0.0,0.0,0.0,-0.0,0.0,1042.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.010000000000005116,-0.0002118868532136689,-0.0,0.060000000000002274,0.000625195393918318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.189595555522374,-53.189595555522374
185,2024-09-26,2024-09-27,1,47.19,47.31,96.0,96.21,2.033608116677235,2.032994264788855,2.0330971818143597,96.18095866716072,1.0,1.0,1.0,96.21,-0.0003018991459997449,0.0,-0.0003018991459997449,False,False,True,0,0,2112.0,0.0,0.0,0.0,-0.0,0.0,1039.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.12000000000000455,0.0025396839047607555,0.0,0.20999999999999375,0.0021851109053370107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.189595555522374,-53.189595555522374
186,2024-09-27,2024-09-30,3,47.31,47.21,96.21,95.81,2.0294429146367294,2.0330971818143597,2.0328606560382942,95.98251795345593,1.0,1.0,1.0,95.81,0.0017990065704882542,0.0,0.0017990065704882542,True,True,False,0,0,2123.0,0.0,0.0,0.0,-0.0,0.0,1044.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.10000000000000142,-0.0021159550848613468,-0.0,-0.3999999999999915,-0.004166238710391135,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.189595555522374,-53.189595555522374
