date,IYH,XLV,XLV/IYH,XLV/IYH avg,XLV/IYH 10 dma,XLV/IYH 20 dma,IYH avg,IYH 10 dma,IYH 20 dma,avg diff,10 dma diff,20 dma diff,IYH div,XLV div,IYH*,XLV*,XLV*/IYH*,XLV*/IYH* avg,XLV*/IYH* 10 dma,XLV*/IYH* 20 dma,IYH* avg,IYH* 10 dma,IYH* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-04-30,61.28,145.99,2.382343342036554,2.3804818735592415,2.377786441500879,2.3786653180967288,145.87592921171031,145.66587722394755,145.75172885137064,0.0007816657079906579,0.002222639314328088,0.0016334392926617822,0.0,0.0,61.28,145.99,2.382343342036554,2.380127836825403,2.377786441500879,2.378665318096729,145.8542338406607,145.66587722394758,145.75172885137064,0.00093040158680844,0.0022226393143278665,0.0016334392926617822
2026-05-01,61.07,145.16,2.376944489929589,2.3804818735592415,2.377970914436376,2.3784452271025356,145.37602801826287,145.21141798245867,145.26509097616722,-0.0014870999617359285,-0.00035415319698717365,-0.0007237045559717902,0.0,0.0,61.07,145.16,2.376944489929589,2.380127836825403,2.377970914436376,2.378445227102535,145.35440699492736,145.21141798245867,145.26509097616724,-0.0013383640829181648,-0.00035415319698717365,-0.0007237045559720124
2026-05-04,60.97,144.73,2.373790388715762,2.3804818735592415,2.377882169802797,2.378207917270031,145.13797983090694,144.98488665318584,145.0138054964416,-0.0028149373417736953,-0.0017595693607109783,-0.0019590105591332295,0.0,0.0,60.97,144.73,2.373790388715762,2.380127836825403,2.377882169802797,2.3782079172700312,145.11639421124482,144.98488665318584,145.01380549644156,-0.0026662014629560147,-0.0017595693607109783,-0.001959010559133007
2026-05-05,61.19,145.3,2.3745710083346956,2.3804818735592415,2.3778392706362665,2.3778319658177587,145.66168584308997,145.50260997023315,145.5225424577532,-0.002486141969773846,-0.001393453814173788,-0.0015304350158664686,0.0,0.0,61.19,145.3,2.3745710083346956,2.380127836825403,2.3778392706362665,2.3778319658177582,145.6400223353464,145.50260997023315,145.52254245775322,-0.0023374060909561655,-0.001393453814173788,-0.0015304350158666911
2026-05-06,61.46,145.4,2.3657663520989263,2.3804818735592415,2.377171173269174,2.376975242824074,146.30441594895098,146.14200157330495,146.14155261915946,-0.006200926674481653,-0.00509019744264574,-0.005087125397441259,0.0,0.0,61.46,145.4,2.3657663520989263,2.380127836825403,2.377171173269174,2.3769752428240745,146.2826568512893,146.14200157330495,146.14155261915943,-0.006052190795664145,-0.00509019744264574,-0.0050871253974410354
2026-05-07,60.95,144.72,2.374405250205086,2.3804818735592415,2.3765908649563494,2.3764413925727887,145.09037019343577,144.88858301075615,144.87664105012732,-0.002555949911802953,-0.0011642129390289748,-0.001081787860765701,0.0,0.0,60.95,144.72,2.374405250205086,2.380127836825403,2.3765908649563494,2.3764413925727887,145.06879165450832,144.88858301075615,144.87664105012735,-0.0024072140329852378,-0.0011642129390289748,-0.0010817878607659232
2026-05-08,60.42,143.49,2.374875868917577,2.3804818735592415,2.376392991907454,2.375983049750663,143.82871480044938,143.59362006066263,143.5845889392479,-0.0023577646697727946,-0.0007218807199137417,-0.0006589851301046011,0.0,0.0,60.42,143.49,2.374875868917577,2.380127836825403,2.376392991907454,2.375983049750663,143.80732390099087,143.59362006066263,143.5845889392479,-0.002209028790955117,-0.0007218807199137417,-0.0006589851301046011
2026-05-11,60.23,143.04,2.3748962311140627,2.3804818735592415,2.376090471806528,2.3758191502809725,143.3764232444731,143.13014990258594,143.10545908648243,-0.0023491907019877623,-0.0006300440880976506,-0.0004575231620538594,0.0,0.0,60.23,143.04,2.3748962311140627,2.380127836825403,2.3760904718065285,2.3758191502809725,143.355099611994,143.13014990258594,143.10545908648243,-0.002200454823170023,-0.0006300440880976506,-0.0004575231620538594
2026-05-12,61.39,145.85,2.3757941032741487,2.3804818735592415,2.3754847521455345,2.3758109627243735,146.13778221780183,145.86819406420275,145.8515376357489,-0.0019711941972366132,-0.00012473726079870596,-1.054252755331593e-05,0.0,0.0,61.39,145.85,2.3757941032741487,2.380127836825403,2.3754847521455345,2.3758109627243735,146.1160479027115,145.86819406420278,145.8515376357489,-0.0018224583184190493,-0.00012473726079881699,-1.054252755331593e-05
2026-05-13,61.73,146.71,2.376640207354609,2.3804818735592415,2.375002724198101,2.376028428221338,146.94714605481198,146.63867374994385,146.65881072897557,-0.0016151223258139811,0.00048628991943263673,0.00034897555344572497,0.0,0.0,61.73,146.71,2.376640207354609,2.380127836825403,2.3750027241981013,2.3760284282213378,146.92529136723212,146.63867374994385,146.65881072897557,-0.001466386446996099,0.00048628991943263673,0.00034897555344572497
2026-05-14,61.67,146.63,2.3776552618777362,2.3804818735592415,2.374533916182219,2.376160178841549,146.80431714239842,146.4664180012969,146.52967316840994,-0.001188117085975711,0.0011162334688603994,0.0006844518171441522,0.0,0.0,61.67,146.63,2.3776552618777362,2.380127836825403,2.374533916182219,2.376160178841549,146.7824836970226,146.46641800129692,146.52967316840991,-0.0010393812071579623,0.0011162334688601776,0.0006844518171443741
2026-05-15,60.91,145.1,2.3822032506977506,2.3804818735592415,2.375059792259035,2.3765153533477053,144.99515091849338,144.63286083465894,144.73191649323874,0.0007228599701868361,0.0032246226318878328,0.00253998047630989,0.0,0.0,60.91,145.1,2.3822032506977506,2.380127836825403,2.3750597922590355,2.3765153533477053,144.9735865410353,144.63286083465894,144.73191649323874,0.0008715958490044674,0.0032246226318878328,0.00253998047630989
2026-05-18,61.15,145.72,2.3829926410466067,2.3804818735592415,2.37598001749212,2.3769310936474586,145.5664665681476,145.23490629664,145.32391385721218,0.0010541749356196288,0.003334497149464609,0.002721832468976295,0.0,0.0,61.15,145.72,2.3829926410466067,2.380127836825403,2.37598001749212,2.3769310936474586,145.5448172218734,145.23490629664002,145.32391385721218,0.0012029108144372615,0.003334497149464609,0.002721832468976295
2026-05-19,61.84,147.32,2.3822768434670114,2.3804818735592415,2.3767506010053516,2.3772949358208093,147.2089990609035,146.9306042817127,146.98941883115884,0.0007537522261357474,0.0026466959790789808,0.002246488129281974,0.0,0.0,61.84,147.32,2.3822768434670114,2.380127836825403,2.3767506010053516,2.3772949358208093,147.18710542928292,146.9306042817127,146.98941883115884,0.0009024881049536289,0.0026466959790789808,0.002246488129281974
2026-05-20,61.89,147.13,2.377282275004039,2.3804818735592415,2.3779021932958626,2.3775366832825187,147.32802315458144,147.0970946962212,147.1307835779499,-0.0013450011129766035,0.00022367283305396333,-5.325738213387004e-06,0.0,0.0,61.89,147.13,2.377282275004039,2.380127836825403,2.3779021932958626,2.3775366832825187,147.3061118211242,147.0970946962212,147.1307835779499,-0.0011962652341590543,0.00022367283305396333,-5.325738213387004e-06
2026-05-21,62.29,148.15,2.378391395087494,2.3804818735592415,2.3783008077841035,2.3774458363702267,148.28021590400516,148.11952762039928,148.0967600016681,-0.0008785603180420842,0.00020570714749466423,0.0003594300839258627,0.0,0.0,62.29,148.15,2.378391395087494,2.380127836825403,2.3783008077841035,2.377445836370226,148.25816295585435,148.11952762039928,148.0967600016681,-0.0007298244392241706,0.00020570714749466423,0.0003594300839258627
2026-05-22,62.98,149.89,2.3799618926643378,2.3804818735592415,2.3788094101587793,2.3776012010331167,149.92274839676102,149.78538487424282,149.73153877459686,-0.00021845900193632472,0.0006981896764779703,0.0010577426497796368,0.0,0.0,62.98,149.89,2.3799618926643378,2.380127836825403,2.3788094101587793,2.3776012010331167,149.90045116326388,149.78538487424282,149.73153877459683,-6.972312311866348e-05,0.0006981896764779703,0.0010577426497798586
2026-05-26,62.5,148.51,2.37616,2.3804818735592415,2.3789357870473737,2.3775131294269505,148.7801170974526,148.67558813492371,148.60007506456978,-0.0018171957710642747,-0.0011143753847485303,-0.0006063413858307741,0.0,0.0,62.5,148.51,2.37616,2.380127836825403,2.3789357870473733,2.3775131294269505,148.75798980158768,148.67558813492371,148.60007506456978,-0.0016684598922463605,-0.0011143753847485303,-0.0006063413858307741
2026-05-27,62.6,148.79,2.3768370607028753,2.3804818735592415,2.379040082790246,2.37726241746789,149.01816528480853,148.9213802691656,148.8323219021271,-0.001532297338009107,-0.0008826016497954591,-0.00028440005535798694,0.0,0.0,62.6,148.79,2.3768370607028753,2.380127836825403,2.379040082790246,2.3772624174678905,148.99600258527025,148.92138026916558,148.8323219021271,-0.0013835614591914194,-0.000882601649795348,-0.00028440005535798694
2026-05-28,63.52,150.88,2.375314861460957,2.3804818735592415,2.3789075482008806,2.3769551361994905,151.20820860848303,151.11662605883643,151.0037087575604,-0.002172933125295136,-0.001567077820362963,-0.0008195789364999457,0.0,0.0,63.52,150.88,2.375314861460957,2.380127836825403,2.378907548200881,2.376955136199491,151.1857201951496,151.11662605883643,151.00370875756042,-0.00202419724647735,-0.001567077820362963,-0.000819578936500168
2026-05-29,63.03,149.47,2.3714104394732667,2.3804818735592415,2.378283065960434,2.3764084910713263,150.041772490439,149.9425427631015,149.8194822346539,-0.003818034798857784,-0.0031564686708234757,-0.0023354137999687047,0.0,0.0,63.03,149.47,2.3714104394732667,2.380127836825403,2.378283065960434,2.3764084910713263,150.01945755510516,149.94254276310153,149.81948223465392,-0.0036692989200400733,-0.003156468670823698,-0.0023354137999688157
2026-06-01,62.3,147.84,2.3730337078651687,2.3804818735592415,2.377366111677176,2.3762129519681054,148.30402072274074,148.16703500933505,148.05024899374362,-0.0031337529715955294,-0.002209644391646762,-0.0014211284747884525,0.0,0.0,62.3,147.84,2.3730337078651687,2.380127836825403,2.3773661116771754,2.376212951968106,148.2819642342226,148.16703500933505,148.05024899374362,-0.0029850170927777854,-0.002209644391646762,-0.0014211284747884525
2026-06-02,61.59,146.4,2.3770092547491477,2.3804818735592415,2.3767677730474297,2.376373895269775,146.6138785925137,146.42197881819726,146.3509557117156,-0.0014598532433028615,-0.0001501172714372535,0.00033505809485048934,0.0,0.0,61.59,146.4,2.3770092547491477,2.380127836825403,2.3767677730474297,2.376373895269775,146.59207347007657,146.42197881819723,146.35095571171564,-0.001311117364485105,-0.00015011727143714244,0.0003350580948502674
