date,FSTA,VDC,VDC/FSTA,VDC/FSTA avg,VDC/FSTA 10 dma,VDC/FSTA 20 dma,FSTA avg,FSTA 10 dma,FSTA 20 dma,avg diff,10 dma diff,20 dma diff,FSTA div,VDC div,FSTA*,VDC*,VDC*/FSTA*,VDC*/FSTA* avg,VDC*/FSTA* 10 dma,VDC*/FSTA* 20 dma,FSTA* avg,FSTA* 10 dma,FSTA* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-01-02,49.14,210.9,4.291819291819292,4.293074780158156,,,,,,,,,0.0,0.0,49.14,210.9,4.291819291819292,4.292294156057935,,,,,,,,
2026-01-05,48.98,210.27,4.292976725193957,4.293074780158156,,,210.27480273214644,,,-2.2840525506187514e-05,,,0.0,0.0,48.98,210.27,4.292976725193957,4.292294156057935,,,210.23656776371763,,,0.00015900934214002472,,
2026-01-06,49.13,210.77,4.29004681457358,4.293074780158156,,,210.9187639491702,,,-0.0007055628134288072,,,0.0,0.0,49.13,210.77,4.29004681457358,4.292294156057935,,,210.88041188712634,,,-0.0005237129457826213,,
2026-01-07,48.64,208.73,4.291324013157895,4.293074780158156,,,208.8151573068927,,,-0.0004078950819243098,,,0.0,0.0,48.64,208.73,4.291324013157895,4.292294156057935,,,208.77718775065793,,,-0.0002260452142780638,,
2026-01-08,49.74,213.42,4.2907117008443905,4.293074780158156,,,213.53753956506668,,,-0.0005505913686675959,,,0.0,0.0,49.74,213.42,4.2907117008443905,4.292294156057935,,,213.49871132232167,,,-0.00036874150102138867,,
2026-01-09,50.25,215.68,4.292139303482587,4.293074780158156,,,215.72700770294733,,,-0.00021792739707062066,,,0.0,0.0,50.25,215.68,4.292139303482587,4.292294156057935,,,215.6877813419112,,,-3.6077529424396636e-05,,
2026-01-12,50.88,218.47,4.293828616352201,4.293074780158156,,,218.43164481444697,,,0.0001755781243069287,,,0.0,0.0,50.88,218.47,4.293828616352201,4.292294156057935,,,218.39192666022774,,,0.0003574279919529723,,
2026-01-13,51.39,220.62,4.293053123175715,4.293074780158156,,,220.62111295232762,,,-5.044644730322537e-06,,,0.0,0.0,51.39,220.62,4.293053123175715,4.292294156057935,,,220.58099667981728,,,0.00017680522291575363,,
2026-01-14,52.01,223.33,4.293981926552586,4.293074780158156,,,223.28281931602567,,,0.00021128226557459538,,,0.0,0.0,52.01,223.33,4.293981926552586,4.292294156057935,,,223.24221905657316,,,0.0003931321332206811,,
2026-01-15,52.09,223.56,4.2918026492608945,4.293074780158156,4.29216841644131,,223.62626529843834,,,-0.0002963655374305361,,,0.0,0.0,52.09,223.56,4.2918026492608945,4.292294156057935,4.29216841644131,,223.58560258905783,,,-0.00011451566978431002,,
