date,EMB,EMLC,VWOB
2022-04-28,92.45,25.3,66.13
2022-04-29,90.88,25.3,65.06
2022-05-02,90.02,25.09,64.42
2022-05-03,90.4,25.27,64.75
2022-05-04,91.95,25.56,65.75
2022-05-05,90.57,25.05,64.89
2022-05-06,89.35,24.94,64.07
2022-05-09,88.56,24.65,63.52
2022-05-10,89.0,24.66,63.79
2022-05-11,89.39,24.6,64.0
2022-05-12,89.45,24.53,64.04
2022-05-13,89.3,24.61,64.1
2022-05-16,88.82,24.69,63.7
2022-05-17,89.14,24.88,64.03
2022-05-18,88.57,24.8,63.62
2022-05-19,89.05,25.16,63.88
2022-05-20,89.63,25.24,64.3
2022-05-23,89.69,25.44,64.43
2022-05-24,90.47,25.51,64.96
2022-05-25,91.27,25.55,65.4
2022-05-26,91.57,25.71,65.58
2022-05-27,91.72,25.71,65.85
2022-05-31,91.25,25.65,65.51
2022-06-01,90.75,25.39,65.1
2022-06-02,91.63,25.66,65.62
2022-06-03,91.01,25.57,65.19
2022-06-06,89.81,25.43,64.39
2022-06-07,90.34,25.41,64.77
2022-06-08,89.45,25.28,64.13
2022-06-09,88.71,25.07,63.65
2022-06-10,87.22,24.72,62.65
2022-06-13,84.91,24.32,60.88
2022-06-14,84.87,24.21,60.78
2022-06-15,87.41,24.62,62.55
2022-06-16,85.47,24.49,61.27
2022-06-17,85.93,24.44,61.57
2022-06-21,85.68,24.49,61.45
2022-06-22,85.81,24.62,61.51
2022-06-23,86.38,24.59,61.9
2022-06-24,86.49,24.66,62.0
2022-06-27,85.31,24.53,61.36
2022-06-28,84.66,24.48,61.03
2022-06-29,84.97,24.5,61.13
2022-06-30,85.32,24.48,61.3
2022-07-01,86.15,24.39,61.82
2022-07-05,85.47,24.04,61.38
2022-07-06,84.78,23.7,60.95
2022-07-07,85.03,23.84,61.16
2022-07-08,84.63,23.82,60.98
2022-07-11,83.92,23.47,60.51
2022-07-12,83.68,23.43,60.25
2022-07-13,83.34,23.52,60.16
2022-07-14,81.88,23.28,59.31
2022-07-15,82.7,23.51,59.85
2022-07-18,82.74,23.52,59.88
2022-07-19,83.95,23.69,60.64
2022-07-20,84.61,23.63,61.11
2022-07-21,85.08,23.68,61.4
2022-07-22,86.01,23.82,61.96
2022-07-25,86.07,23.93,62.06
2022-07-26,85.27,23.81,61.54
2022-07-27,86.56,24.09,62.48
2022-07-28,87.68,24.27,63.39
2022-07-29,88.02,24.34,63.65
2022-08-01,88.07,24.36,63.59
2022-08-02,86.79,24.07,62.72
2022-08-03,88.46,24.32,63.8
2022-08-04,88.65,24.47,63.8
2022-08-05,88.47,24.31,63.57
2022-08-08,89.78,24.48,64.57
2022-08-09,88.28,24.43,63.47
2022-08-10,89.86,24.84,64.51
2022-08-11,89.49,24.85,64.19
2022-08-12,90.17,25.04,64.77
2022-08-15,90.0,24.84,64.68
2022-08-16,89.22,24.75,64.15
2022-08-17,88.24,24.61,63.43
2022-08-18,88.14,24.39,63.38
2022-08-19,86.8,24.21,62.52
2022-08-22,86.16,24.11,61.93
2022-08-23,87.07,24.21,62.59
2022-08-24,86.99,24.18,62.63
2022-08-25,87.91,24.35,63.25
2022-08-26,86.54,24.24,62.45
2022-08-29,86.02,24.23,62.12
2022-08-30,85.99,24.18,62.13
2022-08-31,85.3,24.09,61.62
2022-09-01,84.78,23.85,61.25
2022-09-02,85.08,23.99,61.37
2022-09-06,84.3,23.81,60.74
2022-09-07,85.58,24.06,61.7
2022-09-08,85.61,23.99,61.84
2022-09-09,86.13,24.14,62.08
2022-09-12,86.1,24.26,62.05
2022-09-13,84.78,23.86,61.15
2022-09-14,84.72,23.94,61.06
2022-09-15,84.66,23.79,61.03
2022-09-16,84.2,23.78,60.72
2022-09-19,84.5,23.86,60.89
2022-09-20,83.72,23.72,60.42
2022-09-21,83.48,23.6,60.32
2022-09-22,82.92,23.62,59.76
2022-09-23,81.92,23.28,59.15
2022-09-26,79.99,22.85,57.88
2022-09-27,78.71,22.83,56.9
2022-09-28,80.6,23.12,58.27
2022-09-29,79.58,22.93,57.53
2022-09-30,79.4,22.8,57.49
2022-10-03,80.23,23.04,58.06
2022-10-04,81.74,23.3,59.08
2022-10-05,80.58,23.15,58.32
2022-10-06,80.27,22.96,58.06
2022-10-07,79.19,22.9,57.32
2022-10-10,78.96,22.88,57.25
2022-10-11,78.9,22.72,57.18
2022-10-12,78.62,22.69,57.01
2022-10-13,78.38,22.68,56.83
2022-10-14,77.8,22.53,56.46
2022-10-17,78.23,22.67,56.71
2022-10-18,79.06,22.74,57.23
2022-10-19,77.88,22.53,56.52
2022-10-20,77.09,22.5,55.88
2022-10-21,77.94,22.67,56.51
2022-10-24,77.89,22.46,56.48
2022-10-25,79.24,22.75,57.44
2022-10-26,79.76,22.89,57.66
2022-10-27,79.94,22.82,57.88
2022-10-28,80.14,22.78,57.96
2022-10-31,78.9,22.66,57.23
2022-11-01,80.03,22.63,57.81
2022-11-02,79.42,22.51,57.41
2022-11-03,79.14,22.52,57.33
2022-11-04,80.41,22.89,58.07
2022-11-07,80.38,22.96,58.13
2022-11-08,80.94,23.1,58.5
2022-11-09,79.85,22.99,57.73
2022-11-10,83.52,23.72,60.18
2022-11-11,83.5,23.66,60.09
2022-11-14,82.79,23.7,59.64
2022-11-15,84.35,23.77,60.88
2022-11-16,84.35,23.7,60.78
2022-11-17,83.59,23.53,60.21
2022-11-18,83.59,23.6,60.22
2022-11-21,83.6,23.54,60.32
2022-11-22,84.47,23.71,60.95
2022-11-23,85.02,23.91,61.22
2022-11-25,85.41,23.82,61.49
2022-11-28,85.07,23.85,61.26
2022-11-29,85.46,23.99,61.65
2022-11-30,86.43,24.24,62.34
2022-12-01,87.8,24.29,63.15
2022-12-02,87.43,24.38,62.8
2022-12-05,86.09,24.07,61.99
2022-12-06,85.62,24.1,61.72
2022-12-07,86.86,24.32,62.52
2022-12-08,86.7,24.3,62.49
