date,UA,UAC
2026-06-25,5.89,9.93
2026-06-26,6.05,9.92
2026-06-29,5.98,9.92
2026-06-30,6.22,9.94
2026-07-01,6.39,9.94
2026-07-02,6.48,9.94
2026-07-06,6.64,9.94
2026-07-07,6.57,9.95
2026-07-08,6.32,9.95
2026-07-09,6.45,9.95
2026-07-10,6.61,9.96
2026-07-13,6.61,9.96
2026-07-14,6.47,9.96
2026-07-15,6.7,9.96
2026-07-16,7.09,9.96
2026-07-17,7.28,9.93
2026-07-20,7.13,9.93
2026-07-21,7.21,9.93
2026-07-22,7.08,9.93
2026-07-23,6.59,9.93
2026-07-24,6.86,9.94
2026-07-27,6.93,9.94
2026-07-28,6.97,9.94
2026-07-29,6.91,9.94
2026-07-30,6.68,9.94
2026-07-31,6.49,9.94
2026-08-03,6.63,9.94
2026-08-04,6.7,9.94
2026-08-05,6.61,9.94
2026-08-06,6.27,9.94
2026-08-07,5.93,9.94
2026-08-10,5.68,9.95
2026-08-11,5.2,9.95
2026-08-12,5.12,9.96
2026-08-13,5.24,9.97
2026-08-14,5.25,9.97
2026-08-17,5.19,9.96
2026-08-18,4.94,9.96
2026-08-19,5.13,9.96
2026-08-20,5.15,9.96
2026-08-21,5.24,9.96
2026-08-24,5.23,9.95
2026-08-25,5.0,9.95
2026-08-26,5.02,9.95
2026-08-27,4.96,9.95
2026-08-28,4.94,9.95
2026-08-31,4.93,9.95
2026-09-01,4.8,9.95
2026-09-02,5.03,9.95
2026-09-03,5.1,9.95
2026-09-04,5.12,9.97
2026-09-08,4.95,9.97
2026-09-09,4.8,9.96
2026-09-10,4.84,9.97
2026-09-11,4.99,9.97
2026-09-14,4.91,9.97
2026-09-15,4.81,9.97
2026-09-16,4.87,9.97
2026-09-17,4.84,9.97
2026-09-18,4.8,9.97
2026-09-21,4.68,9.97
